problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to determine how many fish were originally in the pond and then subtract the number of fish that are still there from the original count.

Step 1: Calculate the total number of fish originally in the pond.
Paige initially had 7 goldfish + 12 catfish = 19 fish.

Step 2: Determine how many fish are still in the pond.
Paige now has 15 fish left.

Step 3: Calculate the number of fish that have disappeared.
The number of fish that disappeared is the original number of fish minus the number of fish that are still there.
So, 19 fish - 15 fish = 4 fish.

Therefore, the number of fish that disappeared is 4.

#### <answer>4####",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Let's break down the problem step by step:

1. Initially, Marco and his dad collected strawberries that weighed 22 pounds together.
2. On the way back, Marco's dad found an additional 30 pounds of strawberries.
3. After finding these extra strawberries, Marco's strawberries now weigh 36 pounds.

We need to find out how much Marco's dad's strawberries weighed after he found the additional 30 pounds.

Since Marco's strawberries now weigh 36 pounds and initially weighed part of the total 22 pounds, we can calculate the initial weight of Marco's strawberries as follows:
\[ \text{Initial weight of Marco's strawberries} = 22 - \text{weight of Marco's dad's strawberries} \]

Let's denote the weight of Marco's dad's strawberries as \( x \). So,
\[ 22 - x + 30 = 36 \]
\[ 52 - x = 36 \]
\[ x = 52 - 36 \]
\[ x = 16 \]

So, Marco's dad's strawberries weighed 16 pounds before he found the additional 30 pounds.

Now, let's add the 30 pounds he found to his original",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to determine how many days the soda bottles will last given that Debby drinks 4 soda bottles per day.

Step 1: Identify the total number of soda bottles Debby bought.
- Debby bought 256 soda bottles.

Step 2: Determine the daily consumption rate for soda bottles.
- Debby drinks 4 soda bottles per day.

Step 3: Calculate the number of days the soda bottles will last.
- Number of days = Total number of soda bottles / Daily consumption rate

\[ \text{Number of days} = \frac{256}{4} \]

Step 4: Perform the division.
\[ \text{Number of days} = 64 \]

So, the soda bottles will last for 64 days.

#### 64",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to determine how much Olivia spent at the supermarket. We know the following:

1. Olivia started with $106.
2. After visiting both the supermarket and the showroom, she had $26 left.
3. She spent $49 at the showroom.

First, let's find out how much money Olivia spent in total during her visit to the supermarket and the showroom. We can do this by subtracting the amount of money she had left from the initial amount:

\[ \text{Total spent} = \$106 - \$26 = \$80 \]

Next, we know that she spent $49 at the showroom. To find out how much she spent at the supermarket, we subtract the amount spent at the showroom from the total amount spent:

\[ \text{Amount spent at the supermarket} = \$80 - \$49 = \$31 \]

So, Olivia spent $31 at the supermarket. 

#### <answer>31",text
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to calculate the total number of pencils Faye has by multiplying the number of rows by the number of pencils per row.

Step 1: Identify the number of rows.
Number of rows = 30

Step 2: Identify the number of pencils per row.
Number of pencils per row = 24

Step 3: Calculate the total number of pencils.
Total number of pencils = Number of rows × Number of pencils per row
Total number of pencils = 30 × 24

Step 4: Perform the multiplication.
Total number of pencils = 720

So, Faye has 720 pencils. 

#### 720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, let's break it down step by step:

1. **Determine how many marbles Doug originally had:**
   - We know that Ed had 10 more marbles than Doug.
   - Ed had 45 marbles.
   - Therefore, Doug originally had \( 45 - 10 = 35 \) marbles.

2. **Calculate how many marbles Doug has after losing some:**
   - Doug lost 11 marbles.
   - So, Doug now has \( 35 - 11 = 24 \) marbles.

3. **Find out how many more marbles Ed has than Doug now:**
   - Ed has 45 marbles.
   - Doug has 24 marbles.
   - The difference is \( 45 - 24 = 21 \).

So, Ed has 21 more marbles than Doug now.

#### <answer>21",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to follow these steps:

1. Determine the initial number of children on the bus.
2. Add the number of children who got on the bus at the bus stop to the initial number of children.

Step 1: The initial number of children on the bus is given as 26.

Step 2: At the bus stop, 38 more children got on the bus. So, we add 38 to the initial number of children:
\[ 26 + 38 = 64 \]

Therefore, the total number of children on the bus now is 64.

The final answer is 64.",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve the problem, we need to add up the number of cookies Helen baked on each day:

1. Cookies baked yesterday: 31
2. Cookies baked this morning: 270
3. Cookies baked the day before yesterday: 419

Now, let's add these numbers together:

\[ 31 + 270 + 419 \]

First, add 31 and 270:
\[ 31 + 270 = 301 \]

Next, add the result to 419:
\[ 301 + 419 = 720 \]

So, the total number of cookies Helen baked till last night is 720.

#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to calculate the total number of oranges harvested over 87 days. Here's the step-by-step solution:

1. Calculate the number of oranges harvested per day:
   - They harvest 66 sacks per day.
   - Each sack contains 25 oranges.
   - Therefore, the number of oranges harvested per day is \( 66 \times 25 \).

2. Perform the multiplication:
   - \( 66 \times 25 = 1650 \) oranges per day.

3. Calculate the total number of oranges harvested over 87 days:
   - Multiply the daily harvest by the number of days: \( 1650 \times 87 \).

4. Perform the multiplication:
   - \( 1650 \times 87 = 143550 \).

So, the total number of oranges harvested after 87 days is 143,550.

#### 143550",text
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to determine how many minutes the machine worked yesterday given that it made 9 shirts and works at a rate of 3 shirts per minute.

Step 1: Identify the number of shirts made yesterday.
- The machine made 9 shirts yesterday.

Step 2: Identify the rate at which the machine works.
- The machine makes 3 shirts per minute.

Step 3: Calculate the number of minutes the machine worked yesterday.
- To find the number of minutes, divide the total number of shirts made by the rate of production.
- Number of minutes = Total shirts / Rate of production
- Number of minutes = 9 shirts / 3 shirts per minute

Step 4: Perform the division.
- 9 shirts / 3 shirts per minute = 3 minutes

So, the machine worked for 3 minutes yesterday.

#### 3",text
