problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Source A: 41 bird families living near the mountain. 35 bird families flew away to Asia and 62 bird families flew away to Africa. How many more bird families flew away to Africa than those that flew away to Asia?

Source B: There are 5 ais, 7 bldbish, and 12 catih in the 4ond but stray c1s lTved eatin the. ow she ha 1 let. Hlw Jan fasZek ispve5red?

Step 1: Identify the relevant information in Source A.
- 41 bird families living near the mountain
- 35 bird families flew away to Asia
- 62 bird families flew away to Africa

Step 2: Identify the question being asked in Source A.
- How many more bird families flew away to Africa than those that flew away to Asia?

Step 3: Calculate the difference between the number of bird families that flew away to Africa and Asia.
- 62 (families to Africa) - 35 (families to Asia) = 27

Step 4: Answer the question.
#### 27",image,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: First, we need to find out how many pounds of strawberries Ma1o and his dad collected together.
Ma1o and his dad collected 4 pounds of strawberries.

Step 2: Next, we need to find out how many pounds of strawberries Ma1o's dad picked.
Ma1o's dad picked 3 pounds of strawberries.

Step 3: Now, we need to add the pounds of strawberries Ma1o and his dad picked together.
4 pounds (Ma1o) + 3 pounds (his dad) = 7 pounds

Step 4: Finally, we need to add the pounds of strawberries Ma1o's dad found.
7 pounds (Ma1o and his dad) + 6 pounds (his dad found) = 13 pounds

#### 13",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Step 1: Identify the quantities of each item bought by Ebb1.
- Ebb1 bought 270 water bottles.
- Ebb1 bought 256 soda bottles.
- Ebb1 bought 312 water bottles and 4 soda bottles a day.

Step 2: Calculate the total number of water bottles bought.
- Total water bottles = 270 + 312 = 582 water bottles.

Step 3: Calculate the total number of soda bottles bought.
- Total soda bottles = 256 + 4 = 260 soda bottles.

Step 4: Calculate the total number of bottles bought.
- Total bottles = Total water bottles + Total soda bottles = 582 + 260 = 842 bottles.

Step 5: Calculate the total number of bottles bought in a day.
- Total bottles per day = 312 + 4 = 316 bottles.

Step 6: Calculate the total number of bottles bought in total.
- Total bottles = Total bottles / Total bottles per day = 842 / 316 = 2.66 bottles.

Step 7: Round the total number of bottles to the nearest whole number.
- Total bottles ≈ 3 bottles.

#### 3",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Source B: Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day, how many days would the soda bottles last?

Step 1: Calculate the total number of soda bottles Debby has.
Total soda bottles = 256

Step 2: Calculate the number of soda bottles Debby drinks per day.
Soda bottles per day = 4

Step 3: Calculate the number of days the soda bottles will last.
Days soda bottles last = Total soda bottles / Soda bottles per day
Days soda bottles last = 256 / 4
Days soda bottles last = 64

#### 64",image,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom, there were 26 dollars left. It she spent 49 dollars at the showroom. How much did she spend at the supermarket?

First, let's find out how much money Olivia had after visiting the supermarket and the showroom:
106 dollars (initial amount) - 49 dollars (spent at the showroom) = 57 dollars

Now, let's find out how much she spent at the supermarket:
57 dollars (amount left after visiting the showroom) - 26 dollars (amount left after visiting the supermarket) = 31 dollars

So, Olivia spent 31 dollars at the supermarket. #### 31",image,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Source A: Ed had 10 marbles. Doug lost 11 marbles at the playground. If Ed had 5 marbles, how many marbles did Ed have after Doug lost his marbles?

Step 1: Identify the initial number of marbles Ed had.
Ed had 10 marbles.

Step 2: Identify the number of marbles Doug lost.
Doug lost 11 marbles.

Step 3: Identify the number of marbles Ed had after Doug lost his marbles.
Ed had 5 marbles.

Step 4: Calculate the difference between the initial number of marbles Ed had and the number of marbles Ed had after Doug lost his marbles.
10 - 5 = 5

Step 5: Determine the number of marbles Ed had after Doug lost his marbles.
Ed had 5 marbles after Doug lost his marbles.

#### 5",neither,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Source A: Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles, how many more marbles did Ed have than Doug then?

Step 1: Determine the number of marbles Doug had before losing any.
Doug lost 11 marbles, so he had 45 + 11 = 56 marbles before losing any.

Step 2: Determine the number of marbles Ed had before Doug lost any.
Ed had 10 more marbles than Doug, so Ed had 56 + 10 = 66 marbles before Doug lost any.

Step 3: Determine the number of marbles Doug had after losing 11 marbles.
Doug lost 11 marbles, so he had 56 - 11 = 45 marbles after losing any.

Step 4: Determine the difference in the number of marbles between Ed and Doug after Doug lost 11 marbles.
Ed had 66 marbles and Doug had 45 marbles after losing 11, so Ed had 66 - 45 = 21 more marbles than Doug.

#### 21",image,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"Step 1: First, let's identify the information given in the problem. We have 8 friends preparing for a birthday party, and they have 270 cookies to share. They ate 3 cookies each before bedtime.

Step 2: Calculate the total number of cookies eaten before bedtime. 8 friends * 3 cookies = 24 cookies.

Step 3: Subtract the number of cookies eaten from the total number of cookies. 270 cookies - 24 cookies = 246 cookies.

Step 4: Determine the number of cookies left for the night. 246 cookies.

#### 246",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Step 1: Identify the total number of cookies baked by Helen.
Helen baked 31 cookies yesterday and 270 cookies the day before yesterday.

Step 2: Add the number of cookies baked yesterday and the day before yesterday.
31 (yesterday) + 270 (day before yesterday) = 301 cookies

Step 3: Determine how many cookies Helen baked till last night.
Helen baked 301 cookies in total.

#### 301",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"First, we need to convert the number of hours to minutes. There are 60 minutes in an hour, so 9 hours is equal to 9 * 60 = 540 minutes.
Next, we need to convert the number of tarts to minutes. There are 44 tarts, and each tart takes 5 minutes to make, so 44 * 5 = 220 minutes.
Finally, we add the two times together to get the total time: 540 + 220 = 760 minutes.
#### 760",neither,neutral
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"First, we need to find out how many bags Bryan has in total. Since each bag has 46 bags, we multiply the number of bags by the number of bags in each bag: 6 * 46 = 276 bags. Then, we need to find out how many groups of 10 bags Bryan has. We divide the total number of bags by 10: 276 / 10 = 27.5. Since Bryan can't have half a group, we round down to 27 groups. Finally, we multiply the number of groups by the number of bags in each group: 27 * 10 = 270 bags. Bryan has 270 bags in total. #### 270",neither,neutral
