problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve the problem, we need to find out how many fish disappeared.

1. We know that Paige initially raised 7 goldfish and 12 catfish, which makes a total of 19 fish.
2. Now she has 15 fish left.
3. To find out how many fish disappeared, we need to subtract the number of fish she has left from the total number of fish she initially raised.

19 (total number of fish) - 15 (number of fish left) = 4

Therefore, 4 fish have disappeared.

#### <answer>",text,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to find the weight of Marco's strawberries and then subtract that from the total weight to find the weight of his dad's strawberries.

1. Marco and his dad collected a total of 22 pounds of strawberries.
2. Marco's strawberries weighed 36 pounds.
3. To find the weight of his dad's strawberries, we need to subtract the weight of Marco's strawberries from the total weight.
4. 22 pounds (total weight) - 36 pounds (Marco's strawberries) = 86 pounds (his dad's strawberries).

Therefore, his dad's strawberries weighed 86 pounds.

#### <answer>",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to find out how many soda bottles Debby has and how many soda bottles she drinks per day.

From Source A, we know that Debby collected strawberries that weighed 22 pounds. From Source B, we know that Debby bought 200 water bottles and 256 soda bottles.

First, let's calculate the total weight of the strawberries:
22 pounds

Next, let's calculate the total weight of the water bottles:
200 water bottles * 1 pound per water bottle = 200 pounds

Now, let's calculate the total weight of the soda bottles:
256 soda bottles * 1 pound per soda bottle = 256 pounds

The total weight of the strawberries, water bottles, and soda bottles is:
22 pounds + 200 pounds + 256 pounds = 478 pounds

From Source B, we know that Debby drank 312 water bottles and 4 soda bottles a day. To find out how many days the soda bottles would last, we need to divide the total",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve the problem, we need to find the amount of money Olivia spent at the supermarket. We can do this by subtracting the amount of money she had left after visiting the showroom from the total amount of money she had before visiting the showroom.

Step 1: Subtract the amount of money left after visiting the showroom from the total amount of money before visiting the showroom.

106 - 26 = 980

Therefore, Olivia spent 980 dollars at the supermarket.

##### <980>",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve the problem, we need to find the total number of pencils Faye has. We know that there are 30 rows, and each row contains 24 pencils.

First, let's calculate the total number of pencils in each row:
24 pencils/row * 30 rows = 720 pencils

Now, we have the total number of pencils in all rows. However, we need to subtract the number of crayons from the total number of pencils to find the actual number of pencils Faye has.

Since there are 71 crayons, we can subtract that number from the total number of pencils:
720 pencils - 71 crayons = 7129 pencils

Therefore, Faye has 7129 pencils.

##### <7129>",neither,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve the problem, we need to find the difference between the number of marbles Ed had and the number of marbles Doug had after Doug lost 11 of his marbles.

Let's denote the number of marbles Doug had as D.
Since Ed had 10 more marbles than Doug, we can write:
Ed's marbles = Doug's marbles + 10

After Doug lost 11 of his marbles, he had:
Doug's marbles after loss = D - 11

We are given that Ed had 45 marbles. Therefore, we can set up the following equation:
45 = D + 10

Now, we need to find the value of D. To do this, we can subtract 10 from both sides of the equation:
D = 45 - 10
D = 35

So, Doug had 35 marbles before he lost 11 of them.

Now, we can find the difference between the number of marbles Ed had and the number of marbles Doug had after Doug lost 11 of his marbles:",neither,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve the problem, we need to add the number of children from both sources:

1. Start with the number of children from Source A: 26 children.
2. Add the number of children from Source B: 38 more children.
3. The total number of children on the bus is: 26 + 38 = 64 children.

##### <64>",text,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find the total number of cookies Helen baked from yesterday to the day before yesterday, we need to add the number of cookies she baked each day:

31 (yesterday) + 270 (this morning) + 419 (the day before yesterday)

Adding these numbers together:

31 + 270 + 419 = 719

So, Helen baked a total of 719 cookies from yesterday to the day before yesterday.

##### <719>",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve the problem, we need to find the total number of oranges harvested after 87 days.

1. We know that each sack contains 25 oranges.
2. We also know that they harvest 66 sacks per day.
3. To find the total number of oranges harvested after 87 days, we multiply the number of sacks per day by the number of days:

Total oranges = Sacks per day * Number of days
= 66 sacks/day * 87 days
= 5644 oranges

#### <5644>",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to find out how many shirts the machine made in total and then convert that number into minutes.

First, let's calculate the total number of shirts made:
9 shirts (yesterday) + 44 shirts (today) = 53 shirts

Next, we need to find out how many minutes it took the machine to make these shirts. We know that the machine can make 3 shirts a minute, so we can set up a proportion to find the total number of minutes:

53 shirts / 3 shirts/minute = x minutes

Now, we can solve for x:

x = 53 shirts / 3 shirts/minute
x = 17.67 minutes

Since the machine can only make whole shirts, we can round up to the nearest whole number:

x = 18 minutes

So, the machine worked for 18 minutes to make 53 shirts.

#### <18>",neither,neutral
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"To solve the problem, we need to find the total number of magazines Bryan has. We know that he has 9 books and 46 magazines in each of his 10 bookshelves.

First, let's find the total number of magazines in one bookshelf:

Magazines per bookshelf = 9 books/shelf * 46 magazines/book = 434 magazines/shelf

Now, let's find the total number of magazines in all 10 bookshelves:

Total magazines = Magazines per bookshelf * Number of bookshelves
Total magazines = 434 magazines/shelf * 10 bookshelves = 4340 magazines

Therefore, Bryan has a total of 4340 magazines.

##### <4340>",neither,neutral
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"To solve the problem, we need to find the number of apps Dave added. Let's call the number of apps Dave added ""x"".

According to the problem, Dave initially had 17 apps on his phone. After adding some, he had 18 apps left. Therefore, we can set up the following equation:

Initial apps + Apps added = Final apps
17 + x = 18

Now, we can solve for ""x"", the number of apps Dave added:

x = 18 - 17
x = 1

So, Dave added 1 app to his phone.

#### <answer>",text,neutral
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"To solve the problem, we need to add the cost of the candy bar and the cost of the chocolate.

Step 1: Add the cost of the candy bar and the cost of the chocolate.
$ 7 (candy bar) + $ 6 (chocolate) = $ 13

The answer is:
#### <$13>",text,neutral
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To solve the problem, we need to find the size of each group in Philip's banana collection. We are given that there are 392 bananas in total and they are organized into 196 groups.

To find the size of each group, we can divide the total number of bananas by the number of groups:

392 bananas / 196 groups = 1.98 bananas per group

Since we cannot have a fraction of a banana, we can round this to the nearest whole number:

1.98 bananas per group ≈ 2 bananas per group

Therefore, each group in Philip's banana collection contains approximately 2 bananas.

##### <answer>",text,neutral
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"To solve the problem, we need to find the distance remaining to reach the end of the cave. The cave is 1218 feet deep, and they are already at 849 feet.

1. Subtract the current depth from the total depth to find the remaining distance:
1218 feet - 849 feet = 362 feet

Therefore, the remaining distance to reach the end of the cave is 362 feet.

#### <answer> 362 feet",neither,neutral
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time, then each seat can hold:

20 people / 4 seats = 5 people per seat

Therefore, each seat can hold 5 people.

##### <answer>",text,neutral
16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,5,136,"To solve the problem, we need to find out how many tomatoes and potatoes the farmer has left after picking 53 tomatoes.

First, let's find out how many tomatoes the farmer has left:

177 tomatoes - 53 tomatoes = 124 tomatoes

So, the farmer has 124 tomatoes left.

Next, let's find out how many potatoes the farmer has left:

12 potatoes (from Source B) + 0 potatoes (from Source A) = 12 potatoes

So, the farmer has 12 potatoes left.

Therefore, the farmer has 124 tomatoes and 12 potatoes left in his garden.

##### <124, 12>",neither,neutral
17,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,136,91,"To solve the problem, we need to find out how many bottle caps Danny had at first. We know that he lost 66 bottle caps and now he has 25 bottle caps.

Let's set up an equation to represent the situation:

Let x be the number of bottle caps Danny had at first.

At first, Danny had x bottle caps.
After losing 66 bottle caps, he had x - 66 bottle caps.
Now, he has 25 bottle caps.

We can set up the equation:

x - 66 = 25

Now, we can solve for x:

x = 25 + 66
x = 91

So, Danny had 91 bottle caps at first.

#### <answer> 91 </answer>",text,neutral
18,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",91,13,"To solve the problem, we need to find the total number of emails Jack received and then subtract the number of emails he received in the morning to find the number of emails he received in the afternoon and evening.

According to Source A, Danny collects bottle caps and lost 68 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did Danny have at first?

To find the number of bottle caps Danny had at first, we need to subtract the number of bottle caps he lost from the number of bottle caps he has now.

25 bottle caps (current collection) - 68 bottle caps (lost) = 17 bottle caps (initial collection)

Therefore, Danny had 17 bottle caps at first.

Now, let's move on to Source B.

According to Source B, Jack received 4 emails in the morning, 5 emails in the afternoon, and 8 emails in the evening. To find the number of emails Jack received in the afternoon and evening, we need to subtract the number of emails he received in the morning from the total number of emails he received.

4 emails",neither,neutral
19,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,13,7,"To solve the problem, we need to find out how many sweet cookies Paco has left after eating 15 of them.

1. Start with the total number of sweet cookies Paco had: 22.
2. Subtract the number of sweet cookies Paco ate: 15.
3. The result is the number of sweet cookies Paco has left: 22 - 15 = 7.

Therefore, Paco has 7 sweet cookies left.

##### <7>",text,neutral
20,Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,7,33,"To solve the problem, we need to divide the total amount of money earned by the number of days.

Step 1: Identify the total amount of money earned.
The total amount of money earned is 165 dollars.

Step 2: Identify the number of days.
The number of days is 5.

Step 3: Calculate the amount of money earned per day.
To find the amount of money earned per day, divide the total amount of money earned by the number of days.
165 dollars / 5 days = 33 dollars per day

Therefore, the ring toss game at the carnival made 33 dollars per day.

##### <33>",text,neutral
21,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,33,3,"To find out how many files Dave deleted, we need to subtract the number of files he had after deleting from the number of files he had before deleting.

First, let's find out the total number of files and apps Dave had before deleting.

Total number of files and apps = 24 files + 13 apps
                                            = 37

After deleting, Dave had 17 apps and 21 files left.

Now, we can subtract the number of files he had after deleting from the total number of files and apps he had before deleting to find out how many files he deleted.

Number of files deleted = Total number of files and apps - Number of files and apps after deleting
                                            = 37 - (17 apps + 21 files)
                                            = 37 - 38
                                            = -1

However, it's not possible to have a negative number of files. This means there might be an error in the problem statement or the numbers provided. Please check the sources for accuracy.

#### <answer> -1",neither,neutral
22,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,In a school there are 569 girls and 236 boys. How many more girls than boys does the school have?,3,333,"To find the difference between the number of girls and the number of boys in the school, we need to subtract the number of boys from the number of girls.

Given:
- Number of girls: 569
- Number of boys: 236

Subtract the number of boys from the number of girls:
569 - 236 = 333

So, the school has 333 more girls than boys.

##### <answer> 333",text,neutral
23,In a school there are 569 girls and 236 boys. How many more girls than boys does the school have?,Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,333,22,"To solve the problem, we need to find out how many eggs Rebecca has in total. We know that she wants to split the eggs into groups of 11, and each group has 2 eggs.

First, let's find out how many groups of 11 eggs Rebecca wants to make:

Number of groups = Total number of eggs / Eggs per group
= 22 / 2
= 11

Now, we know that each group has 2 eggs, so we can multiply the number of groups by the number of eggs per group to find the total number of eggs:

Total number of eggs = Number of groups * Eggs per group
= 11 * 2
= 22

Therefore, Rebecca has 22 eggs in total.

#### <22>",text,neutral
24,Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,Mary is baking a cake. The recipe calls for 7 cups of sugar and 10 cups of flour. She already put in 4 cups of sugar. How many more cups of sugar does she need to add?,22,3,"To solve the problem, we need to find out how many cups of sugar Mary still needs to add.

Step 1: Determine the total amount of sugar required.
The recipe calls for 7 cups of sugar.

Step 2: Determine the amount of sugar Mary has already added.
Mary has already added 4 cups of sugar.

Step 3: Subtract the amount of sugar Mary has already added from the total amount of sugar required.
7 cups (total) - 4 cups (already added) = 3 cups (still needed)

Therefore, Mary still needs to add 3 cups of sugar to complete the recipe.
#### <3>",text,neutral
25,Mary is baking a cake. The recipe calls for 7 cups of sugar and 10 cups of flour. She already put in 4 cups of sugar. How many more cups of sugar does she need to add?,Dave had 21 apps on his phone. He added 89 new apps. After deleting some he had 24 left. How many more apps did he add than he deleted?,3,3,"To solve the problem, we need to find the difference between the number of apps Dave added and the number of apps he deleted.

1. Dave initially had 21 apps on his phone.
2. He added 89 new apps, which means he now has 21 + 89 = 110 apps on his phone.
3. After deleting some, he had 24 apps left.
4. To find the difference between the number of apps he added and the number of apps he deleted, we need to subtract the number of apps he had after deleting from the number of apps he had after adding: 110 - 24 = 88.

Therefore, Dave added 88 more apps than he deleted.

##### <88>",ambiguous,neutral
26,Dave had 21 apps on his phone. He added 89 new apps. After deleting some he had 24 left. How many more apps did he add than he deleted?,During summer break 202958 kids from Lawrence county go to camp and the other 777622 kids stay home. How many more kids stayed home compared to those who went to the camp?,3,574664,"To solve the problem, we need to find the difference between the number of kids who went to camp and the number of kids who stayed home.

According to Source A, there were 21 apps on the phone.
According to Source B, there were 89 new apps added.

So, the number of kids who went to camp is 21.
The number of kids who stayed home is 21 + 89 = 100.

The difference between the number of kids who went to camp and the number of kids who stayed home is 100 - 21 = 78.

Therefore, 78 more kids stayed home compared to those who went to the camp.

##### <78>",neither,neutral
27,During summer break 202958 kids from Lawrence county go to camp and the other 777622 kids stay home. How many more kids stayed home compared to those who went to the camp?,The grasshopper and the frog had a jumping contest. The grasshopper jumped 13 inches. The grasshopper jumped 2 inches farther than the grasshopper. How far did the frog jump?,574664,11,"To solve this problem, we need to find the distance the frog jumped. We know that the grasshopper jumped 13 inches and the grasshopper jumped 2 inches farther than the grasshopper.

Let's denote the distance the frog jumped as x. The grasshopper jumped x + 2 inches.

According to the problem, the grasshopper jumped 2 inches farther than the frog, so we can set up the following equation:

x + 2 = 13

Now, we need to solve for x. To do this, we can subtract 2 from both sides of the equation:

x = 13 - 2
x = 11

So, the frog jumped 11 inches.

#### <answer>",text,neutral
28,The grasshopper and the frog had a jumping contest. The grasshopper jumped 13 inches. The grasshopper jumped 2 inches farther than the grasshopper. How far did the frog jump?,Allan brought 3 balloons and 20 balls while Jake brought 5 balloons and 59 balls to the park. How many balloons did Allan and Jake have in the park?,11,8,"The problem is asking for the total number of balloons that Allan and Jake brought to the park.

To solve this problem, we need to add the number of balloons that each person brought.

Allan brought 3 balloons and 20 balls, so the total number of balloons he brought is 3 + 20 = 23.

Jake brought 5 balloons and 59 balls, so the total number of balloons he brought is 5 + 59 = 64.

Therefore, the total number of balloons that Allan and Jake brought to the park is 23 + 64 = 87.

##### <87>",neither,neutral
29,Allan brought 3 balloons and 20 balls while Jake brought 5 balloons and 59 balls to the park. How many balloons did Allan and Jake have in the park?,He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day. How many days will it take to harvest 24 sacks of oranges?,8,3,"To solve the problem, we need to determine how many sacks of oranges are harvested each day and then calculate how many days it would take to harvest 24 sacks of oranges.

From Source A, we know that they harvest 8 sacks per day.

To find out how many days it would take to harvest 24 sacks of oranges, we need to divide the total number of sacks by the number of sacks harvested per day:

24 sacks / 8 sacks per day = 3 days

Therefore, it would take 3 days to harvest 24 sacks of oranges.

#### <answer>",neither,neutral
30,He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day. How many days will it take to harvest 24 sacks of oranges?,Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all?,3,12,"To solve the problem, we need to find out how many hours Ryan spends on learning English in total over the two days.

First, let's calculate how many hours Ryan spends on learning English each day:

English per day = 6 hours

Next, we need to multiply the number of days by the number of hours Ryan spends on learning English each day to find the total number of hours spent on learning English over the two days:

Total hours spent on learning English = English per day × Number of days

Total hours spent on learning English = 6 hours/day × 2 days

Total hours spent on learning English = 12 hours

Therefore, Ryan spends a total of 12 hours on learning English over the two days.

#### <answer>12 hours</answer>",text,neutral
31,Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all?,Baker made 144 cakes. He sold 71 of them. Then he made 111 more cakes. How many more cakes did baker make than those he sold?,12,184,"To solve the problem, we need to find the difference between the total number of cakes Baker made and the number of cakes he sold.

1. First, let's find the total number of cakes Baker made. He initially made 144 cakes and then made 111 more, so he made a total of 144 + 111 = 255 cakes.
2. Next, we need to find the number of cakes Baker sold. He sold 71 of them.
3. Now, we can find the difference between the total number of cakes Baker made and the number of cakes he sold by subtracting the number of cakes he sold from the total number of cakes he made: 255 - 71 = 184.

Therefore, Baker made 184 more cakes than those he sold.

#### <answer>",text,neutral
