problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to find the total number of fishes Paige initially raised and then subtract the number of fishes she has left to find out how many fishes disappeared.

1. Paige initially raised 7 goldfish and 12 catfish, so the total number of fishes she initially raised is:
   Total fishes = Goldfish + Catfish
   Total fishes = 7 + 12
   Total fishes = 19

2. Paige has 15 fishes left, so the number of fishes that disappeared is:
   Disappeared fishes = Total fishes - Fishes left
   Disappeared fishes = 19 - 15
   Disappeared fishes = 4

Therefore, 4 fishes disappeared.

#### <4>",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Let's solve this problem step by step:

1. We know that Marco and his dad collected a total of 22 pounds of strawberries.
2. After finding 30 more pounds of strawberries, the total weight of the strawberries is now 22 + 30 = 52 pounds.
3. We are told that Marco's strawberries now weigh 36 pounds.
4. To find the weight of his dad's strawberries, we need to subtract Marco's weight from the total weight: 52 - 36 = 16 pounds.

Therefore, Marco's dad's strawberries weigh 16 pounds.

##### <16>",text
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to find out how many soda bottles Debby has left after drinking 4 soda bottles a day for a certain number of days.

Let's assume that Debby has been drinking soda bottles for a certain number of days, which we'll call ""x"".

We know that Debby initially had 256 soda bottles. After ""x"" days, she would have:

256 soda bottles - (4 soda bottles/day * x days)

Substituting the given information:

256 - (4x)

Now, we need to find the value of ""x"" that makes the number of soda bottles left equal to 0. This will tell us how many days the soda bottles lasted.

To find the value of ""x"", we can set the equation to 0 and solve for ""x"":

256 - (4x) = 0

256 = 4x

x = 256 / 4

x = 64.5

Since we can't have a fraction of a day, we need to",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we can use the following steps:

1. Start with the total amount of money Olivia had before visiting the supermarket and the showroom.
2. Subtract the amount of money she had left after visiting both places.
3. Find the difference between the total amount of money and the amount left after visiting the showroom.

Let's denote the amount of money Olivia had before visiting the supermarket and the showroom as X.

X = 106 dollars

After visiting the supermarket and the showroom, Olivia had 26 dollars left.

26 dollars = X - (amount spent at the supermarket + amount spent at the showroom)

We know that Olivia spent 49 dollars at the showroom.

26 dollars = X - (49 dollars + amount spent at the supermarket)

Now, we can solve for the amount spent at the supermarket:

26 dollars = X - 49 dollars - amount spent at the supermarket

amount spent at the supermarket = X - 26 dollars - 49 dollars

amount spent at the supermarket = X -",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To find the total number of pencils Faye has, we need to multiply the number of rows by the number of pencils in each row.

Total pencils = Rows * Pencils per row

Given that there are 30 rows and 24 pencils in each row, we can calculate the total number of pencils as follows:

Total pencils = 30 rows * 24 pencils/row

Total pencils = 720 pencils

So, Faye has a total of 720 pencils.

#### <720>",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Let's solve this problem step by step:

1. We know that Ed had 10 more marbles than Doug. So, if Doug had x marbles, Ed had x + 10 marbles.
2. Doug lost 11 marbles at the playground. So, after losing the marbles, Doug had x - 11 marbles.
3. We are given that Ed had 45 marbles. So, we can set up the equation:
   x + 10 = 45
4. To find the original number of marbles Doug had, we need to subtract 10 from both sides of the equation:
   x = 45 - 10
   x = 35
5. Now, we can find the number of marbles Doug had before losing them:
   x - 11 = 35 - 11
   x - 11 = 24
6. Finally, we can find the difference in the number of marbles between Ed and Doug:
   Ed had = 45
   Doug had = 24
   Difference = 45 - 24",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To find the total number of children on the bus, we need to add the number of children who were already on the bus to the number of children who got on at the bus stop.

26 children were already on the bus.
38 more children got on at the bus stop.

So, the total number of children on the bus is:

26 children + 38 children = 64 children

Therefore, the answer is:

##### <64>",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find the total number of cookies Helen baked till last night, we need to add the number of cookies she baked yesterday, this morning, and the day before yesterday.

31 (yesterday) + 270 (this morning) + 419 (day before yesterday) = 31 + 270 + 419

Now, let's add the numbers:

31 + 270 + 419 = 719

So, Helen baked a total of 719 cookies till last night.

#### <719>",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To find the total number of oranges after 87 days of harvest, we need to multiply the number of sacks harvested per day by the number of oranges in each sack and then multiply that by the number of days.

66 sacks/day \* 25 oranges/sack \* 87 days = 18,450 oranges

#### <18,450>",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To find the number of minutes the machine worked yesterday, we need to determine how many shirts it made in total.

9 shirts (yesterday) + 44 shirts (today) = 53 shirts

Now, we know that the machine can make 3 shirts a minute. To find the total number of minutes it worked, we need to divide the total number of shirts by the number of shirts it can make per minute.

53 shirts / 3 shirts per minute = 17.67 minutes

Since the machine cannot work for a fraction of a minute, we need to round up to the nearest whole number.

17.67 minutes ≈ 18 minutes

#### <answer> 18 minutes",neither
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"To find the total number of magazines Bryan has, we need to multiply the number of bookshelves by the number of magazines per shelf.

1. Multiply the number of bookshelves by the number of magazines per shelf:
10 bookshelves * 46 magazines per shelf = 460 magazines

#### <460>",text
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"To solve this problem, we need to find the difference between the number of apps Dave had before adding more and the number of apps he had after adding more.

1. Subtract the number of apps Dave had after adding more from the number of apps he had before adding more.
2. The difference is the number of apps he added.

So, the number of apps Dave added is:

18 (apps after adding more) - 17 (apps before adding more) = 1

Therefore, Dave added 1 app.

##### <1>",text
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"Step 1: Add the cost of the candy bar and the chocolate.
4 (Dan's money) + 7 (candy bar) + 6 (chocolate) = 17

Step 2: The total amount spent is $ 17.

#### <17>",neither
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To find the size of each group, we need to divide the total number of bananas by the number of groups.

Step 1: Divide the total number of bananas by the number of groups.
392 bananas / 196 groups = 1.98 bananas per group

Since we cannot have a fraction of a banana, we need to round the answer to the nearest whole number.

Step 2: Round the answer to the nearest whole number.
1.98 bananas per group ≈ 2 bananas per group

Therefore, each group contains approximately 2 bananas.

##### <2>",text
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"To find out how much farther they need to go, we need to subtract the current depth from the total depth of the cave.

1. Subtract the current depth from the total depth:
1218 feet - 849 feet = 3629 feet

So, they need to travel an additional 3629 feet to reach the end of the cave.

##### <3629 feet>",neither
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"To find out how many people each seat can hold, we need to divide the total number of people that can ride the Ferris wheel by the number of seats available.

4 seats \* 20 people = <<4*20=80>>80 people

So, each seat can hold 80 people / 4 seats = <<80/4=20>>20 people.

Therefore, each seat can hold 20 people.

#### <20>",neither
