problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve the problem, we need to determine how many more bird families flew away to Africa than those that flew away to Asia.

Step 1: Identify the number of bird families that flew away to Asia.
- According to the problem, 35 bird families flew away to Asia.

Step 2: Identify the number of bird families that flew away to Africa.
- According to the problem, 62 bird families flew away to Africa.

Step 3: Calculate the difference between the number of bird families that flew away to Africa and those that flew away to Asia.
- Difference = Number of bird families that flew away to Africa - Number of bird families that flew away to Asia
- Difference = 62 - 35

Step 4: Perform the subtraction.
- 62 - 35 = 27

So, 27 more bird families flew away to Africa than those that flew away to Asia.

#### 27",image,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Let's solve the problem step by step based on the information provided in the image (Source B).

1. Paige initially had 7 goldfish and 12 catfish.
2. The total number of fish she initially had is \(7 + 12 = 19\).
3. Now, she has 15 fish left.
4. To find out how many fish disappeared, we subtract the number of fish she has now from the initial number of fish:
   \[
   19 - 15 = 4
   \]

So, the number of fish that disappeared is 4.

#### 4",image,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Let's solve the problem step by step:

1. **Initial Weight of Strawberries**: Marco and his dad collected strawberries that weighed 22 pounds.
2. **Additional Weight Found**: Marco's dad found 30 more pounds of strawberries.
3. **Total Weight Now**: The total weight of the strawberries now is the sum of the initial weight and the additional weight found.

Now, let's calculate the total weight:
\[ \text{Total Weight} = \text{Initial Weight} + \text{Additional Weight} \]
\[ \text{Total Weight} = 22 \text{ pounds} + 30 \text{ pounds} \]
\[ \text{Total Weight} = 52 \text{ pounds} \]

So, Marco's dad's strawberries now weigh 52 pounds.

#### 52",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Let's solve the problem step by step:

1. **Initial amount of dollars in FliviT's wallet:** We don't have this information from the problem statement, so we'll assume it's not needed for the current calculation.
2. **Amount spent at the supermarket:** The problem states that FliviT spent $26 at the supermarket.
3. **Amount spent at the showroom:** The problem states that FliviT spent $49 at the showroom.
4. **Total amount spent:** To find the total amount spent, we add the amounts spent at the supermarket and the showroom:
   \[
   26 + 49 = 75
   \]
5. **Final amount of dollars in FliviT's wallet:** The problem states that after these purchases, FliviT has $0 left in her wallet.

Now, let's address the soda bottles problem from the attached image (Source B):

1. **Number of water bottles bought:** 200
2. **Number of soda bottles bought:** 256
3. **Number of water bottles drunk per day:** 312
4. **Number of soda bottles drunk per day:** 4

To find out how many days the soda",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"Let's solve the problem step by step:

1. **Initial Amount in Olivia's Wallet**: Olivia started with $106.
2. **Amount Left After Visiting the Showroom**: After visiting the showroom, she had $26 left.
3. **Amount Spent at the Showroom**: She spent $49 at the showroom.
4. **Calculate the Amount Spent at the Supermarket**: To find out how much she spent at the supermarket, we need to subtract the amount spent at the showroom from the initial amount minus the amount left after the showroom visit.

   \[
   \text{Amount spent at the supermarket} = (\text{Initial amount}) - (\text{Amount left after showroom}) - (\text{Amount spent at showroom})
   \]

   Substituting the values:

   \[
   \text{Amount spent at the supermarket} = 106 - 26 - 49
   \]

5. **Perform the Subtraction**:

   \[
   106 - 26 = 80
   \]
   \[
   80 - 49 = 31
   \]

So, Olivia spent $31 at the supermarket.

####",image,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"The problem in the image (Source B) and the problem in the text (Source A) are different. Let's solve the problem from the image step by step:

1. Faye has 30 rows.
2. Each row contains 71 crayons.
3. Each row also contains 24 pencils.

To find out how many pencils Faye has, we need to multiply the number of rows by the number of pencils per row:

\[ \text{Total number of pencils} = \text{Number of rows} \times \text{Pencils per row} \]
\[ \text{Total number of pencils} = 30 \times 24 \]

Now, let's perform the multiplication:

\[ 30 \times 24 = 720 \]

So, Faye has 720 pencils.

#### 720",image,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Let's solve the problem step by step based on the information provided in Source A.

1. **Determine Doug's initial number of marbles:**
   - Ed had 10 more marbles than Doug.
   - If Ed had 45 marbles, then Doug had \(45 - 10 = 35\) marbles initially.

2. **Calculate the number of marbles Doug has after losing some:**
   - Doug lost 11 marbles at the playground.
   - So, Doug now has \(35 - 11 = 24\) marbles.

3. **Determine how many more marbles Ed has than Doug:**
   - Ed has 45 marbles.
   - Doug has 24 marbles.
   - The difference is \(45 - 24 = 21\).

So, Ed has 21 more marbles than Doug.

#### <answer> 21",image,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve the problem, we need to add the number of children who were already on the bus to the number of children who got on at the bus stop.

Step 1: Identify the number of children already on the bus.
- There were 26 children already on the bus.

Step 2: Identify the number of children who got on the bus at the bus stop.
- 38 more children got on the bus.

Step 3: Add the two numbers together.
- 26 (children already on the bus) + 38 (children who got on the bus) = 64 children.

So, the total number of children on the bus now is 64.

#### 64",image,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Let's solve the problem step by step based on the information provided in Source A.

1. **Cookies baked yesterday:** Helen baked 31 cookies.
2. **Cookies baked this morning:** Helen baked 270 cookies.
3. **Cookies baked the day before yesterday:** Helen baked 419 cookies.

To find out how many cookies Helen baked till last night, we need to sum up all the cookies baked over these three days.

\[
\text{Total cookies} = \text{Cookies baked yesterday} + \text{Cookies baked this morning} + \text{Cookies baked the day before yesterday}
\]

Substitute the values:

\[
\text{Total cookies} = 31 + 270 + 419
\]

Now, let's add these numbers step by step:

\[
31 + 270 = 291
\]

\[
291 + 419 = 710
\]

So, the total number of cookies Helen baked till last night is:

\[
\boxed{710}
\]",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"Let's solve the problem step by step:

1. Determine the number of sacks harvested per day:
   - They harvest 66 sacks per day.

2. Determine the number of oranges in each sack:
   - Each sack contains 25 oranges.

3. Calculate the total number of oranges harvested per day:
   - Total oranges per day = Number of sacks per day × Oranges per sack
   - Total oranges per day = 66 sacks/day × 25 oranges/sack

4. Perform the multiplication:
   - Total oranges per day = 66 × 25

5. Calculate the total number of oranges after 87 days:
   - Total oranges after 87 days = Total oranges per day × Days
   - Total oranges after 87 days = (66 × 25) × 87

Now, let's do the calculations:

6. Calculate 66 × 25:
   - 66 × 25 = 1650

7. Calculate 1650 × 87:
   - 1650 × 87 = 143550

So, the total number of oranges after 87",neither,neutral
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"The problem in the image (Source A) is about an industrial machine that made shirts yesterday and today. The machine makes 3 shirts per minute. We need to find out how many minutes the machine worked yesterday.

First, we calculate the total number of shirts made yesterday:
- Shirts made yesterday: 9

Next, we know the machine's production rate:
- Shirts per minute: 3

To find the number of minutes the machine worked yesterday, we divide the total number of shirts made yesterday by the number of shirts made per minute:
\[ \text{Minutes worked} = \frac{\text{Total shirts made yesterday}}{\text{Shirts per minute}} = \frac{9}{3} = 3 \]

So, the machine worked for 3 minutes yesterday.

#### 3",image,neutral
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"The problem in the image (Source B) asks how many magazines Bryan has in total if he has 46 magazines in each of his 10 bookshelves. 

To solve this, we need to multiply the number of magazines per shelf by the number of shelves:

\[ \text{Total magazines} = \text{Magazines per shelf} \times \text{Number of shelves} \]

Substituting the given values:

\[ \text{Total magazines} = 46 \times 10 \]

\[ \text{Total magazines} = 460 \]

So, Bryan has a total of 460 magazines.

#### 460",image,neutral
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"Let's solve the problem step by step based on the information provided in Source A.

1. Dave initially had 17 apps on his phone.
2. After adding some apps, he had 18 apps left.

To find out how many apps Dave added, we need to subtract the initial number of apps from the final number of apps:

\[ \text{Number of apps added} = \text{Final number of apps} - \text{Initial number of apps} \]

Substituting the given values:

\[ \text{Number of apps added} = 18 - 17 \]

\[ \text{Number of apps added} = 1 \]

So, Dave added 1 app.

#### 1",image,neutral
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"The problem in Source B is not related to the one in Source A. Let's solve the problem in Source B step by step:

1. Dan has $4.
2. He bought a candy bar for $7 and a chocolate for $6.
3. The total cost of the candy bar and the chocolate is $7 + $6 = $13.
4. Since Dan only has $4, he does not have enough money to buy both the candy bar and the chocolate.

Therefore, the amount of money Dan spent buying the candy bar and chocolate is $0 because he cannot afford it.

#### 0",neither,neutral
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"The problem in Source A involves dividing the total number of bananas by the number of groups to find out how many bananas are in each group. Here's the step-by-step solution:

1. Identify the total number of bananas: 392.
2. Identify the number of groups: 196.
3. Divide the total number of bananas by the number of groups to find the size of each group:
   \[
   \frac{392}{196} = 2
   \]

So, each group contains 2 bananas.

#### <answer> 2",image,neutral
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"The problem in the image (Source B) is about a cave and the distance to its end, not a Ferris wheel. Let's solve it step by step:

1. **Determine the remaining distance**: The cave is 1218 feet deep, and they are already at 849 feet.
   \[
   \text{Remaining distance} = 1218 - 849 = 369 \text{ feet}
   \]

2. **Determine the speed of travel**: They are traveling at a speed of 17 feet per unit time (let's assume this is per minute for simplicity).

3. **Calculate the time required to reach the end**: 
   \[
   \text{Time} = \frac{\text{Remaining distance}}{\text{Speed}} = \frac{369}{17} = 21.65 \text{ minutes}
   \]

Since the question asks how much farther they need to travel until they reach the end, we have already calculated that they need to travel an additional 369 feet.

#### <answer> 369 feet",image,neutral
16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,5,136,"The problem in the image (Source A) is about a Ferris wheel with 4 seats that can hold 20 people at the same time. To find out how many people each seat can hold, we need to divide the total number of people by the number of seats.

Step 1: Identify the total number of people.
- Total number of people = 20

Step 2: Identify the number of seats.
- Number of seats = 4

Step 3: Divide the total number of people by the number of seats.
- People per seat = Total number of people / Number of seats
- People per seat = 20 / 4
- People per seat = 5

So, each seat can hold 5 people.

#### 5",image,neutral
17,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,136,91,"To solve the problem, we need to determine how many tomatoes and potatoes the farmer has left after picking some of them.

1. **Initial number of tomatoes**: The farmer initially had 177 tomatoes.
2. **Tomatoes picked**: The farmer picked 53 tomatoes.
3. **Tomatoes left**: Subtract the number of tomatoes picked from the initial number of tomatoes.
   \[
   177 - 53 = 124
   \]
   So, the farmer has 124 tomatoes left.

4. **Initial number of potatoes**: The farmer initially had 12 potatoes.
5. **Potatoes picked**: The farmer did not pick any potatoes (the problem does not mention picking potatoes).
6. **Potatoes left**: Since no potatoes were picked, the number of potatoes remains the same.
   \[
   12 - 0 = 12
   \]
   So, the farmer has 12 potatoes left.

7. **Total remaining vegetables**: Add the remaining tomatoes and potatoes.
   \[
   124 + 12 = 136
   \]

The farmer has 136 vegetables left in total.

#### <answer>",image,neutral
