problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"7 - 5 = 2
Answer: 2.",neither
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: First, let's find out how many pounds of strawberries Marco and his dad collected together.
Marco and his dad collected 2 pounds of strawberries.

Step 2: Next, let's find out how many pounds of strawberries Marco found on his own.
Marco found 33 more pounds of strawberries.

Step 3: Now, let's add the pounds of strawberries Marco found on his own to the pounds his dad collected.
Marco's strawberries + his dad's strawberries = 2 pounds + 33 pounds = 35 pounds.

Step 4: Finally, let's find out how much his dad's strawberries weighed.
His dad's strawberries weighed 36 pounds.

Step 5: Now, let's subtract the weight of his dad's strawberries from the total weight of the strawberries they collected together.
Total weight of strawberries - His dad's strawberries = 35 pounds - 36 pounds = -1 pound.

So, his dad's strawberries weighed 1 pound less than the total weight of the strawberries they collected together. Therefore, his dad's strawberries weighed 35 - 1 = 34 pounds. However, the question asks for the difference in weight, not the weight itself. Therefore, the answer is 1 pound. 

#### 1",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Step 1: First, let's calculate the total number of soda bottles Debby bought.
Total soda bottles = 200 + 29 = 229

Step 2: Next, let's calculate the number of soda bottles Debby drinks per day.
Soda bottles per day = 2 + 4 = 6

Step 3: Now, let's calculate how many days the soda bottles will last.
Days the soda bottles will last = Total soda bottles / Soda bottles per day
Days the soda bottles will last = 229 / 6
Days the soda bottles will last = 38.1666...

Since we can't have a fraction of a day, we'll round up to the nearest whole number.
Days the soda bottles will last = 39

Answer: 39.",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Step 1: First, let's find out how much money TjJre had before she visited the store. We know that she had 26 dollars left after spending some money at the store. So, the amount of money she had before visiting the store is 26 dollars + the amount she spent at the store.

Step 2: Next, we need to find out how much money TjJre spent at the store. We know that she set 49 dollars at the store. So, the amount of money she spent at the store is 49 dollars.

Step 3: Now, we can calculate the amount of money TjJre had before visiting the store by adding the amount she spent at the store to the amount she had left after the store. So, the amount of money TjJre had before visiting the store is 49 dollars + 26 dollars = 75 dollars.

Answer: TjJre had 75 dollars before visiting the store.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"Step 1: First, let's determine the cost of each item. The crayons cost 2 dollars each, and the pencils cost 3 dollars each.

Step 2: Now, let's calculate the total cost of the crayons. There are 30 crayons, and each crayon costs 2 dollars. So, the total cost of the crayons is 30 * 2 = 60 dollars.

Step 3: Next, let's calculate the total cost of the pencils. There are 4 pencils, and each pencil costs 3 dollars. So, the total cost of the pencils is 4 * 3 = 12 dollars.

Step 4: Finally, let's add the cost of the crayons and the pencils to find the total amount Faye has. The total cost is 60 + 12 = 72 dollars.

Answer: Faye has 72 dollars.",neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: Determine the initial number of marbles Dug had before losing any.
Dug had 45 marbles before losing any.

Step 2: Calculate the number of marbles Dug had after losing 11 marbles.
Dug lost 11 marbles, so he had 45 - 11 = 34 marbles left.

Step 3: Determine the number of marbles Ed had.
Ed had 10 more marbles than Dug, so Ed had 34 + 10 = 44 marbles.

Step 4: Calculate the difference in the number of marbles between Ed and Dug.
The difference in the number of marbles between Ed and Dug is 44 - 34 = 10 marbles.

Answer: 10.",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"2 + 3 = 5
Answer: 5.",neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"First, let's find out how many cookies Helen baked in total for the two days before today. She baked 27 cookies yesterday and 619 cookies the day before yesterday. So, the total number of cookies baked in the two days before today is 27 + 619 = 646 cookies.

Now, we need to find out how many cookies Helen baked at night. We know that she baked 3 times the number of cookies she baked the day before yesterday. So, she baked 3 * 619 = 1857 cookies at night.

To find the total number of cookies Helen baked, we add the cookies from the two days before today and the cookies she baked at night. So, the total number of cookies Helen baked is 646 + 1857 = 2503 cookies.

Therefore, Helen baked 2503 cookies in total.#### 2503",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Step 1: First, let's determine the total number of oranges the person wants to have after 87 days. We know that they have 66 oranges per day and they want to have 87 days' worth of oranges.

Step 2: To find the total number of oranges, we multiply the number of oranges per day by the number of days: 66 oranges/day * 87 days = 5736 oranges.

Step 3: Now, we need to find out how many oranges they will have after 87 days. Since they already have 66 oranges, we need to add the oranges they will receive in the next 87 days to the ones they already have.

Step 4: The total number of oranges they will have after 87 days is 5736 oranges + 66 oranges = 5802 oranges.

Answer: 5802.",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"9 + 4 = 13
13 * 60 = 780
780 - 60 = 720
Therefore, the machine worked for 720 minutes yesterday.#### 720",neither
