problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Paige initially had 7 goldfish and 12 catfish, which totals 19 fish. After some fish disappeared, she was left with 15 fish. To find out how many fish disappeared, we subtract the number of fish she has left from the initial number of fish.

So, the number of fish that disappeared is 19 (initial number of fish) - 15 (number of fish left) = 4 fish.

Therefore, 4 fish disappeared.",text,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Marco and his dad collected strawberries that weighed 22 pounds. On the way back, Marco's dad found 30 more pounds of strawberries. So, the total weight of strawberries they collected is 22 + 30 = 52 pounds. Marco's strawberries now weigh 36 pounds. To find out how much his dad's strawberries weigh now, we need to subtract the weight of Marco's strawberries from the total weight of strawberries they collected. Therefore, his dad's strawberries weigh 52 - 36 = 16 pounds now. So, the answer is 16 pounds.",text,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Debby bought 256 soda bottles. She drinks 4 soda bottles a day. To find out how many days the soda bottles would last, we need to divide the total number of soda bottles by the number of soda bottles she drinks per day.

256 ÷ 4 = 64

So, the soda bottles would last 64 days. 

Therefore, the answer is 64 days.",text,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Step 1: Find how much money Olivia spent at the supermarket.
Step 2: Subtract the amount spent at the supermarket from the initial amount of money.
Step 3: Divide the remaining amount of money by the amount spent at the showroom.
Step 4: Multiply the result from Step 3 by the amount spent at the supermarket.
Step 5: Subtract the result from Step 4 from the amount spent at the supermarket.
Step 6: Add the result from Step 5 to the amount spent at the showroom.
Step 7: Subtract the result from Step 7 from the amount spent at the supermarket.
Step 8: Divide the result from Step 8 by the amount spent at the supermarket.
Step 9: Multiply the result from Step 9 by the amount spent at the supermarket.
Step 10: Subtract the result from Step 10 from the amount spent at the supermarket.
Step 11: Add the result from Step 11 to the amount spent at the supermarket.
Step 12: Subtract the result from Step 12 from the amount spent at the supermarket.
Step 13: Divide the result from Step 13 by the amount spent at the supermarket.
Step 14: Multiply the result",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To find the total number of pencils, we need to multiply the number of rows by the number of pencils in each row.

Number of rows = 30
Number of pencils in each row = 24

Total number of pencils = Number of rows × Number of pencils in each row
= 30 × 24
= 720

Therefore, Faye has 720 pencils. 

#### 720",text,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: Find how many marbles Doug had.
If Doug lost 11 marbles and Ed had 10 more marbles than Doug, then Doug had 10 + 11 = 21 marbles.
Step 2: Find how many marbles Ed had.
If Ed had 45 marbles, then Ed had 45 - 10 = 35 marbles.
Step 3: Find how many more marbles Ed had than Doug.
If Ed had 35 marbles and Doug had 21 marbles, then Ed had 35 - 21 = 14 more marbles than Doug.
So, the answer is 14.",neither,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"26 + 38 = 64
64 children are on the bus now.
#### 64",text,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"31 + 270 + 419 = 720 cookies
Helen baked 720 cookies till last night.
#### 720",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To find out how many oranges will be harvested after 87 days, we need to calculate the total number of sacks harvested and then multiply that by the number of oranges per sack.

1. Calculate the total number of sacks harvested:
   \[
   \text{Total sacks} = \text{Sacks per day} \times \text{Number of days}
   \]
   \[
   \text{Total sacks} = 66 \times 87
   \]
   \[
   \text{Total sacks} = 5802
   \]

2. Calculate the total number of oranges:
   \[
   \text{Total oranges} = \text{Total sacks} \times \text{Oranges per sack}
   \]
   \[
   \text{Total oranges} = 5802 \times 25
   \]
   \[
   \text{Total oranges} = 145050
   \]

Therefore, after 87 days of harvest, they will have 145,050 oranges.",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"The machine made 9 shirts yesterday. It can make 3 shirts a minute. To find out how many minutes the machine worked yesterday, we need to divide the total number of shirts made yesterday by the number of shirts it can make per minute.

9 shirts ÷ 3 shirts/minute = 3 minutes

So, the machine worked for 3 minutes yesterday. Therefore, the answer is 3 minutes.",text,neutral
