problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"The problem in the image is asking for the number of bird families that flew away to Africa compared to those that flew away to Asia.

From the information given in the image:
- There are 41 bird families living near the mountain.
- If 35 bird families flew away to Asia and 62 bird families flew away to Africa.

To find out how many more bird families flew away to Africa than those that flew away to Asia, we subtract the number of families that flew to Asia from the number of families that flew to Africa.

62 (families flew to Africa) - 35 (families flew to Asia) = 27

Therefore, 27 more bird families flew away to Africa than those that flew away to Asia.

The answer is 27.",image,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Ma1o and his dad collected strawberries to 480 pounds. Ma1o's dad took back Ma1o's share of strawberries weighing 36 pounds. To find out how much Ma1o's dad's strawberries weigh now, we need to subtract Ma1o's share from the total weight of strawberries they collected.

Total weight of strawberries collected = 480 pounds
Ma1o's share = 36 pounds

Weight of strawberries Ma1o's dad has now = Total weight - Ma1o's share
= 480 pounds - 36 pounds
= 444 pounds

Therefore, Ma1o's dad's strawberries weigh 444 pounds now.",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"The problem is asking how many pounds of strawberries Marco's dad found. The information given is that Marco and his dad went strawberry picking and collected strawberries that weighed 22 pounds. Marco's dad found 30 more pounds of strawberries than Marco. 

To find out how many pounds of strawberries Marco's dad found, we need to add the 22 pounds that Marco and his dad collected together with the 30 more pounds that Marco's dad found. 

So, the calculation would be: 

22 pounds (collected by Marco and his dad) + 30 pounds (found by Marco's dad) = 52 pounds

Therefore, Marco's dad found 52 pounds of strawberries. 

The answer is 52 pounds.",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day, how many days would the soda bottles last?",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. She spent 49 dollars at the showroom. How much did she spend at the supermarket?,neither,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"The problem is asking for the total number of pencils and crayons that Ed has. We know that Ed has 10 more pencils than crayons, and he has 11 crayons. So, we can find the number of pencils by adding 10 to the number of crayons: 11 + 10 = 21. Therefore, Ed has 21 pencils and 11 crayons. To find the total number of pencils and crayons, we add the number of pencils and the number of crayons: 21 + 11 = 32. So, Ed has 32 pencils and crayons in total. Therefore, the answer is 32.",neither,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Let's denote the number of marbles Ed had as E and the number of marbles Doug had as D. According to the problem, Ed had 10 more marbles than Doug, so we can write the equation E = D + 10. Doug lost 11 of his marbles at the playground, so the number of marbles he had after losing some is D - 11. If Ed had 45 marbles after losing some, we can write the equation E = 45. Now we can substitute the value of E from the first equation into the second equation: D + 10 = 45. Solving this equation, we find that D = 35. Therefore, Doug had 35 marbles before losing some at the playground. If Doug had 35 marbles before losing some at the playground, then the number of children at the playground is 38 + 35 = 73. So the answer is 73.",neither,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?

26 + 38 = 64

There are 64 children on the bus now.",image,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"The problem is asking for the total number of cookies baked by Helen. We are given that Helen baked 31 cookies yesterday, 270 cookies the day before yesterday, and 419 cookies this morning. To find the total number of cookies baked, we add these numbers together:

31 (yesterday) + 270 (day before yesterday) + 419 (this morning) = 720 cookies

Therefore, Helen baked a total of 720 cookies. The answer is 720 cookies.",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"The problem is asking for the total number of oranges harvested after 87 days. 

To find this, we need to first find the total number of sacks harvested after 87 days. 

We know that they harvest 66 sacks per day. So, after 87 days, they would have harvested 66 sacks/day * 87 days = 5778 sacks. 

Each sack contains 25 oranges. So, the total number of oranges harvested after 87 days would be 5778 sacks * 25 oranges/sack = 144450 oranges. 

Therefore, the answer is 144450 oranges. 

#### 144450",neither,neutral
