problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve the problem, we need to determine how many more bird families flew to Africa than those that flew to Asia. 

First, let's calculate the total number of bird families that flew to Asia and Africa:

- Total bird families that flew to Asia: 35
- Total bird families that flew to Africa: 62

Now, let's subtract the number of bird families that flew to Asia from the number of bird families that flew to Africa to find the difference:

62 - 35 = 27

So, 27 more bird families flew to Africa than those that flew to Asia.",image,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve the problem, we need to determine how many pounds of strawberries Marc and his dad collected. We know that they collected 4 pounds of strawberries, and each pound weighs 16 ounces. Therefore, we can calculate the total weight of the strawberries as follows:

4 pounds x 16 ounces/pound = 64 ounces

Since each ounce weighs 0.0625 pounds, we can calculate the total weight of the strawberries as follows:

64 ounces x 0.0625 pounds/ounce = 4 pounds

Therefore, Marc and his dad collected 4 pounds of strawberries.",image,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve the problem, we need to determine how many pounds of strawberries Marco's dad found and how much the strawberries weigh now.

1. **Determine the weight of the strawberries Marco's dad found:**
   - Marco's dad found 30 more pounds of strawberries.
   - The strawberries weighed 22 pounds initially.
   - Therefore, the weight of the strawberries Marco's dad found is \(22 + 30 = 52\) pounds.

2. **Calculate the total weight of the strawberries now:**
   - The strawberries initially weighed 22 pounds.
   - Marco's dad found 52 pounds of strawberries.
   - Therefore, the total weight of the strawberries now is \(22 + 52 = 74\) pounds.

So, Marco's dad found 52 pounds of strawberries, and the strawberries now weigh 74 pounds. The answer is: **74 pounds**.",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to determine how many days the soda bottles would last if Debby drank 312 water bottles and 4 soda bottles a day. 

First, let's calculate the total number of water bottles Debby drank:
312 water bottles

Next, let's calculate the total number of soda bottles Debby drank:
4 soda bottles

Now, let's subtract the number of soda bottles Debby drank from the total number of water bottles to find out how many water bottles are left:
312 water bottles - 4 soda bottles = 308 water bottles

Finally, let's divide the number of water bottles left by the number of water bottles Debby drinks per day to find out how many days the soda bottles would last:
308 water bottles / 312 water bottles per day = approximately 1 day

Therefore, the soda bottles would last for approximately 1 day.",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to subtract the amount spent at the showroom from the initial amount of money Olivia had in her wallet.

1. Initial amount of money in Olivia's wallet: 106 dollars
2. Amount spent at the showroom: 49 dollars
3. Amount left after visiting the showroom: 106 - 49 = 57 dollars

Now, we need to find out how much Olivia spent at the supermarket. We can do this by subtracting the amount left after visiting the showroom from the initial amount of money in her wallet.

1. Amount left after visiting the showroom: 57 dollars
2. Initial amount of money in Olivia's wallet: 106 dollars
3. Amount spent at the supermarket: 106 - 57 = 49 dollars

Therefore, Olivia spent 49 dollars at the supermarket.",neither,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve the problem, we need to determine how many pencils Faye has. We know that she placed 71 crayons and 24 pencils in each row. We also know that there are 30 rows in total. 

First, let's find out how many crayons Faye placed in total. Since she placed 71 crayons in each row and there are 30 rows, we can calculate the total number of crayons as follows:

Total crayons = Number of crayons per row * Number of rows
Total crayons = 71 crayons/row * 30 rows
Total crayons = 2130 crayons

Next, let's find out how many pencils Faye placed in total. Since she placed 24 pencils in each row and there are 30 rows, we can calculate the total number of pencils as follows:

Total pencils = Number of pencils per row * Number of rows
Total pencils = 24 pencils/row * 30 rows
Total pencils = 720 pencils

Finally, we can find out how many pencils Faye has by subtracting the number of crayons from the total number of pencils:

Total pencils - Total crayons
P",image,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve the problem, we need to determine how many more marbles Ed had than Doug before Doug lost 11 of his marbles. Let's break it down step by step:

1. Ed had 10 more marbles than Doug.
2. Doug lost 11 of his marbles at the playground.

First, let's find out how many marbles Doug had before losing any:

Doug's marbles before losing any = Ed's marbles - 10

Now, let's calculate how many marbles Doug had before losing 11:

Doug's marbles before losing 11 = Doug's marbles - 11

Now, let's find out how many marbles Ed had before losing any:

Ed's marbles before losing any = Doug's marbles - 10

Finally, let's find out how many marbles Ed had before losing 11:

Ed's marbles before losing 11 = Ed's marbles - 11

Now, let's substitute the values we found:

Doug's marbles before losing any = 38
Doug's marbles before losing 11 = 38 - 11 = 27
Doug's marbles before losing",neither,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"The problem is asking how many children are on the bus now. We know that 28 children were riding on the bus at the bus stop, and 38 more children got on the bus. So, the total number of children on the bus now is 28 + 38 = 66. The answer is: 66.",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve the problem, we need to determine how many cookies Helen baked in total until last night. We know that she baked 31 cookies yesterday and 270 cookies the day before yesterday. We can add these two numbers together to find the total number of cookies she baked until last night.

31 cookies + 270 cookies = 301 cookies

Therefore, Helen baked a total of 301 cookies until last night.",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve the problem, we need to calculate the total number of oranges harvested after 87 days of harvest.

1. Calculate the number of oranges harvested per day:
   - They harvest 66 sacks per day.
   - Each sack contains 25 oranges.
   - So, the number of oranges harvested per day = 66 sacks/day * 25 oranges/sack = 1650 oranges/day.

2. Calculate the total number of oranges harvested after 87 days:
   - Multiply the number of oranges harvested per day by the number of days:
   - Total oranges harvested = 1650 oranges/day * 87 days = 14,095 oranges.

Therefore, the number of oranges harvested after 87 days of harvest is 14,095.",neither,neutral
