problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To find out how many fishes disappeared, we need to calculate the total number of fishes Paige initially had and then subtract the number of fishes she has now.

1. Calculate the total number of fishes initially:
Paige had 7 goldfish + 12 catfish = 19 fishes.

2. Subtract the number of fishes she has now from the initial total:
19 fishes - 15 fishes = 4 fishes disappeared.

Therefore, 4 fishes disappeared.",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: Find the total weight of strawberries collected by Marco and his dad.
Total weight = 22 pounds (initial weight) + 30 pounds (found on the way back) = 52 pounds.

Step 2: Find the weight of Marco's strawberries.
Marco's strawberries = 36 pounds.

Step 3: Find the weight of his dad's strawberries.
His dad's strawberries = Total weight - Marco's strawberries = 52 pounds - 36 pounds = 16 pounds.

Answer: His dad's strawberries weighed 16 pounds now.",text
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To find out how many days the soda bottles would last, we need to divide the total number of soda bottles by the number of soda bottles Debby drinks per day.

Total number of soda bottles = 256
Number of soda bottles Debby drinks per day = 4

Number of days the soda bottles would last = Total number of soda bottles / Number of soda bottles Debby drinks per day

Number of days the soda bottles would last = 256 / 4

Number of days the soda bottles would last = 64

Therefore, the soda bottles would last for 64 days.

<ANSWER>",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To find out how much Olivia spent at the supermarket, we need to first determine how much money she spent in total. We know she started with $106 and ended up with $26, so the total amount spent is $106 - $26 = $80.

We also know that she spent $49 at the showroom. To find out how much she spent at the supermarket, we subtract the amount spent at the showroom from the total amount spent.

So, the amount spent at the supermarket is $80 - $49 = $31.

Therefore, Olivia spent $31 at the supermarket. The answer is $31.",text
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To find the total number of pencils, we need to multiply the number of pencils in each row by the total number of rows.

Number of pencils in each row = 24
Number of rows = 30

Total number of pencils = Number of pencils in each row × Number of rows
= 24 × 30
= 720

Therefore, Faye has 720 pencils. 

#### <720>",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: Find out how many marbles Doug had before he lost any.
Since Ed had 10 more marbles than Doug and Ed had 45 marbles, Doug had 45 - 10 = 35 marbles.

Step 2: Find out how many marbles Doug has after losing 11.
Doug lost 11 marbles, so he has 35 - 11 = 24 marbles left.

Step 3: Find out how many more marbles Ed has than Doug.
Ed has 45 marbles and Doug has 24 marbles, so Ed has 45 - 24 = 21 more marbles than Doug.

The answer is 21.",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,26 + 38 = 64.,text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"31 + 270 + 419 = 720 cookies
Answer: Helen baked 720 cookies till last night.",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To find out how many oranges will be harvested after 87 days, we need to multiply the number of sacks harvested per day by the number of oranges in each sack, and then multiply that result by the number of days.

1. First, find the total number of sacks harvested in 87 days:
   \[
   \text{Total sacks} = 66 \times 87
   \]

2. Then, find the total number of oranges by multiplying the total number of sacks by the number of oranges in each sack:
   \[
   \text{Total oranges} = \text{Total sacks} \times 25
   \]

Let's calculate these step by step.

1. \[
   \text{Total sacks} = 66 \times 87 = 5778
   \]

2. \[
   \text{Total oranges} = 5778 \times 25 = 144450
   \]

Therefore, after 87 days of harvest, they will have 144,450 oranges.

\[
\boxed{144450}
\]",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To find out how many minutes the machine worked yesterday, we first need to determine the total number of shirts it made yesterday. According to the problem, the machine made 9 shirts yesterday. 

Next, we need to find out how many minutes it took to make those 9 shirts. We know that the machine can make 3 shirts per minute. 

To find the number of minutes, we divide the total number of shirts made yesterday by the number of shirts made per minute:

\[ \text{Minutes worked yesterday} = \frac{\text{Total shirts made yesterday}}{\text{Shirts made per minute}} \]

\[ \text{Minutes worked yesterday} = \frac{9}{3} \]

\[ \text{Minutes worked yesterday} = 3 \]

Therefore, the machine worked for 3 minutes yesterday. 

The answer is: \[ \boxed{3} \]",text
