mode	model	n	R_image	R_text	asymmetry	95% CI	Wilcoxon p	permutation p
generation	Qwen2-VL-2B-Instruct	98	+0.8980	+0.0918	-0.8061	[-0.9184,-0.6837]	1.05e-15	0.0001
generation	Qwen2.5-VL-7B-Instruct	180	+0.9722	+0.0111	-0.9611	[-0.9889,-0.9222]	1.17e-38	0.0001
generation	Idefics3-8B-Llama3	185	+0.5297	+0.4432	-0.0865	[-0.2270,+0.0542]	0.233	0.266
generation	llava-onevision-qwen2-7b-ov-hf	61	+0.9180	+0.0820	-0.8361	[-0.9672,-0.6721]	6.58e-11	0.0001
generation	llava-v1.6-mistral-7b-hf	120	+0.8500	+0.1417	-0.7083	[-0.8333,-0.5750]	6.6e-15	0.0001
generation	Phi-3.5-vision-instruct	INCOMPLETE
cll	Qwen2-VL-2B-Instruct	229	+3.1351	+2.1457	-0.9702	[-1.2172,-0.8125]	1.08e-24	0.0001
cll	Qwen2.5-VL-7B-Instruct	229	+3.4893	+1.7904	-1.7009	[-1.9355,-1.5234]	1.61e-33	0.0001
cll	Idefics3-8B-Llama3	229	+7.0155	+4.3806	-2.0033	[-2.6875,-1.5723]	3.88e-15	0.0001
cll	llava-onevision-qwen2-7b-ov-hf	229	+2.5707	+1.5121	-0.9038	[-1.0840,-0.6562]	7.21e-13	0.0001
cll	llava-v1.6-mistral-7b-hf	229	+2.4222	+2.0013	-0.3858	[-0.6765,-0.1664]	1.38e-06	0.0001
cll	Phi-3.5-vision-instruct	229	+3.1250	+2.5000	-0.6997	[-0.8400,-0.3698]	1.14e-07	0.0001
