problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to determine how many fish disappeared from the pond. We know that Paige initially had 7 goldfish and 12 catfish, and now she has 15 fish left. 

First, let's add the number of goldfish and catfish together:

7 goldfish + 12 catfish = 19 fish

Now, we subtract the number of fish left from the total number of fish to find out how many fish disappeared:

19 fish - 15 fish = 4 fish

So, 4 fish disappeared from the pond.",text,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to determine the weight of Marco's dad's strawberries after he found 30 more pounds. Let's break it down step by step:

1. **Initial Weight of Strawberries**: Marco and his dad collected 22 pounds of strawberries together.
2. **Weight of Strawberries Found**: Marco's dad found 30 more pounds of strawberries.
3. **Total Weight of Strawberries After Finding**: The total weight of strawberries after finding 30 more pounds is 36 pounds.

Let's denote the weight of Marco's dad's strawberries as \( x \) pounds. Therefore, the total weight of strawberries after finding 30 more pounds is \( x + 30 \) pounds.

Given that the total weight of strawberries after finding 30 more pounds is 36 pounds, we can set up the equation:

\[ x + 30 = 36 \]

To find the weight of Marco's dad's strawberries, we solve for \( x \):

\[ x = 36 - 30 \]
\[ x = 6 \]

Therefore, Marco's dad's strawberries weigh 6 pounds.",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to determine how many days the soda bottles would last if Debby drank 4 soda bottles a day.

First, let's calculate the total number of soda bottles Debby bought:
- Total soda bottles = 256

Next, we need to determine how many soda bottles Debby drank in a day:
- Soda bottles drank per day = 4

Now, we can calculate the number of days the soda bottles would last by dividing the total number of soda bottles by the number of soda bottles Debby drank per day:
- Number of days soda bottles last = Total soda bottles / Soda bottles drank per day
- Number of days soda bottles last = 256 / 4
- Number of days soda bottles last = 64

Therefore, the soda bottles would last for 64 days.",text,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to subtract the amount Olivia spent at the showroom from the total amount she had in her wallet before she visited the showroom. 

1. Olivia had 106 dollars in her wallet.
2. She spent 49 dollars at the showroom.
3. After visiting the showroom, she had 26 dollars left.

To find out how much she spent at the supermarket, we subtract the amount she spent at the showroom from the total amount she had before visiting the showroom:

106 dollars - 49 dollars = 57 dollars

So, Olivia spent 57 dollars at the supermarket.",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to determine the total number of pencils Faye has by multiplying the number of pencils in each row by the number of rows.

Given:
- Number of crayons in each row: 71
- Number of pencils in each row: 24
- Total number of rows: 30

Step-by-step solution:

1. Calculate the total number of crayons:
   \[
   \text{Total crayons} = \text{Number of crayons per row} \times \text{Number of rows}
   \]
   \[
   \text{Total crayons} = 71 \times 30
   \]
   \[
   \text{Total crayons} = 2130
   \]

2. Calculate the total number of pencils:
   \[
   \text{Total pencils} = \text{Number of pencils per row} \times \text{Number of rows}
   \]
   \[
   \text{Total pencils} = 24 \times 30
   \]
   \[
   \text{Total pencils} = 720
   \]

Therefore, Faye has a total of 7",neither,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, let's break it down step by step:

1. Ed had 10 more marbles than Doug.
2. Doug lost 11 of his marbles at the playground.
3. Ed had 45 marbles.

First, let's find out how many marbles Doug had initially. Since Ed had 10 more marbles than Doug, and Ed had 45 marbles, we can set up the following equation:

\[ \text{Ed's marbles} = \text{Doug's marbles} + 10 \]

Substituting the value of Ed's marbles:

\[ 45 = \text{Doug's marbles} + 10 \]

To find out how many marbles Doug had initially, we subtract 10 from both sides of the equation:

\[ \text{Doug's marbles} = 45 - 10 \]

\[ \text{Doug's marbles} = 35 \]

Now, we know that Doug had 35 marbles initially. Since Doug lost 11 marbles, we can find out how many marbles Ed had after Doug lost some:

\[ \text{Ed's marbles} = \text",neither,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to add the number of children who got on the bus to the original number of children on the bus.

Original number of children on the bus: 26
Number of children who got on the bus: 38

Total number of children on the bus now: 26 + 38 = 64

So, the answer is:

#### 64",text,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve this problem, we need to add up the number of cookies Helen baked each day. Let's break it down step by step:

1. Yesterday: 31 cookies
2. This morning: 270 cookies
3. The day before yesterday: 419 cookies

Now, let's add these numbers together:

31 (yesterday) + 270 (this morning) + 419 (the day before yesterday) = 790 cookies

So, Helen baked a total of 790 cookies till last night.",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to calculate the total number of oranges harvested in 87 days.

1. Calculate the number of oranges harvested per day: 66 sacks/day x 25 oranges/sack = 1650 oranges/day
2. Calculate the total number of oranges harvested in 87 days: 1650 oranges/day x 87 days = 14,295 oranges

Therefore, the total number of oranges harvested after 87 days of harvest is 14,295.",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve the problem, we need to determine the total number of shirts made by the machine over the two days and then divide that number by the number of shirts made per minute to find the total number of minutes the machine worked.

1. Calculate the total number of shirts made by the machine over the two days:
   - Yesterday: 9 shirts
   - Today: 44 shirts
   - Total shirts made: 9 + 44 = 53 shirts

2. Calculate the total number of minutes the machine worked:
   - The machine can make 3 shirts per minute.
   - Total minutes worked: 53 shirts / 3 shirts per minute = 17.67 minutes

Since the number of minutes worked cannot be a fraction, we round up to the nearest whole number. Therefore, the machine worked for 18 minutes yesterday.

#### answer: 18",neither,neutral
