problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to determine the number of fish that disappeared from the pond. Let's break down the information given:

Initial number of goldfish: 7
Initial number of catfish: 12
Number of fish left: 5

We can set up the equation as follows:

Initial number of goldfish + Initial number of catfish - Number of fish left = Number of fish that disappeared

7 + 12 - 5 = Number of fish that disappeared

Let's calculate the number of fish that disappeared:

7 + 12 = 19
19 - 5 = 14

Therefore, the number of fish that disappeared is 14.

#### 14",neither
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to determine the weight of the strawberries that Marco's dad collected. Let's break down the information given:

1. Marco and his dad collected strawberries that weighed 2 pounds.
2. Marco found 33 more pounds of strawberries.
3. Marco's strawberries now weigh 36 pounds.

We can set up the equation as follows:

Marco's strawberries + Dad's strawberries = Total strawberries
Marco's strawberries + 33 pounds = 36 pounds

Let's solve for Marco's strawberries:

Marco's strawberries = 36 pounds - 33 pounds
Marco's strawberries = 3 pounds

Now, we know that Marco's strawberries weigh 3 pounds. To find the weight of the strawberries that Marco's dad collected, we subtract Marco's strawberries from the total weight:

Dad's strawberries = Total strawberries - Marco's strawberries
Dad's strawberries = 2 pounds - 3 pounds

Since the weight cannot be negative, we need to re-evaluate the problem. The correct interpretation should be:

Marco's strawberries + Dad's strawberries = Total strawberries
Marco's strawberries + Dad's strawberries =",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to determine how many days the soda bottles would last if Debby drinks 312 water bottles and 4 soda bottles a day.

Let's break down the information given:
- Debby drinks 312 water bottles and 4 soda bottles a day.
- We need to find out how many days the soda bottles would last.

We can set up the equation as follows:
Number of soda bottles / Number of soda bottles consumed per day = Number of days the soda bottles would last

Let's calculate the number of soda bottles consumed per day:
4 soda bottles per day

Now, let's calculate the number of days the soda bottles would last:
Number of soda bottles / Number of soda bottles consumed per day = Number of days the soda bottles would last

Number of soda bottles = 4 soda bottles per day

Number of days the soda bottles would last = 4 soda bottles / 4 soda bottles per day

Number of days the soda bottles would last = 1 day

Therefore, the soda bottles would last for 1 day.

#### 1",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to determine how much money TJ spent at the store. We know that TJ had $26 left after visiting the store and that he spent $49 at the store. 

Let's break down the information given:
- TJ had $26 left after visiting the store.
- TJ spent $49 at the store.

We can set up the equation as follows:
Amount of money TJ had - Amount of money TJ spent = Amount of money TJ had left

Let's calculate the amount of money TJ had before visiting the store:
$26 + $49 = $75

Therefore, TJ had $75 before visiting the store.

#### 75",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to determine the number of pencils Faye has. We know that she has 30 toys, with 1 clayon and 4 pencils in each toy. 

Let's break down the information given:
- Number of toys: 30
- Number of clayons per toy: 1
- Number of pencils per toy: 4

To find the total number of pencils, we multiply the number of toys by the number of pencils per toy:

Total number of pencils = Number of toys * Number of pencils per toy
Total number of pencils = 30 * 4

Total number of pencils = 120

Therefore, Faye has 120 pencils.

#### 120",neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, we need to determine how many marbles Doug has after losing 11 marbles at the playground. We also need to find out how many more marbles Doug has than Ed.

Step 1: Determine the number of marbles Doug has after losing 11 marbles.
Doug initially has 45 marbles.
Doug loses 11 marbles.
Marbles left with Doug = Initial marbles - Lost marbles
Marbles left with Doug = 45 - 11
Marbles left with Doug = 34

Step 2: Determine the number of marbles Ed has.
Ed has 10 more marbles than Doug.
Marbles with Ed = Marbles with Doug + 10
Marbles with Ed = 34 + 10
Marbles with Ed = 44

Step 3: Determine how many more marbles Doug has than Ed.
Difference in marbles = Marbles with Doug - Marbles with Ed
Difference in marbles = 34 - 44
Difference in marbles = -10

Since the difference is negative, it means Ed has 10 more marbles than Doug.

#### -10",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to determine the total number of children on the bus after the second stop.

1. At the first stop, 2 children got on the bus.
2. At the second stop, 3 more children got on the bus.

To find the total number of children on the bus now, we add the number of children from both stops:

2 (first stop) + 3 (second stop) = 5

Therefore, there are 5 children on the bus now.

#### 5",neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve this problem, we need to determine the total number of cookies Helen baked. We know that she baked 27 cookies in the morning and 619 cookies the day before yesterday. 

Let's add these two quantities together:

27 cookies (morning) + 619 cookies (day before yesterday) = 646 cookies

Therefore, Helen baked a total of 646 cookies.

#### 646",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to determine how many oranges Helen will have after 87 days of eating 2 oranges per day.

Step 1: Determine the total number of oranges Helen eats in 87 days.
Helen eats 2 oranges per day, so in 87 days, she will eat:
2 oranges/day * 87 days = 174 oranges

Step 2: Determine the total number of oranges Helen has after 87 days.
Helen starts with 66 oranges and eats 174 oranges, so she will have:
66 oranges - 174 oranges = -108 oranges

Since Helen cannot have a negative number of oranges, she will have 0 oranges after 87 days.

Therefore, Helen will have 0 oranges after 87 days.

#### 0",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to determine how many minutes the machine worked yesterday. Let's break down the information given:

- The machine made 9 shirts yesterday.
- The machine made 4 shirts today.
- The machine can make 1 shirt in 1 minute.

We can set up the equation as follows:

Number of shirts made yesterday / Number of shirts made per minute = Total time worked yesterday

9 shirts / 1 shirt per minute = 9 minutes

Therefore, the machine worked for 9 minutes yesterday.

#### 9",neither
