problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Step 1: First, we need to find out how many fish Paige had before the stray cats ate any. We know she had 7 goldfish and 12 catfish, so we add those two numbers together: 7 + 12 = 19.

Step 2: Now we know Paige had 19 fish before any disappeared. We also know she has 15 fish left after the stray cats ate some. To find out how many fish disappeared, we subtract the number of fish she has left from the number she had before: 19 - 15 = 4.

So, 4 fish disappeared. #### 4",text,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: Determine the total weight of Marco's strawberries.
Marco's strawberries weighed 36 pounds after his dad found more strawberries.

Step 2: Determine the weight of the strawberries Marco's dad found.
Marco's dad found 30 more pounds of strawberries.

Step 3: Subtract the weight of Marco's strawberries from the total weight to find the weight of his dad's strawberries.
36 pounds (Marco's strawberries) - 22 pounds (strawberries they collected) = 14 pounds (strawberries Marco's dad found)

#### 14",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Step 1: First, let's find out how many water bottles Debby has left after drinking 312 water bottles a day.
200 - 312 = -112
Since the number of water bottles cannot be negative, it means Debby doesn't have enough water bottles to drink 312 a day. We need to find out how many days the water bottles would last if she drank 200 a day.
200 / 200 = 1 day

Step 2: Now, let's find out how many soda bottles Debby has left after drinking 4 soda bottles a day.
256 - 4 = 252

Step 3: Now, let's find out how many days the soda bottles would last if Debby drank 4 a day.
252 / 4 = 63 days

So, the soda bottles would last for 63 days. Therefore, the answer is 63.",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Step 1: Determine the amount of money Olivia had before visiting the supermarket and showroom.
Olivia had 106 dollars in her wallet.

Step 2: Determine the amount of money Olivia spent at the showroom.
Olivia spent 49 dollars at the showroom.

Step 3: Calculate the amount of money Olivia had after visiting the showroom.
After visiting the showroom, Olivia had 106 - 49 = 57 dollars left.

Step 4: Determine the amount of money Olivia spent at the supermarket.
Olivia had 26 dollars left after visiting the supermarket.

Step 5: Calculate the amount of money Olivia spent at the supermarket.
Olivia spent 57 - 26 = 31 dollars at the supermarket.

#### 31",text,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To find the total number of pencils Faye has, we need to multiply the number of pencils in each row by the number of rows. 

Number of pencils in each row: 24
Number of rows: 30

Total number of pencils = Number of pencils in each row * Number of rows
Total number of pencils = 24 * 30
Total number of pencils = 720

Faye has 720 pencils. 
#### 720",text,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: Determine the number of marbles Doug had before losing any.
Since Ed had 10 more marbles than Doug and Ed had 45 marbles, we can calculate Doug's marbles by subtracting 10 from Ed's total.
Doug's marbles = Ed's marbles - 10
Doug's marbles = 45 - 10
Doug's marbles = 35

Step 2: Calculate the number of marbles Doug had after losing 11 marbles.
Doug's marbles after losing = Doug's marbles - 11
Doug's marbles after losing = 35 - 11
Doug's marbles after losing = 24

Step 3: Determine the difference in the number of marbles between Ed and Doug after Doug lost his marbles.
Difference in marbles = Ed's marbles - Doug's marbles after losing
Difference in marbles = 45 - 24
Difference in marbles = 21

#### 21",text,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Step 1: Identify the initial number of children on the bus.
The initial number of children on the bus is 26.

Step 2: Identify the number of children that got on the bus at the bus stop.
The number of children that got on the bus at the bus stop is 38.

Step 3: Add the initial number of children to the number of children that got on the bus.
26 (initial children) + 38 (children that got on the bus) = 64

Step 4: The final number of children on the bus is 64.
#### 64",text,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"Step 1: Identify the number of cookies Helen baked yesterday, this morning, and the day before yesterday.
Yesterday: 31 cookies
This morning: 270 cookies
Day before yesterday: 419 cookies

Step 2: Add the number of cookies baked each day to find the total number of cookies Helen baked till last night.
Total cookies = 31 + 270 + 419
Total cookies = 720

Answer: 720.",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Step 1: Determine the number of oranges harvested per day.
To find the number of oranges harvested per day, we multiply the number of sacks by the number of oranges per sack.
Oranges per day = sacks per day * oranges per sack
Oranges per day = 66 * 25
Oranges per day = 1650

Step 2: Calculate the total number of oranges harvested after 87 days.
To find the total number of oranges harvested after 87 days, we multiply the number of oranges per day by the number of days.
Total oranges = oranges per day * days
Total oranges = 1650 * 87
Total oranges = 143350

#### 143350",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"1. The machine made 9 shirts yesterday and 44 shirts today.
2. The machine can make 3 shirts a minute.
3. To find out how many minutes the machine worked yesterday, we need to divide the number of shirts made yesterday by the number of shirts made per minute.
4. 9 shirts / 3 shirts per minute = 3 minutes.
5. Therefore, the machine worked for 3 minutes yesterday. #### 3",text,neutral
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"Step 1: Identify the number of bookshelves Bryan has.
Bryan has 10 bookshelves.

Step 2: Identify the number of magazines in each bookshelf.
Bryan has 46 magazines in each bookshelf.

Step 3: Multiply the number of bookshelves by the number of magazines in each bookshelf.
10 bookshelves * 46 magazines/bookshelf = 460 magazines

Step 4: Add the number of books to the total number of magazines.
Bryan has 9 books + 460 magazines = 469 total items.

#### 469",neither,neutral
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"Dave had 17 apps on his phone. After adding some, he had 18 left. To find out how many apps he added, we need to subtract the original number of apps from the new number of apps.

18 (new number of apps) - 17 (original number of apps) = 1

Dave added 1 app to his phone. #### 1",text,neutral
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"Step 1: Identify the cost of the candy bar and the chocolate.
Dan bought a candy bar for $7 and a chocolate for $6.

Step 2: Add the cost of the candy bar and the chocolate.
$7 (candy bar) + $6 (chocolate) = $13

Step 3: Determine the total amount of money spent.
Dan spent $13 buying the candy bar and chocolate.

#### 13",text,neutral
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"Step 1: To find the size of each group, we need to divide the total number of bananas by the number of groups.
Step 2: The total number of bananas is 392 and the number of groups is 196.
Step 3: Divide 392 by 196 to find the size of each group.
Answer: 2.",text,neutral
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"Step 1: Determine the current depth of the cave.
The current depth of the cave is 849 feet.

Step 2: Determine the total depth of the cave.
The total depth of the cave is 1218 feet.

Step 3: Calculate the remaining depth to reach the end of the cave.
Remaining depth = Total depth - Current depth
Remaining depth = 1218 - 849
Remaining depth = 369 feet

Step 4: Determine the speed at which they are travelling.
The speed at which they are travelling is 17 feet per hour.

Step 5: Calculate the time it will take to reach the end of the cave.
Time = Remaining depth / Speed
Time = 369 / 17
Time = 21.7 hours

Step 6: Round the time to the nearest whole number.
Time = 22 hours

#### 22",neither,neutral
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"1. We know that there are 4 seats on the Ferris wheel.
2. We also know that 20 people can ride the wheel at the same time.
3. To find out how many people each seat can hold, we divide the total number of people by the number of seats.
4. So, 20 people / 4 seats = 5 people per seat.
5. Therefore, each seat can hold 5 people. 
#### 5",text,neutral
16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,5,136,"Step 1: Identify the initial quantities of tomatoes and potatoes.
The farmer initially had 177 tomatoes and 12 potatoes.

Step 2: Identify the quantity of tomatoes picked.
The farmer picked 53 tomatoes.

Step 3: Calculate the remaining quantity of tomatoes.
Subtract the picked tomatoes from the initial quantity of tomatoes.
177 - 53 = 124 tomatoes left

Step 4: Determine the remaining quantity of potatoes.
The quantity of potatoes remains unchanged as no potatoes were picked.
12 potatoes left

Step 5: Combine the remaining quantities of tomatoes and potatoes.
Add the remaining tomatoes and potatoes.
124 tomatoes + 12 potatoes = 136

#### 136",text,neutral
17,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,136,91,"Step 1: Identify the information given in the problem.
- Danny lost 66 bottle caps at the park.
- Danny now has 25 bottle caps in his collection.

Step 2: Determine the operation needed to solve the problem.
- To find out how many bottle caps Danny had at first, we need to add the number of bottle caps he lost to the number he has now.

Step 3: Perform the operation.
- Danny had 25 bottle caps + 66 bottle caps = 91 bottle caps at first.

Step 4: Write the final answer.
#### 91",text,neutral
18,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",91,13,"Step 1: Identify the number of emails received in the afternoon and evening.
Jack received 5 emails in the afternoon and 8 emails in the evening.

Step 2: Add the number of emails received in the afternoon and evening.
5 (afternoon) + 8 (evening) = 13

Answer: Jack received 13 emails in the afternoon and evening.",text,neutral
19,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,13,7,"Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. To find out how many sweet cookies Paco has left, we need to subtract the number of sweet cookies he ate from the total number of sweet cookies he had.

22 (total sweet cookies) - 15 (sweet cookies eaten) = 7

Paco has 7 sweet cookies left. #### 7",text,neutral
20,Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,7,33,"165 / 5 = 33
#### 33",text,neutral
21,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,33,3,"Dave had 24 files and 13 apps on his phone. After deleting some apps and files, he had 17 apps and 21 files left. To find out how many files he deleted, we need to subtract the number of files he had left from the original number of files.

24 (original files) - 21 (files left) = 3 files

Dave deleted 3 files. #### 3",text,neutral
22,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,In a school there are 569 girls and 236 boys. How many more girls than boys does the school have?,3,333,"Step 1: Identify the number of girls and boys in the school.
569 girls and 236 boys

Step 2: Subtract the number of boys from the number of girls to find the difference.
569 - 236 = 333

Step 3: The difference is the number of more girls than boys.
333

#### 333",text,neutral
23,In a school there are 569 girls and 236 boys. How many more girls than boys does the school have?,Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,333,22,"Step 1: Determine the number of eggs in each group.
Each group has 2 eggs.

Step 2: Determine the total number of eggs.
Rebecca wants to split the eggs into groups of 11, so the total number of eggs is a multiple of 11.

Step 3: Calculate the total number of eggs.
Since each group has 2 eggs, the total number of eggs is 2 * 11 = 22.

#### 22",text,neutral
24,Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,Mary is baking a cake. The recipe calls for 7 cups of sugar and 10 cups of flour. She already put in 4 cups of sugar. How many more cups of sugar does she need to add?,22,3,"Step 1: Identify the initial amount of sugar Mary has.
Mary has 4 cups of sugar.

Step 2: Identify the total amount of sugar needed.
The recipe calls for 7 cups of sugar.

Step 3: Calculate the difference between the total amount needed and the amount Mary has.
7 cups (total needed) - 4 cups (initial amount) = 3 cups

Answer: Mary needs to add 3 more cups of sugar.",text,neutral
