problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to determine how many fish disappeared from the pond. Here's the step-by-step solution:

1. **Calculate the total number of fish initially raised:**
   - Uoldfh: 7
   - Catfish: 12
   - Total fish initially raised = 7 + 12 = 19

2. **Determine the number of fish remaining after some were eaten:**
   - Fish remaining = 15

3. **Calculate the number of fish that disappeared:**
   - Disappeared fish = Total fish initially raised - Fish remaining
   - Disappeared fish = 19 - 15 = 4

So, the number of fish that disappeared is 4.

#### <answer>4####",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Let's break down the problem step by step:

1. **Initial Weight of Strawberries**: Maico and his dad initially collected strawberries that weighed 2 pounds.
2. **Additional Weight Collected**: Maico's dad found an additional 3 pounds of strawberries.
3. **Total Weight After Additional Collection**: The total weight of the strawberries after the additional collection is 36 pounds.

We need to find out how much Maico's dad's strawberries weighed before the additional collection.

First, let's calculate the weight of the strawberries Maico's dad had before the additional collection:
- Total weight after additional collection = 36 pounds
- Initial weight of strawberries = 2 pounds

So, the weight of the strawberries Maico's dad had before the additional collection is:
\[ 36 \text{ pounds} - 2 \text{ pounds} = 34 \text{ pounds} \]

Therefore, the weight of the strawberries Maico's dad had before the additional collection was 34 pounds.

#### <answer> 34 pounds",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to determine how many days the soda bottles will last based on the daily consumption rate.

1. **Total number of soda bottles:** 256
2. **Daily consumption of soda bottles:** 4

Now, we calculate the number of days the soda bottles will last by dividing the total number of soda bottles by the daily consumption:

\[
\text{Number of days} = \frac{\text{Total number of soda bottles}}{\text{Daily consumption of soda bottles}} = \frac{256}{4}
\]

Performing the division:

\[
256 \div 4 = 64
\]

So, the soda bottles will last for 64 days.

#### <answer> 64 days",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Let's solve the problem step by step:

1. **Initial amount in Olivia's wallet**: $106
2. **Amount left after shopping**: $26
3. **Amount spent at the showroom**: $49

We need to find out how much Olivia spent at the supermarket.

First, calculate the total amount spent:
\[ \text{Total amount spent} = \text{Amount spent at the showroom} + \text{Amount spent at the supermarket} \]

We know the total amount spent is the initial amount minus the amount left:
\[ \text{Total amount spent} = 106 - 26 = 80 \]

Now, we can find the amount spent at the supermarket:
\[ \text{Amount spent at the supermarket} = \text{Total amount spent} - \text{Amount spent at the showroom} \]
\[ \text{Amount spent at the supermarket} = 80 - 49 = 31 \]

So, the amount Olivia spent at the supermarket is:
#### 31",text
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"The problem seems to contain some typographical errors, but I'll assume you meant to ask how many pencils Faye has if there are 30 rows with 24 pencils in each row.

Step 1: Identify the number of rows.
- There are 30 rows.

Step 2: Identify the number of pencils per row.
- Each row contains 24 pencils.

Step 3: Calculate the total number of pencils.
- Multiply the number of rows by the number of pencils per row: \( 30 \times 24 \).

Step 4: Perform the multiplication.
- \( 30 \times 24 = 720 \).

So, Faye has 720 pencils.

#### <answer>720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Let's break down the problem step by step:

1. **Determine how many marbles Doug originally had:**
   - Ed has 10 more marbles than Doug.
   - Ed has 45 marbles.
   - Therefore, Doug originally had \( 45 - 10 = 35 \) marbles.

2. **Calculate how many marbles Doug has after losing some:**
   - Doug lost 11 marbles.
   - So, Doug now has \( 35 - 11 = 24 \) marbles.

3. **Find out how many more marbles Ed has than Doug now:**
   - Ed has 45 marbles.
   - Doug has 24 marbles.
   - The difference is \( 45 - 24 = 21 \).

So, Ed has 21 more marbles than Doug now.

#### <answer>21",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"The problem seems to have some typographical errors and is not clear. Let's break it down step by step:

1. Initially, there were 26 children on the bus.
2. Then, 3 more children got on the bus at the bus stop.

To find out how many children are on the bus now, we add the number of children who got on the bus to the initial number of children:

\[ 26 + 3 = 29 \]

So, there are 29 children on the bus now.

#### 29",neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve the problem, we need to add up the number of cookies Helen baked each day:

1. Cookies baked yesterday: 31
2. Cookies baked this morning: 270
3. Cookies baked the day before yesterday: 419

Now, let's add these numbers together:

\[ 31 + 270 + 419 \]

First, add 31 and 270:
\[ 31 + 270 = 301 \]

Next, add the result to 419:
\[ 301 + 419 = 720 \]

So, the total number of cookies Helen baked till last night is 720.

#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Let's break down the problem step by step:

1. **Daily Harvest Rate**: The problem states that they harvest 66 racks per day.
2. **Oranges per Rack**: Each rack contains 25 oranges.
3. **Total Oranges per Day**: To find the total number of oranges harvested per day, we multiply the number of racks by the number of oranges per rack:
   \[
   66 \text{ racks/day} \times 25 \text{ oranges/rack} = 1650 \text{ oranges/day}
   \]
4. **Number of Days**: The problem asks for the total number of oranges after 87 days of harvest.
5. **Total Oranges After 87 Days**: We multiply the daily harvest rate by the number of days:
   \[
   1650 \text{ oranges/day} \times 87 \text{ days} = 143550 \text{ oranges}
   \]

So, the total number of oranges harvested after 87 days is 143,550.

#### <answer>",text
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"The problem seems to have a mix of information that doesn't align well for a single question. Let's break it down into two separate parts:

### Part 1: Oranges Harvested
- **Daily Sacks Harvested**: 66 sacks per day
- **Oranges per Sack**: 25 oranges

To find out how many oranges will be harvested after 87 days, we need to calculate the total number of sacks harvested and then multiply by the number of oranges per sack.

1. Calculate the total number of sacks harvested in 87 days:
   \[
   \text{Total sacks} = 66 \text{ sacks/day} \times 87 \text{ days}
   \]

2. Calculate the total number of oranges:
   \[
   \text{Total oranges} = \text{Total sacks} \times 25 \text{ oranges/sack}
   \]

Let's do the calculations:

1. Total sacks:
   \[
   66 \times 87 = 5742 \text{ sacks}
   \]

2. Total oranges:
   \[
   5742 \times 25 = 143550",image
