problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Step 1: First, we need to find out the total number of fishes Paige initially had. We can do this by adding the number of goldfish and catfish she raised.
Total_fishes = goldfish + catfish
Total_fishes = 7 + 12
Total_fishes = 19

Step 2: Next, we need to find out how many fishes disappeared. We can do this by subtracting the number of fishes she has left from the total number of fishes she initially had.
Disappeared_fishes = Total_fishes - fishes_left
Disappeared_fishes = 19 - 15
Disappeared_fishes = 4

So, 4 fishes disappeared. Therefore, the answer is 4.",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: First, we need to find out how much strawberries Marco picked. We know that Marco's strawberries weighed 36 pounds after his dad found more strawberries. So, we can subtract the weight of the strawberries his dad found from the total weight to find the weight of Marco's strawberries. 
36 - 30 = 6

Step 2: Now we know that Marco's strawberries weighed 6 pounds. We also know that the total weight of the strawberries they picked together was 22 pounds. So, we can subtract the weight of Marco's strawberries from the total weight to find the weight of his dad's strawberries. 
22 - 6 = 16

Step 3: Therefore, his dad's strawberries weighed 16 pounds. 
Answer: 16.",text
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Computations: (256 / 4)
Answer: 64.0.",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Step 1: First, we need to find out how much money Olivia had before she visited the supermarket and the showroom.
Step 2: We know that after visiting both places, she had 26 dollars left. So, we can calculate the amount of money she had before by adding the 26 dollars to the 49 dollars she spent at the showroom.
Step 3: 26 + 49 = 75
Step 4: Now we know that Olivia had 75 dollars before visiting the supermarket.
Step 5: To find out how much she spent at the supermarket, we subtract the amount she had before from the amount she had after visiting the supermarket.
Step 6: 75 - 26 = 49
Step 7: Therefore, Olivia spent 49 dollars at the supermarket.

Answer: 49.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,#### 24,neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: Identify the initial number of marbles Ed had.
Ed had 45 marbles.

Step 2: Determine the initial number of marbles Doug had.
Doug had 10 fewer marbles than Ed, so Doug had 45 - 10 = 35 marbles.

Step 3: Calculate the number of marbles Doug lost.
Doug lost 11 marbles at the playground.

Step 4: Calculate the number of marbles Doug has left.
Doug has 35 - 11 = 24 marbles left.

Step 5: Calculate the difference in the number of marbles between Ed and Doug.
Ed has 45 marbles and Doug has 24 marbles, so Ed has 45 - 24 = 21 more marbles than Doug.

Answer: 21.",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Step 1: Start with the initial number of children on the bus, which is 26.
Step 2: Add the number of children who got on the bus at the bus stop, which is 38.
Step 3: Calculate the total number of children on the bus by adding the initial number and the number who got on: 26 + 38 = 64.
Answer: 64.",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find out how many cookies Helen baked till last night, we need to add the number of cookies she baked yesterday, this morning, and the day before yesterday. 

Yesterday: 31 cookies
This morning: 270 cookies
Day before yesterday: 419 cookies

Total cookies baked = 31 + 270 + 419
Total cookies baked = 720

So, Helen baked 720 cookies till last night.#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Step 1: First, we need to find out how many sacks of oranges are harvested in 87 days. We can do this by multiplying the number of sacks per day by the number of days.
sacks_per_day = 66
days = 87
total_sacks = sacks_per_day * days
total_sacks = 66 * 87

Step 2: Next, we need to find out how many oranges are in total after 87 days. We can do this by multiplying the number of sacks by the number of oranges per sack.
oranges_per_sack = 25
total_oranges = total_sacks * oranges_per_sack
total_oranges = (66 * 87) * 25

Step 3: Now, we can calculate the total number of oranges.
total_oranges = 66 * 87 * 25
total_oranges = 14490

So, after 87 days of harvest, they will have 14,490 oranges. Therefore, the answer is 14490.",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To find out how many minutes the machine worked yesterday, we need to divide the number of shirts made yesterday by the number of shirts the machine can make per minute. 

So, 9 shirts / 3 shirts per minute = 3 minutes.

Therefore, the machine worked for 3 minutes yesterday.#### 3",text
