problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve the problem, we need to determine how many more bird families flew away to Africa than those that flew away to Asia.

Step 1: Identify the number of bird families that flew away to Asia.
- According to the problem, 35 bird families flew away to Asia.

Step 2: Identify the number of bird families that flew away to Africa.
- According to the problem, 62 bird families flew away to Africa.

Step 3: Calculate the difference between the number of bird families that flew away to Africa and those that flew away to Asia.
- Difference = Number of bird families that flew away to Africa - Number of bird families that flew away to Asia
- Difference = 62 - 35

Step 4: Perform the subtraction.
- 62 - 35 = 27

So, 27 more bird families flew away to Africa than those that flew away to Asia.

#### 27",image,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Let's solve the problem step by step:

1. **Initial Weight of Strawberries Collected by Marco and His Dad:**
   - Together, they collected strawberries that weighed 22 pounds.

2. **Weight of Additional Strawberries Found by Marco's Dad:**
   - Marco's dad found an additional 30 pounds of strawberries.

3. **Total Weight of Strawberries After Finding More:**
   - The total weight of strawberries Marco has now is 36 pounds.

4. **Calculate the Weight of Strawberries Found by Marco's Dad:**
   - Since Marco's strawberries now weigh 36 pounds and initially weighed 22 pounds, the weight of the additional strawberries found by Marco's dad is:
     \[
     36 \text{ pounds} - 22 \text{ pounds} = 14 \text{ pounds}
     \]

5. **Conclusion:**
   - The weight of the strawberries found by Marco's dad is 14 pounds.

#### <answer> 14 pounds",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Let's solve the problem step by step:

1. **Initial amount of strawberries collected by Marco and his dad:**
   - Together, they collected 22 pounds of strawberries.

2. **Additional strawberries found by Marco's dad:**
   - Marco's dad found an additional 30 pounds of strawberries.

3. **Total weight of strawberries Marco has now:**
   - Marco's strawberries weigh 38 pounds.

4. **Determine the weight of strawberries Marco's dad has now:**
   - Let \( x \) be the weight of strawberries Marco's dad has now.
   - According to the problem, the total weight of strawberries Marco and his dad have together is the sum of Marco's strawberries and his dad's strawberries:
     \[
     38 + x = 22 + 30
     \]
   - Simplify the right side of the equation:
     \[
     38 + x = 52
     \]
   - Solve for \( x \):
     \[
     x = 52 - 38
     \]
     \[
     x = 14
     \]

So, Marco's dad has 14 pounds of strawberries now.

#### 1",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Let's solve the problem step by step:

1. **Initial amount of money**: Olivia had $106.
2. **Amount left after shopping**: She has $26 left.
3. **Amount spent at the showroom**: She spent $49 at the showroom.
4. **Calculate the amount spent at the supermarket**:
   - Total amount spent = Amount spent at the showroom + Amount spent at the supermarket
   - Let \( S \) be the amount spent at the supermarket.
   - So, \( 49 + S = 106 - 26 \)
   - Simplify the right side: \( 106 - 26 = 80 \)
   - Therefore, \( 49 + S = 80 \)
   - Solve for \( S \): \( S = 80 - 49 \)
   - \( S = 31 \)

So, Olivia spent $31 at the supermarket.

#### <answer>",text,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"Let's solve the problem step by step:

1. **Initial Amount in Olivia's Wallet**: 
   - Olivia started with $106.

2. **Amount Left After Visiting Places**:
   - After visiting the supermarket and the showroom, she had $28 left.

3. **Amount Spent at the Showroom**:
   - She spent $49 at the showroom.

4. **Calculate Total Amount Spent**:
   - Total amount spent = Amount spent at the showroom + Amount spent at the supermarket.
   - Let \( S \) be the amount spent at the supermarket.
   - Therefore, \( S + 49 = 106 - 28 \).

5. **Solve for \( S \)**:
   - \( S + 49 = 78 \)
   - \( S = 78 - 49 \)
   - \( S = 29 \)

So, Olivia spent $29 at the supermarket.

#### <answer> 29",neither,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"The problem in the image (Source B) is about Faye placing her pencils and crayons into rows. Here's how we can solve it step by step:

1. Identify the total number of rows: 30.
2. Identify the number of crayons per row: 71.
3. Identify the number of pencils per row: 24.

To find out how many pencils Faye has, we need to multiply the number of rows by the number of pencils per row:

\[ \text{Total number of pencils} = \text{Number of rows} \times \text{Number of pencils per row} \]
\[ \text{Total number of pencils} = 30 \times 24 \]

Now, perform the multiplication:

\[ 30 \times 24 = 720 \]

So, Faye has 720 pencils.

#### 720",image,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Let's solve the problem step by step based on the information provided in Source A.

1. **Determine Doug's initial number of marbles:**
   - Ed had 10 more marbles than Doug.
   - Ed had 45 marbles.
   - Therefore, Doug had \( 45 - 10 = 35 \) marbles initially.

2. **Calculate Doug's number of marbles after losing some:**
   - Doug lost 11 marbles at the playground.
   - So, Doug has \( 35 - 11 = 24 \) marbles now.

3. **Determine how many more marbles Ed has than Doug:**
   - Ed has 45 marbles.
   - Doug has 24 marbles.
   - The difference is \( 45 - 24 = 21 \).

So, Ed has 21 more marbles than Doug.

#### 21",image,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"The problem in the image (Source B) involves adding the number of children on the bus before and after the stop. Here's how to solve it:

1. Start with the number of children already on the bus: 26.
2. Add the number of children who got on the bus at the stop: 38.

So, the total number of children on the bus now is:
\[ 26 + 38 = 64 \]

#### 64",image,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve the problem, we need to determine how many cookies Helen baked in total until last night. Let's break it down step by step:

1. **Cookies baked yesterday:** 31 cookies
2. **Cookies baked this morning:** 270 cookies
3. **Cookies baked the day before yesterday:** 419 cookies

Now, we add these amounts together to find the total number of cookies baked:

\[ 31 + 270 + 419 \]

First, add 31 and 270:
\[ 31 + 270 = 301 \]

Next, add the result to 419:
\[ 301 + 419 = 720 \]

So, the total number of cookies Helen baked till last night is:
#### 720",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"Let's solve the problem step by step:

1. **Determine the total number of oranges harvested per day:**
   - They harvest 66 sacks per day.
   - Each sack contains 25 oranges.
   - Total oranges per day = 66 sacks/day * 25 oranges/sack

2. **Calculate the total number of oranges harvested in 87 days:**
   - Total oranges per day = 66 * 25
   - Total oranges in 87 days = (66 * 25) * 87

Now, let's perform the calculations:

1. Calculate the total number of oranges per day:
   \[
   66 \times 25 = 1650 \text{ oranges per day}
   \]

2. Calculate the total number of oranges in 87 days:
   \[
   1650 \times 87 = 143550 \text{ oranges}
   \]

So, the total number of oranges they will have after 87 days of harvest is 143,550.

#### 143550",image,neutral
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"Let's solve the problem step by step:

1. Identify the number of shirts made yesterday and today:
   - Yesterday: 9 shirts
   - Today: 44 shirts

2. Calculate the total number of shirts made over the two days:
   \[
   9 + 44 = 53 \text{ shirts}
   \]

3. Determine the rate at which the machine makes shirts:
   - The machine makes 3 shirts per minute.

4. Calculate the total time the machine worked to make 53 shirts:
   \[
   \frac{53 \text{ shirts}}{3 \text{ shirts/minute}} = \frac{53}{3} \approx 17.67 \text{ minutes}
   \]

Since we need to find out how many minutes the machine worked yesterday, and we don't have information about the distribution of work between yesterday and today, we can only calculate the total time based on the total production.

The machine worked for approximately 17.67 minutes to produce 53 shirts.

#### 17.67",neither,neutral
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"To solve the problem, we need to determine how many magazines Bryan has in total. Here's the step-by-step solution:

1. Identify the number of magazines per bookshelf: Bryan has 46 magazines in each of his 10 bookshelves.
2. Calculate the total number of magazines: Multiply the number of magazines per bookshelf by the number of bookshelves.

\[ \text{Total magazines} = 46 \times 10 \]

\[ \text{Total magazines} = 460 \]

So, Bryan has a total of 460 magazines.

#### 460",image,neutral
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"Let's solve the problem step by step:

1. Dave initially had 17 apps on his phone.
2. After adding some apps, he had 18 apps left.
3. To find out how many apps he added, we need to subtract the initial number of apps from the final number of apps.

So, the calculation is:
\[ \text{Number of apps added} = \text{Final number of apps} - \text{Initial number of apps} \]
\[ \text{Number of apps added} = 18 - 17 \]
\[ \text{Number of apps added} = 1 \]

Therefore, Dave added 1 app to his phone.

#### 1",image,neutral
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"The problem in Source B is about Dan and his spending on a candy bar and a chocolate. Let's solve it step by step:

1. Dan has $4.
2. He bought a candy bar for $7.
3. He also bought a chocolate for $6.

To find out how much money Dan spent in total, we add the cost of the candy bar and the chocolate:
\[ \text{Total spent} = \$7 + \$6 = \$13 \]

However, Dan only has $4, so he cannot afford to buy both items as they cost $13 in total. Therefore, the problem as stated is not possible under the given conditions.

Since the problem asks for the total amount spent, but Dan does not have enough money, the answer is that Dan cannot spend any money on both items.

#### <answer>",image,neutral
