problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve the problem, we need to find out how many fish disappeared.

Let's denote the number of goldfish as G and the number of catfish as C.

According to the problem, Paige initially had 41 goldfish and 12 catfish.

After the stray cats ate some of the fish, Paige was left with 15 fish.

We can set up an equation to represent the situation:

G + C = 41 (initial number of goldfish)
G - (number of goldfish that disappeared) = 15 (final number of goldfish)

We can solve for the number of goldfish that disappeared by subtracting the final number of goldfish from the initial number of goldfish:

G - 15 = 41 - G

To find the number of goldfish that disappeared, we can solve for G:

2G = 41
G = 20.5

Since we cannot have half a goldfish, we can round up to the nearest whole number:

G = 21

Now, we can find the number of catfish that disappeared by",neither,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to find the weight of the strawberries that Marco's dad collected. We know that Marco and his dad collected a total of 22 pounds of strawberries. On the way back, Marco's dad found an additional 30 pounds of strawberries. So, the total weight of the strawberries they collected is now 22 + 30 = 52 pounds.

Since Marco's strawberries now weigh 36 pounds, we can subtract the weight of Marco's strawberries from the total weight to find the weight of Marco's dad's strawberries.

52 pounds (total weight) - 36 pounds (Marco's strawberries) = 16 pounds (Marco's dad's strawberries)

Therefore, Marco's dad's strawberries weigh 16 pounds.

#### <answer>",text,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to find out how many soda bottles Debby has and how many soda bottles she drinks per day.

From Source A, we know that Debby collected strawberries that weighed 27 pounds. Since there are 16 ounces in a pound, we can calculate the total weight of the strawberries:

27 pounds * 16 ounces/pound = 432 ounces

From Source B, we know that Debby bought 200 water bottles and 256 soda bottles. We can calculate the total number of soda bottles she has:

200 water bottles + 256 soda bottles = 456 soda bottles

Now, we need to find out how many soda bottles Debby drinks per day. We know that she drinks 312 water bottles and 4 soda bottles a day. We can calculate the total number of soda bottles she drinks per day:

312 water bottles/day * 4 soda bottles/day = 1248 soda bottles/day

To find out how many days the soda bottles",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve the problem, we need to find the amount of money Olivia spent at the supermarket. We can set up an equation to represent the situation:

Let x be the amount of money Olivia spent at the supermarket.
Let y be the amount of money Olivia spent at the showroom.

We know that:
1. Olivia had 106 dollars in total.
2. After visiting the supermarket and the showroom, she had 26 dollars left.
3. She spent 49 dollars at the showroom.

Using this information, we can create the following equation:

106 - 26 - 49 = x

Now, we can solve for x:

106 - 26 - 49 = x
601 = x

So, Olivia spent 601 dollars at the supermarket.

#### <answer> 601",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve the problem, we need to find the total number of pencils Faye has. We know that there are 30 rows, and each row contains 24 pencils.

First, let's calculate the total number of pencils in each row:
24 pencils/row * 30 rows = 720 pencils

Now, we have the total number of pencils in all rows. However, we need to subtract the number of crayons from the total number of pencils to find the actual number of pencils Faye has.

Since there are 71 crayons, we can subtract that number from the total number of pencils:
720 pencils - 71 crayons = 7129 pencils

Therefore, Faye has 7129 pencils.

#### <7129>",neither,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve the problem, we need to find the difference between the number of marbles Ed had and the number of marbles Doug had before Doug lost his marbles.

Let's denote the number of marbles Doug had before losing them as x.
Since Ed had 10 more marbles than Doug, we can write:
Ed's marbles = Doug's marbles + 10

After Doug lost 11 marbles, he had:
Doug's marbles after losing = x - 11

Since Ed had 45 marbles, we can set up the equation:
45 = x - 11

To find x, we need to add 11 to both sides of the equation:
x = 45 + 11
x = 56

Now that we know Doug had 56 marbles before losing 11, we can find the difference between the number of marbles Ed had and the number of marbles Doug had:
Difference = Ed's marbles - Doug's marbles
Difference = 45 - 56
Difference = -11

Since",neither,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve the problem, we need to add the number of children from both sources:

1. Start with the number of children from Source A: 26 children.
2. Add the number of children from Source B: 38 more children.
3. The total number of children on the bus is: 26 + 38 = 64 children.

Therefore, the answer is:
#### <64>",text,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve this problem, we need to add up the number of cookies Helen baked each day.

1. Yesterday: 31 cookies
2. This morning: 270 cookies
3. The day before yesterday: 419 cookies

Now, let's add these up:
31 + 270 + 419 = 710

So, Helen baked a total of 710 cookies till last night.
#### <710>",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve the problem, we need to find the total number of oranges harvested after 87 days.

1. We know that each sack contains 25 oranges.
2. We also know that they harvest 66 sacks per day.
3. To find the total number of oranges harvested after 87 days, we multiply the number of sacks per day by the number of days:

66 sacks/day * 87 days = 5644 sacks

4. Now, we multiply the number of sacks by the number of oranges per sack to find the total number of oranges:

5644 sacks * 25 oranges/sack = 141100 oranges

#### <answer> 141100 oranges",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve the problem, we need to find out how many shirts the machine made in total.

First, let's calculate the total number of shirts made by the machine:
9 shirts (yesterday) + 44 shirts (today) = 53 shirts

Next, we need to find out how many minutes the machine worked in total. We know that the machine can make 3 shirts a minute. To find the total number of minutes, we divide the total number of shirts by the number of shirts the machine can make per minute:

53 shirts / 3 shirts/minute = 17.67 minutes

Since the machine cannot work for a fraction of a minute, we round up to the nearest whole number:

18 minutes

Therefore, the machine worked for 18 minutes in total.

#### <answer>",neither,neutral
