problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Step 1: Paige initially had 7 goldfish and 12 catfish in the pond.
Step 2: Stray cats ate some of the fish, leaving Paige with 15 fish.
Step 3: To find out how many fish disappeared, we need to subtract the number of fish Paige has now from the initial number of fish.
Step 4: 15 (remaining fish) - (7 goldfish + 12 catfish) = 15 - 19 = -4
Step 5: Since we cannot have a negative number of fish, we need to re-evaluate the problem. Let's assume the stray cats ate some of the catfish instead.
Step 6: 15 (remaining fish) - 7 (goldfish) = 8
Step 7: 8 - 12 (catfish) = -4
Step 8: Again, we cannot have a negative number of fish. Let's assume the stray cats ate some of the goldfish instead.
Step 9: 15 (remaining fish) - 12 (catfish) = 3
Step 10: 3 - 7 (goldfish) = -4
Step 11: We still cannot have a negative number of fish",neither,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: First, we need to find out how much strawberries Ma1co's dad found. We know that Ma1co and his dad collected 2 pounds of strawberries together, and Ma1co found 3z more pounds. So, Ma1co's dad found 2 - 3z pounds of strawberries.

Step 2: Now, we need to find the value of z. We know that Ma1co's strawberries now weigh 36 pounds. So, we can set up the equation: 2 + 3z = 36.

Step 3: Solve the equation for z. Subtract 2 from both sides of the equation: 3z = 36 - 2. 3z = 34.

Step 4: Divide both sides of the equation by 3 to find the value of z: z = 34 / 3. z = 11.33 (rounded to two decimal places).

Step 5: Now that we have the value of z, we can find out how much strawberries Ma1co's dad found. We know that Ma1co's dad found 2 - 3z pounds of strawberries. So, Ma1co's dad found 2 - 3 * 11.",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Step 1: Calculate the total number of soda bottles Debby bought.
Total soda bottles = 256 bottles

Step 2: Calculate the number of soda bottles Debby drinks per day.
Soda bottles per day = 4 bottles

Step 3: Calculate the number of days the soda bottles will last.
Number of days = Total soda bottles / Soda bottles per day
Number of days = 256 / 4
Number of days = 64

#### 64",text,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Source B: 200 water bottles and 256 soda bottles were on sale. If she drank 312 water bottles and 4 soda bottles a day, how many days would the soda bottles last?

Solution: 
1. First, we need to find out how many soda bottles Debby drank in total. Since she drank 4 soda bottles a day, we multiply the number of days by the number of soda bottles she drank each day.
2. 312 water bottles were consumed, but we are only interested in the soda bottles, so we ignore the water bottles.
3. Debby drank 4 soda bottles a day, so the total number of soda bottles she drank is 4 * (number of days).
4. We don't have the number of days, so we need to find it. We know that the total number of soda bottles is 256, and we know that she drank 4 soda bottles a day.
5. To find the number of days, we divide the total number of soda bottles by the number of soda bottles she drank each day: 256 / 4 = 64 days.
6. Therefore, the soda bottles would last for 64 days. 

Answer: 64.",image,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"Step 1: Identify the number of rows of crayons and pencils.
Faye has 30 rows of crayons and 24 pencils in each row.

Step 2: Calculate the total number of pencils.
To find the total number of pencils, multiply the number of rows by the number of pencils in each row.
Total pencils = 30 rows * 24 pencils/row = 720 pencils

#### 720",text,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: Identify the information given in the problem.
- Ed has 10 more marbles than Doug.
- Doug lost 11 marbles at the playground.
- Ed has 45 marbles.

Step 2: Determine the number of marbles Doug has.
Since Ed has 10 more marbles than Doug and Ed has 45 marbles, we can find Doug's marbles by subtracting 10 from Ed's marbles.
Doug's marbles = Ed's marbles - 10
Doug's marbles = 45 - 10
Doug's marbles = 35

Step 3: Calculate the number of marbles Ed has more than Doug.
Ed has 10 more marbles than Doug, so we can find the difference by subtracting Doug's marbles from Ed's marbles.
Difference = Ed's marbles - Doug's marbles
Difference = 45 - 35
Difference = 10

Step 4: Present the answer.
Ed has 10 more marbles than Doug.

#### 10",neither,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Source A: Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles, how many more marbles did Ed have than Doug then?

Step 1: Determine the number of marbles Doug had before losing any.
Doug lost 11 marbles, so he had 10 more marbles than Ed. Since Ed had 45 marbles, Doug had 45 - 10 = 35 marbles before losing any.

Step 2: Calculate the number of marbles Doug had after losing 11 marbles.
Doug lost 11 marbles, so he had 35 - 11 = 24 marbles after losing.

Step 3: Determine the difference in the number of marbles between Ed and Doug.
Ed had 45 marbles, and Doug had 24 marbles after losing. The difference is 45 - 24 = 21 marbles.

Answer: Ed had 21 more marbles than Doug.",image,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"Step 1: Identify the total number of cookies Helen baked yesterday, this morning, and the day before yesterday.
Total cookies = 31 (yesterday) + 270 (this morning) + 419 (the day before yesterday) = 720 cookies

Step 2: Subtract the total number of cookies from the initial number of cookies Helen had.
Cookies left = 720 - 6 (the number of cookies Helen ate) = 714 cookies

Step 3: The number of cookies Helen had last night is the number of cookies left.
Cookies last night = 714

#### 714",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Step 1: Determine the number of oranges harvested per day.
The text states that they harvest 66 racks per day, and each sack contains 25 oranges. So, the number of oranges harvested per day is 66 racks * 25 oranges = 1650 oranges.

Step 2: Calculate the total number of oranges harvested after 87 days.
To find the total number of oranges harvested after 87 days, we multiply the number of oranges harvested per day by the number of days: 1650 oranges/day * 87 days = 143350 oranges.

Step 3: Provide the final answer.
After 87 days of harvest, they will have 143350 oranges. 

#### 143350",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"Step 1: Determine the total number of shirts made by the machine.
The machine made 9 shirts yesterday and 44 shirts today, so the total number of shirts made is 9 + 44 = 53 shirts.

Step 2: Determine the number of minutes the machine worked yesterday.
The machine can make 3 shirts per minute, so to find out how many minutes it worked, we divide the total number of shirts made by the number of shirts made per minute: 53 shirts / 3 shirts per minute = 17.67 minutes.

Since the machine cannot work a fraction of a minute, we round up to the nearest whole number. Therefore, the machine worked 18 minutes yesterday.

#### 18",neither,neutral
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"Bryan has 6 books and 46 magazines in each bookshelf. To find the total number of magazines, we multiply the number of books by the number of magazines in each bookshelf:

6 books * 46 magazines/bookshelf = 276 magazines

Bryan has 276 magazines in total.",neither,neutral
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"Dave read 17 pages on his phone. After adding some, he had 18 pages left. To find out how many pages he added, we need to subtract the number of pages he read from the number of pages he had left.

18 (pages left) - 17 (pages read) = 1

Dave added 1 page to his phone. Therefore, the answer is 1.",text,neutral
