problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"aige ra1sed 7 golbish aCd 12 catfish n the pond but stray cats love 1atTng tham. Now she has 5 left. Hw many fishel diapared?

7 + 12 - 5 = 14
14 - 7 = 7
7 - 12 = -5
-5 + 5 = 0
0 - 7 = -7
-7 + 7 = 0
0 - 7 = -7
-7 + 7 = 0
0 - 7 = -7
-7 + 7 = 0
0 - 7 = -7
-7 + 7 = 0
0 - 7 = -7
-7 + 7 = 0
0 - 7 = -7
-7 + 7 = 0
0 - 7 = -7
-7 + 7 = 0
0 - 7 = -7
-7 + 7 = 0
0 - 7 = -7
-7 + 7 = 0
0 - 7 = -7
-7 + 7 = 0",neither,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?

Paige initially had 7 goldfish and 12 catfish, which totals to 19 fish. If she now has 15 fish left, we can find out how many fish have disappeared by subtracting the number of fish she has left from the total number of fish she initially had.

Number of fish that disappeared = Total number of fish - Number of fish left
= 19 - 15
= 4

So, 4 fish have disappeared.",image,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Debby bought 200 water bottles and 29 soda bottles. She drinks 312 water bottles and 4 soda bottles a day. To find out how many days the soda bottles will last, we need to calculate the total number of soda bottles she has and then divide that by the number of soda bottles she drinks per day.

First, let's find out how many soda bottles she has in total:
29 soda bottles

Next, we need to know how many soda bottles she drinks per day:
4 soda bottles per day

Now, we can calculate how many days the soda bottles will last:
Number of days = Total number of soda bottles / Number of soda bottles per day
Number of days = 29 / 4

When we divide 29 by 4, we get 7 with a remainder of 1. This means that the soda bottles will last for 7 full days, and on the 8th day, she will not have enough soda bottles to drink 4 bottles. Therefore, the soda bottles will last for 7 days.

#### 7",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"TjJre spent 26 dollars at the showrom. She had 49 dollars left after visiting the store. So, she spent 49 - 26 = 23 dollars at the store. Therefore, she spent 23 dollars at the store.",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. She spent 49 dollars at the showroom. How much did she spend at the supermarket?,neither,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"DugO had 45 marbles.
DugO lost 11 marbles, so he has 45 - 11 = 34 marbles left.
Ed has 10 more marbles than DugO, so he has 34 + 10 = 44 marbles.
To find out how many more marbles Ed has than DugO, we subtract the number of marbles DugO has from the number of marbles Ed has: 44 - 34 = 10.
So, Ed has 10 more marbles than DugO.",neither,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Source B is not relevant to the math problem described in the image. The math problem in the image involves comparing the number of marbles that Ed and Doug have. The problem states that Ed had 10 more marbles than Doug, and Doug lost 11 of his marbles at the playground. It also mentions that if Ed had 45 marbles, how many more marbles did Ed have than Doug then. The problem does not involve any information about children on a bus. Therefore, the answer to the math problem in the image is:

Ed had 10 more marbles than Doug, and Doug lost 11 of his marbles at the playground. If Ed had 45 marbles, then Doug had 45 - 10 = 35 marbles. After losing 11 marbles, Doug had 35 - 11 = 24 marbles. Therefore, Ed had 45 - 24 = 21 more marbles than Doug then.",image,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find out how many cookies Helen baked, we need to add the number of cookies she baked this morning and the number of cookies she baked the day before yesterday.

From the information given:
- This morning, Helen baked 27 cookies.
- The day before yesterday, she baked 619 cookies.

Now, we add these two numbers together:
27 cookies (this morning) + 619 cookies (day before yesterday) = 646 cookies

Therefore, Helen baked a total of 646 cookies till 3 a.m. yesterday.

#### 646",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"The problem is asking for the total number of oranges that will be left after 87 days, given that each person eats 2 oranges per day and there are 66 oranges at the beginning.

To solve this problem, we can use the formula for the number of oranges left after a certain number of days:

Number of oranges left = initial number of oranges - (number of oranges eaten per day) * number of days

In this case, the initial number of oranges is 66, the number of oranges eaten per day is 2, and the number of days is 87.

Plugging these values into the formula, we get:

Number of oranges left = 66 - (2 * 87)
Number of oranges left = 66 - 174
Number of oranges left = -108

However, it is not possible to have a negative number of oranges. This means that the problem is not solvable with the given information, as the number of oranges eaten per day is greater than the initial number of oranges.

Therefore, the answer is that it is not possible to solve this problem with the given information.",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"9 shirts were made yesterday and 4 shirts were made today. The machine can make 1 shirt per minute. To find out how many minutes the machine worked yesterday, we need to divide the total number of shirts made yesterday by the number of shirts made per minute. So, 9 shirts / 1 shirt per minute = 9 minutes. Therefore, the machine worked for 9 minutes yesterday. The answer is 9.",neither,neutral
