problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,#### 10,neither
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,#### 13,neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Debby bought 200 water bottles and 29 soda bottles.
She drinks 312 water bottles and 4 soda bottles a day.
To find out how many days the soda bottles will last, we need to divide the total number of soda bottles by the number of soda bottles she drinks per day.
29 soda bottles / 4 soda bottles per day = 7.25 days
Since we can't have a fraction of a day, we round down to the nearest whole number.
Therefore, the soda bottles will last for 7 days.
#### 7",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,#### 17,neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,#### 12,neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Let's denote the number of marbles DugO D5ug had as \(D\). According to the problem, DugO D5ug lost 11 marbles, so the number of marbles DugO D5ug has now is \(D - 11\).

It is also given that Ed has 10 more marbles than DugO D5ug. Therefore, the number of marbles Ed has is \(D - 11 + 10 = D + 9\).

The problem asks how many more marbles Ed has than DugO D5ug. So, we need to find the difference between the number of marbles Ed has and the number of marbles DugO D5ug has now, which is \((D + 9) - (D - 11)\).

Simplifying this expression, we get:
\[
(D + 9) - (D - 11) = D + 9 - D + 11 = 20
\]

Therefore, Ed has 20 more marbles than DugO D5ug. The answer is \(\boxed{20}\).",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"There are 2 children on the bus.
At the bus stop, 3 more children got on the bus.
To find the total number of children on the bus now, we add the number of children on the bus initially to the number of children who got on the bus.
2 + 3 = 5
So, there are 5 children on the bus now.
#### <5>",neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"Let's break down the problem step by step:

1. Helen baked 27 cookies this morning.
2. Helen baked 619 cookies the day before yesterday.

To find out how many cookies Helen baked till 3 a.m. today, we need to add the number of cookies she baked this morning to the number of cookies she baked the day before yesterday.

27 cookies (this morning) + 619 cookies (day before yesterday) = 646 cookies

Therefore, Helen baked 646 cookies till 3 a.m. today.

#### <646>",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To find out how many oranges they will have after 87 days, we need to calculate the total number of oranges they have now and then multiply it by the number of oranges each orange tree produces per day.

First, let's find out how many oranges each orange tree produces per day:
Each orange tree produces 2 oranges per day.

Next, let's find out how many orange trees they have:
They have 66 orange trees.

Now, let's calculate the total number of oranges they have now:
66 orange trees * 2 oranges per day = 132 oranges.

Finally, let's calculate how many oranges they will have after 87 days:
132 oranges * 87 days = 11562 oranges.

Therefore, they will have 11562 oranges after 87 days.

#### <11562>",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"9 * 60 = 540
4 * 60 = 240
540 + 240 = 780
780 / 13 = 60
60 minutes
#### 60",neither
