problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To find out how many fishes disappeared, we need to subtract the number of goldfish and catfish that are left from the total number of fish that were originally raised.

Total number of fish = 7 (goldfish) + 12 (catfish) = 19 fish

Number of fish left = 15 fish

Fish that disappeared = Total number of fish - Number of fish left
Fish that disappeared = 19 - 15
Fish that disappeared = 4 fish

So, 4 fishes disappeared.",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To find out how much Marco's dad's strawberries weighed, we need to subtract the weight of Marco's strawberries from the total weight of the strawberries collected by Marco and his dad.

Total weight of strawberries collected = 22 pounds
Weight of Marco's strawberries = 36 pounds

Weight of Marco's dad's strawberries = Total weight of strawberries collected - Weight of Marco's strawberries
Weight of Marco's dad's strawberries = 22 pounds - 36 pounds
Weight of Marco's dad's strawberries = -14 pounds

Since the weight of strawberries cannot be negative, it means that Marco's dad found 14 more pounds of strawberries on the way back. Therefore, his dad's strawberries now weigh 14 pounds.",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to first find out how many water bottles Debby drank in total and then divide that number by the number of water bottles she drank per day to find out how many days the soda bottles would last.

1. Calculate the total number of water bottles Debby drank:
   \(312 \text{ water bottles} \div 312 \text{ water bottles/day} = 1 \text{ day}\)

2. Calculate the number of soda bottles Debby drank in total:
   \(4 \text{ soda bottles} \div 312 \text{ soda bottles/day} = 0.013 \text{ days}\)

3. Calculate the number of soda bottles left after 1 day:
   \(256 \text{ soda bottles} - 312 \text{ water bottles} = -56 \text{ soda bottles}\)

Since Debby drank 312 water bottles in 1 day, and there are 256 soda bottles left, the soda bottles would last for 0.013 days.

So, the answer is:
#### 0.013 days",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To find out how much Olivia spent at the supermarket, we need to subtract the amount she spent at the showroom from the total amount she had initially.

Total amount Olivia had initially: $106
Amount spent at the showroom: $49

Amount spent at the supermarket = Total amount Olivia had initially - Amount spent at the showroom
Amount spent at the supermarket = $106 - $49
Amount spent at the supermarket = $57

So, Olivia spent $57 at the supermarket.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To find out how many pencils Faye has, we need to multiply the number of crayons by the number of rows and then divide by the number of pencils in each row.

Number of crayons = 71
Number of rows = 30
Number of pencils in each row = 24

Total number of pencils = (Number of crayons) * (Number of rows) / Number of pencils in each row
Total number of pencils = 71 * 30 / 24

Now, let's calculate the total number of pencils:

Total number of pencils = 71 * 30 / 24
Total number of pencils = 2135 / 24
Total number of pencils = 89.25

Since the number of pencils cannot be a fraction, we need to round it to the nearest whole number. In this case, Faye has 89 pencils.",neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, let's break it down step by step:

1. **Initial Marbles**: Ed had 10 more marbles than Doug initially.
   - Let the number of marbles Doug had be \( D \).
   - Therefore, Ed had \( D + 10 \) marbles initially.

2. **Marbles Lost by Doug**: Doug lost 11 marbles at the playground.
   - So, the number of marbles Doug has now is \( D - 11 \).

3. **Marbles Ed Has**: Ed had 45 marbles initially.
   - Therefore, Ed has \( 45 \) marbles now.

4. **Comparing Marbles**: We need to find out how many more marbles Ed has than Doug now.
   - Ed has 45 marbles, and Doug has \( D - 11 \) marbles.
   - So, the difference in marbles is \( 45 - (D - 11) \).

5. **Solving for \( D \)**: We know Ed had 10 more marbles than Doug initially, so we can set up the equation:
   - \( D + 10 = 4",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to add the number of children who got on the bus to the original number of children on the bus.

Original number of children on the bus: 26
Number of children who got on the bus: 38

Total number of children on the bus now: 26 + 38 = 64

So, there are 64 children on the bus now.",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find out how many cookies Helen baked till last night, we need to add up all the cookies she baked throughout the day.

1. Yesterday: 31 cookies
2. This morning: 270 cookies
3. The day before yesterday: 419 cookies

Adding these together:

31 (yesterday) + 270 (this morning) + 419 (the day before yesterday) = 790 cookies

So, Helen baked a total of 790 cookies till last night.",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To find out how many oranges will be harvested after 87 days of harvest, we first need to calculate the total number of sacks harvested in 87 days. Then, we multiply that number by the number of oranges in each sack.

1. Calculate the total number of sacks harvested in 87 days:
   \( 66 \, \text{sacks/day} \times 87 \, \text{days} = 5718 \, \text{sacks} \)

2. Calculate the total number of oranges harvested in 87 days:
   \( 5718 \, \text{sacks} \times 25 \, \text{oranges/sack} = 143450 \, \text{oranges} \)

So, after 87 days of harvest, they will have 143,450 oranges.",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To find out how many minutes the machine worked yesterday, we first need to calculate the total number of shirts made in both days and then divide that number by the number of shirts made per minute.

Yesterday's shirts made: 9 shirts
Today's shirts made: 44 shirts

Total shirts made: 9 + 44 = 53 shirts

The machine can make 3 shirts per minute.

To find out how many minutes the machine worked yesterday, we divide the total number of shirts made by the number of shirts made per minute:

53 shirts / 3 shirts per minute = 17.67 minutes

Since the machine cannot work a fraction of a minute, we round up to the nearest whole number. Therefore, the machine worked for 18 minutes yesterday.",neither
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"To find the total number of magazines Bryan has, we need to multiply the number of books by the number of magazines per book and then multiply that result by the number of bookshelves.

Number of books = 9
Number of magazines per book = 46
Number of bookshelves = 10

Total number of magazines = (Number of books) * (Number of magazines per book) * (Number of bookshelves)
Total number of magazines = 9 * 46 * 10
Total number of magazines = 4040

So, Bryan has a total of 4040 magazines.",neither
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"To find out how many apps Dave added, we can subtract the number of apps he had left from the number he originally had:

18 apps (after adding) - 17 apps (original) = 1 app added.

So, Dave added 1 app.",text
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"To solve this problem, we need to subtract the cost of the candy bar from the total amount of money Dan had. 

Dan had $4. He spent $7 on a candy bar and $6 on a chocolate. 

So, the total amount of money spent is:

$7 (candy bar) + $6 (chocolate) = $13

Dan spent $13 on the candy bar and chocolate.",text
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To find out how big each group is, we need to divide the total number of bananas by the number of groups.

Total number of bananas = 392
Number of groups = 196

Each group size = Total number of bananas / Number of groups
Each group size = 392 / 196

Let's calculate the answer:

Each group size = 392 / 196 = 2

So, each group is 2 bananas.",text
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"To find out how much farther they need to travel until they reach the end of the cave, we first need to calculate the remaining distance they have to travel. 

The total depth of the cave is 1218 feet, and they are already at 849 feet. So, the remaining distance they need to travel is:

1218 feet (total depth) - 849 feet (current depth) = 369 feet

Now, we know they are traveling at a speed of 17 feet per minute. To find out how much farther they need to travel, we multiply the remaining distance by their speed:

369 feet (remaining distance) * 17 feet/minute = 6323 feet

So, they need to travel 6323 feet farther until they reach the end of the cave.",neither
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"To find out how many people each seat can hold, we need to divide the total number of people that can ride the Ferris wheel at the same time by the number of seats.

Total number of people = 20
Number of seats = 4

People per seat = Total number of people / Number of seats
People per seat = 20 / 4
People per seat = 5

So, each seat can hold 5 people.",text
16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,5,136,"To solve this problem, we need to subtract the number of tomatoes picked from the total number of tomatoes and then subtract the number of potatoes picked from the total number of potatoes.

1. First, calculate the number of tomatoes left: 177 tomatoes - 53 tomatoes picked = 124 tomatoes left.
2. Then, calculate the number of potatoes left: 12 potatoes - 12 potatoes picked = 0 potatoes left.

So, the farmer has 124 tomatoes and 0 potatoes left. The answer is: #### 124 tomatoes and 0 potatoes.",neither
17,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,136,91,"To find out how many bottle caps Danny had at first, we need to add the number of bottle caps he has now to the number of bottle caps he lost.

So, Danny had 25 bottle caps + 66 bottle caps = 91 bottle caps at first.

The answer is: #### 91",text
18,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",91,13,"To find out how many emails Jack received in the afternoon and evening, we need to add the number of emails he received in the morning and the number of emails he received in the afternoon and evening.

Morning: 4 emails
Afternoon: 5 emails
Evening: 8 emails

Total emails = 4 + 5 + 8

Let's add them together:

4 + 5 = 9
9 + 8 = 17

Jack received a total of 17 emails in the afternoon and evening combined.",neither
19,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,13,7,"Paco ate 15 sweet cookies and 54 salty cookies, so he ate a total of 15 + 54 = 69 cookies. He started with 22 sweet cookies and ate 69, so he has 22 - 69 = -47 sweet cookies left. However, it's not possible to have negative cookies, so Paco must have eaten all his sweet cookies and none of his salty cookies.",neither
20,Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,7,33,"To find out how much they made per day, we need to divide the total amount of money earned by the number of days. So, we have:

165 dollars / 5 days = 33 dollars per day

Therefore, they made $33 per day.",text
21,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,33,3,"To find out how many files Dave deleted, we can subtract the number of files he had left from the number he had before deleting any.

Dave had 24 files before deleting any. After deleting some, he had 17 files left. So, the number of files he deleted is:

24 (initial number of files) - 17 (number of files left) = 7 files deleted.

So, Dave deleted 7 files.",neither
22,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,In a school there are 569 girls and 236 boys. How many more girls than boys does the school have?,3,333,"To find out how many more girls than boys the school has, we need to subtract the number of boys from the number of girls.

Number of girls = 569
Number of boys = 236

Number of girls - Number of boys = 569 - 236 = 333

So, the school has 333 more girls than boys.",text
23,In a school there are 569 girls and 236 boys. How many more girls than boys does the school have?,Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,333,22,"To solve this problem, we need to find out how many eggs Rebecca has in total. We know that each group of 11 eggs has 2 eggs. 

Let's calculate:

1. First, find out how many groups Rebecca can make with 2 eggs:
   \( \frac{2 \text{ eggs}}{11 \text{ eggs/group}} = 0.1818... \)

Since Rebecca can't have a fraction of a group, she can make 0 full groups. 

2. Next, calculate the total number of eggs she has:
   \( 0 \text{ groups} \times 11 \text{ eggs/group} = 0 \text{ eggs} \)

So, Rebecca has 0 eggs in total.",neither
24,Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,Mary is baking a cake. The recipe calls for 7 cups of sugar and 10 cups of flour. She already put in 4 cups of sugar. How many more cups of sugar does she need to add?,22,3,"To find out how many more cups of sugar Mary needs to add, we first need to determine how much more sugar is needed based on the recipe. The recipe calls for 7 cups of sugar, and Mary has already put in 4 cups. So, the amount of sugar needed is:

7 cups (total needed) - 4 cups (already added) = 3 cups (more needed)

Therefore, Mary needs to add 3 more cups of sugar.",text
25,Mary is baking a cake. The recipe calls for 7 cups of sugar and 10 cups of flour. She already put in 4 cups of sugar. How many more cups of sugar does she need to add?,Dave had 21 apps on his phone. He added 89 new apps. After deleting some he had 24 left. How many more apps did he add than he deleted?,3,3,"Let's solve this step by step:

1. Dave started with 21 apps.
2. He added 89 new apps, so the total number of apps became \(21 + 89 = 110\).
3. After deleting some apps, he had 24 left, so the number of apps he deleted was \(110 - 24 = 86\).

To find out how many more apps he added than he deleted, we subtract the number of apps deleted from the number of apps added:

\(89 - 86 = 3\)

Dave added 3 more apps than he deleted.",ambiguous
