problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to determine how many fish disappeared from the pond. We know that Paige initially had 7 goldfish and 12 catfish, and now she has 15 fish left. 

First, let's add the number of goldfish and catfish that Paige initially had:
7 (goldfish) + 12 (catfish) = 19 fish

Now, we subtract the number of fish that Paige has left from the total number of fish she initially had:
19 (initial fish) - 15 (fish left) = 4 fish

Therefore, 4 fish disappeared from the pond.",text,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to determine the weight of Marco's dad's strawberries after he found 30 more pounds. Let's break it down step by step:

1. **Initial Weight of Strawberries**: Marco and his dad collected 22 pounds of strawberries together.
2. **Weight of Strawberries Found**: Marco's dad found 30 more pounds of strawberries.
3. **Total Weight of Strawberries**: After finding 30 more pounds, the total weight of strawberries became 36 pounds.

Let's denote the weight of Marco's dad's strawberries as \( x \) pounds. According to the problem, we have:

\[ x + 30 = 36 \]

To find the weight of Marco's dad's strawberries, we solve for \( x \):

\[ x = 36 - 30 \]
\[ x = 6 \]

Therefore, Marco's dad's strawberries weighed 6 pounds.",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to determine how many days the soda bottles would last if Debby drank 4 soda bottles a day.

First, let's calculate the total number of soda bottles Debby bought:
200 water bottles + 256 soda bottles = 456 bottles

Next, we need to determine how many soda bottles Debby drank in a day:
312 water bottles / 312 water bottles = 1 soda bottle

Now, we can calculate how many soda bottles would last for 1 day:
456 soda bottles / 1 soda bottle = 456 days

Therefore, the soda bottles would last for 456 days.",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to subtract the amount Olivia spent at the showroom from the amount she had in her wallet before she visited the showroom. 

1. Olivia had 106 dollars in her wallet.
2. She spent 49 dollars at the showroom.
3. After visiting the showroom, she had 26 dollars left.

To find out how much she spent at the supermarket, we subtract the amount she spent at the showroom from the amount she had before visiting the showroom:

106 dollars - 49 dollars = 57 dollars

So, Olivia spent 57 dollars at the supermarket.",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to determine the total number of pencils Faye has by multiplying the number of rows by the number of pencils in each row.

Given:
- Number of rows = 30
- Number of crayons in each row = 71
- Number of pencils in each row = 24

Total number of pencils = Number of rows × Number of pencils in each row

Total number of pencils = 30 × 24

Total number of pencils = 720

Therefore, Faye has 720 pencils.",text,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, we need to determine how many marbles Ed had initially and then calculate the difference between Ed's marbles and Doug's marbles after Doug lost some of his marbles.

1. **Determine Ed's initial number of marbles:**
   - Ed had 10 more marbles than Doug.
   - Let's denote Doug's marbles as \( D \).
   - Therefore, Ed's marbles are \( D + 10 \).

2. **Given Ed had 45 marbles:**
   - We know that \( D + 10 = 45 \).
   - Solving for \( D \), we get \( D = 45 - 10 \).
   - \( D = 35 \).

3. **Calculate the difference between Ed's marbles and Doug's marbles:**
   - Ed's marbles are \( 35 + 10 = 45 \).
   - Doug's marbles are 35.
   - The difference is \( 45 - 35 = 10 \).

Therefore, Ed had 10 more marbles than Doug. The answer is:

#### 10",neither,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to add the number of children who got on the bus to the original number of children on the bus.

Original number of children on the bus: 26
Number of children who got on the bus: 38

Total number of children on the bus now: 26 + 38 = 64

So, the answer is:

#### 64",text,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve the problem, we need to add up the number of cookies Helen baked in each of the three days. 

1. Yesterday: 31 cookies
2. This morning: 270 cookies
3. The day before yesterday: 419 cookies

Adding these numbers together:

31 + 270 + 419 = 710

So, Helen baked a total of 710 cookies till last night.",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to calculate the total number of oranges harvested in 87 days.

1. Calculate the total number of sacks harvested in 87 days:
   - Sacks per day = 66
   - Days = 87
   - Total sacks harvested = Sacks per day * Days
   - Total sacks harvested = 66 * 87

2. Calculate the total number of oranges in 87 days:
   - Oranges per sack = 25
   - Total sacks harvested = 66 * 87
   - Total oranges = Oranges per sack * Total sacks harvested

Let's do the calculations:

Total sacks harvested = 66 * 87 = 5712

Total oranges = 25 * 5712 = 142800

So, after 87 days of harvest, they will have 142,800 oranges.",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve the problem, we need to determine the total number of shirts made by the machine over the two days and then divide that number by the number of shirts made per minute to find the total number of minutes the machine worked.

1. **Total shirts made yesterday:**
   - Shirts made yesterday: 9 shirts
   - Shirts made today: 44 shirts
   - Total shirts made: \( 9 + 44 = 53 \) shirts

2. **Total minutes worked:**
   - Shirts made per minute: 3 shirts
   - Total minutes worked: \( \frac{53}{3} \approx 17.67 \) minutes

Therefore, the machine worked approximately 17.67 minutes yesterday.

**#### Answer: 17.67 minutes**",neither,neutral
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"To solve the problem, we need to find the total number of magazines Bryan has. We know that he has 9 books and 46 magazines in each of his 10 bookshelves. 

First, let's find the number of magazines in one bookshelf. We can do this by multiplying the number of books by the number of magazines in each bookshelf:

9 books * 46 magazines/bookshelf = 414 magazines/bookshelf

Now, we can find the total number of magazines by multiplying the number of bookshelves by the number of magazines in one bookshelf:

414 magazines/bookshelf * 10 bookshelves = 4140 magazines

So, Bryan has a total of 4140 magazines. The answer is:

#### 4140",neither,neutral
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"To solve this problem, we can set up an equation based on the information given. Let's denote the number of apps Dave added as \( x \).

According to the problem, Dave initially had 17 apps and after adding some, he had 18 left. This can be represented by the equation:

\[ 17 + x = 18 \]

To find the value of \( x \), we can subtract 17 from both sides of the equation:

\[ x = 18 - 17 \]

\[ x = 1 \]

Therefore, Dave added 1 app to his phone. The answer is:

#### 1",text,neutral
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,Dan spent $ 13 in total.,text,neutral
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To solve this problem, we need to divide the total number of bananas by the number of groups to find the size of each group.

Total number of bananas = 392
Number of groups = 196

Size of each group = Total number of bananas / Number of groups
Size of each group = 392 / 196
Size of each group = 2

Therefore, each group contains 2 bananas.",text,neutral
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"To solve this problem, we need to calculate the remaining distance the group needs to travel to reach the end of the cave. 

1. Calculate the remaining distance: 
   - The cave is 1218 feet deep.
   - They are already at 849 feet.
   - Remaining distance = Total depth - Depth already reached
   - Remaining distance = 1218 feet - 849 feet = 369 feet

2. Calculate the time it will take to travel the remaining distance at a speed of 17 feet per second:
   - Time = Distance / Speed
   - Time = 369 feet / 17 feet per second = 21 seconds

3. Add the time it takes to travel the remaining distance to the time they have already spent at the current depth:
   - Total time = Time to reach current depth + Time to travel remaining distance
   - Total time = 849 feet / 17 feet per second + 21 seconds = 49 seconds + 21 seconds = 70 seconds

Therefore, the group will reach the end of the cave in 70 seconds.",neither,neutral
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"To solve this problem, we need to divide the total number of people that can ride the Ferris wheel by the number of seats.

Total number of people that can ride the Ferris wheel = 20
Number of seats = 4

Number of people that can ride each seat = Total number of people that can ride the Ferris wheel / Number of seats
= 20 / 4
= 5

Therefore, each seat can hold 5 people.",text,neutral
16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,5,136,"To solve this problem, we need to subtract the number of tomatoes picked from the total number of tomatoes and potatoes.

1. Total number of tomatoes: 177
2. Number of tomatoes picked: 53

To find the number of tomatoes left, we subtract the number of tomatoes picked from the total number of tomatoes:

177 - 53 = 124

So, the farmer has 124 tomatoes left.

Next, we need to find the number of potatoes left. We already know that the farmer had 12 potatoes in his garden.

12 potatoes

So, the farmer has 12 potatoes left.

#### Answer: 124 tomatoes and 12 potatoes",neither,neutral
17,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,136,91,"To solve this problem, we need to determine how many bottle caps Danny had at first. We know that he lost 66 bottle caps at the park and now has 25 bottle caps. 

First, we can subtract the number of bottle caps he lost from the number of bottle caps he has now to find out how many he had at first. 

25 bottle caps - 66 bottle caps = -41 bottle caps 

This means that Danny had -41 bottle caps at first. However, it is not possible to have a negative number of bottle caps. This indicates that there may have been a mistake in the problem statement or the information provided. 

If we assume that the problem statement is correct and that Danny did not lose any bottle caps, then we can conclude that Danny had 41 bottle caps at first.",neither,neutral
