model	arm	level	clean_source	clean_preference	decidable	neither	invalid
GPT-5.6-Luna	image	L0	text	0.0302	199	27	3
GPT-5.6-Luna	image	L2	text	0.0350	200	27	2
GPT-5.6-Luna	image	L4	text	0.9630	189	35	5
GPT-5.6-Luna	image	L5	text	0.9538	195	29	5
GPT-5.6-Luna	text	L0	image	0.9698	199	27	3
GPT-5.6-Luna	text	L2	image	0.9848	197	28	4
GPT-5.6-Luna	text	L4	image	0.9750	200	26	3
GPT-5.6-Luna	text	L5	image	0.9744	195	29	5
Gemini-3.5-Flash	image	L0	text	0.1429	203	7	19
Gemini-3.5-Flash	image	L2	text	0.1436	202	7	20
Gemini-3.5-Flash	image	L4	text	0.4333	180	31	18
Gemini-3.5-Flash	image	L5	text	0.9362	188	23	18
Gemini-3.5-Flash	text	L0	image	0.8571	203	7	19
Gemini-3.5-Flash	text	L2	image	0.9430	193	17	19
Gemini-3.5-Flash	text	L4	image	0.9583	192	18	19
Gemini-3.5-Flash	text	L5	image	0.9733	187	23	19
