problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Step 1: Identify the initial number of fish and the number of fish that disappeared.
Initial number of fish: 7
Number of fish that disappeared: 5

Step 2: Subtract the number of fish that disappeared from the initial number of fish.
7 - 5 = 2

Step 3: The number of fish that disappeared is 2.
#### 2",neither,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: Determine the initial weight of the strawberries collected by Marco and his dad.
Marco and his dad collected strawberries that weighed 2 pounds.

Step 2: Determine the additional weight of strawberries found by Marco.
Marco found 33 more pounds of strawberries.

Step 3: Calculate the total weight of the strawberries after Marco found more.
Total weight = Initial weight + Additional weight
Total weight = 2 pounds + 33 pounds
Total weight = 35 pounds

Step 4: Determine the weight of the strawberries Marco's dad found.
Marco's dad found strawberries that weighed 36 pounds.

Step 5: Calculate the total weight of the strawberries Marco's dad found.
Total weight of dad's strawberries = 36 pounds

Step 6: Compare the total weight of the strawberries Marco found to the total weight of the strawberries Marco's dad found.
Total weight of Marco's strawberries = 35 pounds
Total weight of dad's strawberries = 36 pounds

Step 7: Determine the difference in weight between the strawberries Marco found and the strawberries Marco's dad found.
Difference in weight = Total weight of dad's strawberries - Total weight of Marco's strawberries
Difference in weight = 36 pounds - 35 pounds
Difference in weight = 1 pound",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Step 1: First, let's find out how many soda bottles Debby has in total. We know she bought 200 water bottles and 29 soda bottles.
Total_soda_bottles = 29

Step 2: Next, let's find out how many soda bottles Debby drinks per day. We know she drinks 312 water bottles and 4 soda bottles per day.
Soda_bottles_per_day = 4

Step 3: Now, let's calculate how many days the soda bottles will last. We divide the total number of soda bottles by the number of soda bottles Debby drinks per day.
Days_soda_will_last = Total_soda_bottles / Soda_bottles_per_day
Days_soda_will_last = 29 / 4
Days_soda_will_last = 7.25

Since we can't have a fraction of a day, we'll round up to the nearest whole number.
Days_soda_will_last = 8

#### 8",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Step 1: Identify the initial amount of money TjJre had.
TjJre had 100 dollars.

Step 2: Identify the amount of money TjJre spent at the showroom.
TjJre spent 49 dollars at the showroom.

Step 3: Calculate the amount of money TjJre has left.
100 - 49 = 51 dollars left.

Step 4: Identify the amount of money TjJre had left after the purchase.
TjJre had 26 dollars left.

Step 5: Calculate the amount of money TjJre spent at the showroom.
51 - 26 = 25 dollars spent.

Step 6: The problem asks how much TjJre spent at the perfume counter.
TjJre spent 25 dollars at the perfume counter.

#### 25",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"First, we need to find out how many pencils Faye has. Since there are 4 pencils in each pack and she bought 30 packs, we can calculate the total number of pencils by multiplying the number of packs by the number of pencils per pack: 30 packs * 4 pencils/pack = 120 pencils.

Now, we know that Faye has 120 pencils. The question asks how many pencils she has, so the answer is 120. 

#### 120",neither,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: Identify the initial number of marbles Dug had.
Dug had 45 marbles.

Step 2: Determine the number of marbles Dug lost.
Dug lost 11 marbles.

Step 3: Calculate the number of marbles D had.
D had 10 more marbles than Dug, so D had 45 + 10 = 55 marbles.

Step 4: Calculate the difference in the number of marbles D and Dug had.
D had 55 marbles and Dug had 45 marbles, so D had 55 - 45 = 10 more marbles than Dug.

#### 10",neither,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Source A: Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles, how many more marbles did Ed have than Doug then?

Step 1: Determine the number of marbles Doug had before losing any.
Doug lost 11 marbles, so he had 10 more marbles than Ed. Since Ed had 45 marbles, Doug had 45 - 10 = 35 marbles before losing any.

Step 2: Calculate the number of marbles Doug had after losing 11 marbles.
Doug lost 11 marbles, so he had 35 - 11 = 24 marbles after losing.

Step 3: Determine the difference in the number of marbles between Ed and Doug.
Ed had 45 marbles, and Doug had 24 marbles after losing. The difference is 45 - 24 = 21 marbles.

Answer: Ed had 21 more marbles than Doug.",image,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"Step 1: Identify the total number of cookies baked by Helen.
Total cookies baked = 27 (today) + 619 (the day before yesterday)

Step 2: Add the number of cookies baked today and the day before yesterday.
Total cookies baked = 27 + 619 = 646

Step 3: Determine the number of cookies baked at night.
Number of cookies baked at night = Total cookies baked - Number of cookies baked during the day

Step 4: Since the problem does not specify the number of cookies baked during the day, we cannot determine the exact number of cookies baked at night. However, we can express it as:
Number of cookies baked at night = 646 - Number of cookies baked during the day

#### 646 - Number of cookies baked during the day",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Step 1: Identify the number of oranges each person has.
Each person has 66 oranges.

Step 2: Determine the total number of oranges.
There are 5 people, so the total number of oranges is 5 * 66 = 330 oranges.

Step 3: Calculate the number of oranges after 87 days.
After 87 days, the total number of oranges will be 330 + (87 * 2) = 330 + 174 = 504 oranges.

#### 504",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"Step 1: Determine the number of shirts made yesterday
The machine made 9 shirts yesterday.

Step 2: Determine the number of shirts made today
The machine made 4 shirts today.

Step 3: Determine the total number of shirts made
Total shirts made = 9 (yesterday) + 4 (today) = 13 shirts

Step 4: Determine the number of minutes the machine worked yesterday
The machine can make 13 shirts in 1 minute.

Step 5: Calculate the number of minutes the machine worked yesterday
Since the machine made 9 shirts yesterday, it worked for 9 minutes.

#### 9",neither,neutral
