problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Step 1: First, we need to find out how many fish Paige had before the stray cats ate any. We know she had 7 goldfish and 12 catfish, so we add those two numbers together: 7 + 12 = 19.

Step 2: Now we know Paige had 19 fish before the stray cats ate any. We also know she has 15 fish left after the stray cats ate some. To find out how many fish disappeared, we subtract the number of fish she has left from the number she had before: 19 - 15 = 4.

So, 4 fish disappeared. 

#### 4",text,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: First, we need to find out how much Marco's strawberries weighed before his dad found more strawberries. We know that Marco's strawberries weighed 36 pounds after his dad found more strawberries, and the total weight of all the strawberries was 22 pounds before that. So, we can find the weight of Marco's strawberries by subtracting the weight of the strawberries his dad found from the total weight.

Marco's strawberries = Total weight - Weight of strawberries his dad found
Marco's strawberries = 36 pounds - 30 pounds
Marco's strawberries = 6 pounds

Step 2: Now that we know Marco's strawberries weighed 6 pounds, we can find out how much his dad's strawberries weighed by subtracting Marco's strawberries from the total weight of all the strawberries.

Dad's strawberries = Total weight - Marco's strawberries
Dad's strawberries = 36 pounds - 6 pounds
Dad's strawberries = 30 pounds

#### 30",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"First, let's find out how many water bottles Debby has left after drinking 312 of them:
200 - 312 = -112

Since Debby can't have a negative number of water bottles, it seems there is an error in the problem. The problem as stated doesn't make sense because Debby can't drink more water bottles than she has. Please check the problem for any errors or missing information.",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Step 1: Determine the total amount of money Olivia had before visiting the supermarket and showroom.
Total money = 106 dollars

Step 2: Determine the amount of money Olivia had after visiting the supermarket and showroom.
Remaining money = 26 dollars

Step 3: Determine the amount of money Olivia spent at the showroom.
Money spent at showroom = 49 dollars

Step 4: Calculate the amount of money Olivia spent at the supermarket.
Money spent at supermarket = Total money - Money spent at showroom - Remaining money
Money spent at supermarket = 106 - 49 - 26
Money spent at supermarket = 31 dollars

#### 31",text,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"First, we need to find out how many pencils Faye has in total. Since there are 24 pencils in each row and there are 30 rows, we can multiply the number of pencils in each row by the number of rows to get the total number of pencils. 

24 pencils/row * 30 rows = 720 pencils

Faye has 720 pencils.",text,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: Identify the information given in the problem.
- Ed had 10 more marbles than Doug.
- Doug lost 11 marbles at the playground.
- Ed had 45 marbles.

Step 2: Determine the number of marbles Doug had before losing any.
Since Ed had 10 more marbles than Doug, we can set up the equation:
Ed's marbles = Doug's marbles + 10
45 = Doug's marbles + 10

Step 3: Solve for Doug's marbles.
Doug's marbles = 45 - 10
Doug's marbles = 35

Step 4: Determine the number of marbles Doug had after losing 11 marbles.
Doug's marbles after losing = Doug's marbles - 11
Doug's marbles after losing = 35 - 11
Doug's marbles after losing = 24

Step 5: Calculate the difference in the number of marbles between Ed and Doug after Doug lost his marbles.
Difference = Ed's marbles - Doug's marbles after losing
Difference = 45 - 24
Difference = 21

#### 21",text,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Step 1: Start with the initial number of children on the bus, which is 26.
Step 2: Add the number of children who got on the bus at the bus stop, which is 38.
Step 3: Calculate the total number of children on the bus by adding the initial number and the number who got on: 26 + 38 = 64.
Step 4: The final answer is 64.

#### 64",text,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"Step 1: Identify the number of cookies Helen baked yesterday, this morning, and the day before yesterday.
Yesterday: 31 cookies
This morning: 270 cookies
Day before yesterday: 419 cookies

Step 2: Add the number of cookies Helen baked yesterday, this morning, and the day before yesterday to find the total number of cookies she baked till last night.
Total cookies = 31 + 270 + 419
Total cookies = 720

Answer: 720.",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Step 1: Determine the number of oranges harvested per day.
The number of oranges harvested per day is 66 sacks * 25 oranges per sack = 1650 oranges per day.

Step 2: Calculate the total number of oranges harvested after 87 days.
The total number of oranges harvested after 87 days is 1650 oranges per day * 87 days = 143550 oranges.

Step 3: Provide the final answer.
The total number of oranges harvested after 87 days is 143550. 

#### 143550",text,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"Step 1: Determine the total number of shirts made by the machine.
The machine made 9 shirts yesterday and 44 shirts today, so the total number of shirts made is 9 + 44 = 53.

Step 2: Determine the number of minutes the machine worked today.
The machine can make 3 shirts a minute, and it made 44 shirts today. To find out how many minutes it worked, we divide the number of shirts made by the number of shirts made per minute: 44 / 3 = 14.67 minutes.

Step 3: Determine the number of minutes the machine worked yesterday.
The machine made 9 shirts yesterday, and it can make 3 shirts a minute. To find out how many minutes it worked, we divide the number of shirts made by the number of shirts made per minute: 9 / 3 = 3 minutes.

Step 4: Add the number of minutes the machine worked yesterday and today.
To find the total number of minutes the machine worked, we add the minutes from yesterday and today: 3 + 14.67 = 17.67 minutes.

#### 17.67",neither,neutral
