problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Paige started with 7 goldfish and 12 catfish. She had a total of 7 + 12 = 19 fish.

She ended up with 15 fish. This means that 19 - 15 = 4 fish disappeared.

Therefore, 4 fish disappeared.",text,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Let's denote the weight of Ma1co's strawberries as x pounds. According to the problem, his dad found 3z more pounds of strawberries. So, the total weight of strawberries collected by both of them is x + 3z = 2 pounds. We are also given that Ma1co's strawberries now weigh 36 pounds. Therefore, we can set up the equation x + 3z = 36. To find the value of z, we need to solve this equation. However, we don't have enough information to solve for z directly. We need to use the information that the total weight of strawberries collected by both of them is 2 pounds. So, we can set up the equation x + 3z = 2. Now we have two equations: x + 3z = 36 and x + 3z = 2. Subtracting the second equation from the first, we get 0 = 34. This is not possible, so there must be an error in the problem statement. Therefore, we cannot solve the problem as given. The answer is that there is an error in the problem statement.",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Debby bought 200 water bottles and 256 soda bottles. She drinks 312 water bottles and 4 soda bottles a day. To find out how many days the soda bottles will last, we need to divide the total number of soda bottles by the number of soda bottles she drinks per day.

Total soda bottles = 256
Soda bottles per day = 4

Number of days soda bottles will last = Total soda bottles / Soda bottles per day
= 256 / 4
= 64

So, the soda bottles will last for 64 days. Therefore, the answer is 64 days.",text,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Step 1: Find how much money Olivia had after visiting the showroom.
Money after showroom = $106 - $26 = $80

Step 2: Find how much money Olivia spent at the supermarket.
Money spent at supermarket = $80 - $49 = $31

So, Olivia spent $31 at the supermarket.",text,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"Faye has 24 pencils in each row and she has 30 rows. So, the total number of pencils is 24 x 30 = 720. She also has 30 crayons. Therefore, the total number of pencils and crayons is 720 + 30 = 750. Faye has 750 pencils and crayons in total. Therefore, the answer is 750.",neither,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Let's denote the number of marbles Doug had initially as D. According to the problem, Ed had 10 more marbles than Doug, so Ed had D + 10 marbles. Doug lost 11 marbles at the playground, so he now has D - 11 marbles. We are asked to find out how many more marbles Ed has than Doug now, which is (D + 10) - (D - 11). Simplifying this expression, we get D + 10 - D + 11 = 21. Therefore, Ed has 21 more marbles than Doug now. The answer is 21.",text,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"26 + 3 = 29
#### 29",neither,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"31 + 270 + 419 = 720 cookies
#### 720",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"First, we need to find out how many oranges are harvested per day. We know that they harvest 66 racks per day, and each rack contains 25 oranges. So, the total number of oranges harvested per day is 66 racks/day * 25 oranges/rack = 1650 oranges/day.

Next, we need to find out how many oranges will be harvested after 87 days. We can do this by multiplying the number of oranges harvested per day by the number of days they will be harvesting. So, the total number of oranges harvested after 87 days is 1650 oranges/day * 87 days = 144450 oranges.

Therefore, after 87 days of harvest, they will have 144450 oranges. 

#### 144450",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"9 shirts were made yesterday. The machine can make 3 shirts per minute. To find out how many minutes the machine worked yesterday, we need to divide the total number of shirts made yesterday by the number of shirts made per minute.

9 shirts ÷ 3 shirts/minute = 3 minutes

Therefore, the machine worked for 3 minutes yesterday.",text,neutral
