problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to subtract the number of fish Paige has left from the total number of fish she initially had.

Total fish = 7 (old fish) + 12 (catfish) = 19

Fish that disappeared = Total fish - Fish left = 19 - 15 = 4

So, 4 fish disappeared. The answer is: 4",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, let's break it down step by step:

1. **Initial Strawberries**: Ma1co and his dad collected 2 pounds of strawberries.
2. **Additional Strawberries Found**: Maro found 3 more pounds of strawberries.
3. **Total Strawberries**: The total weight of strawberries is now 2 pounds + 3 pounds = 5 pounds.
4. **Strawberries Left**: After finding 3 more pounds, the total weight of strawberries left is 5 pounds - 3 pounds = 2 pounds.

So, the answer is **2 pounds**.",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to first find out how many bottles Debby drank in total and then divide that number by the number of soda bottles she drank each day to find out how many days the soda bottles would last.

1. Total bottles Debby drank:
   - 200 water bottles + 256 soqa bottles = 456 bottles

2. Bottles Debby drank each day:
   - 312 water bottles + 4 soda bottles = 316 bottles

3. Number of days the soda bottles would last:
   - Total bottles Debby drank / Bottles Debby drank each day = 456 bottles / 316 bottles per day = approximately 1.45 days

Since we can't have a fraction of a day, we'll round down to the nearest whole number. Therefore, the soda bottles would last for 1 day.",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve the problem, we need to determine how much Olivia spent at the supermarket. We know that she had 106 dollars in her wallet before she went to the supermarket and spent 49 dollars at the showroom. Therefore, the amount she spent at the supermarket is:

106 dollars - 49 dollars = 57 dollars

So, Olivia spent 57 dollars at the supermarket.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to determine the total number of pencils Faye has, given that she has 30 rows of crayons and 24 pencils in each row.

First, let's calculate the total number of crayons:
- She has 30 rows of crayons.
- Each row has 24 crayons.
- So, the total number of crayons is \(30 \times 24\).

Now, let's calculate the total number of pencils:
- She has 30 rows of pencils.
- Each row has 24 pencils.
- So, the total number of pencils is \(30 \times 24\).

Let's do the calculations:
- Total crayons = \(30 \times 24 = 720\)
- Total pencils = \(30 \times 24 = 720\)

Therefore, Faye has 720 pencils in total.",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, let's break it down step by step:

1. **Determine the number of marbles Ed has initially:**
   Ed has 10 more marbles than Doug. If Doug has \(x\) marbles, then Ed has \(x + 10\) marbles.

2. **Calculate the number of marbles Doug has after losing some:**
   Doug lost 11 marbles, so he has \(x - 11\) marbles.

3. **Determine the number of marbles Ed has after losing some:**
   Ed has 10 more marbles than Doug, so if Doug has \(x - 11\) marbles, then Ed has \(x - 11 + 10 = x - 1\) marbles.

4. **Calculate the number of marbles Ed has more than Doug:**
   Ed has \(x - 1\) marbles, and Doug has \(x - 11\) marbles. Therefore, Ed has \(x - 11 + 10 = x - 1\) marbles more than Doug.

Given that Ed has 45 marbles, we can set up the equation:
\[x - 11",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to follow these steps:

1. Determine the initial number of children on the bus.
2. Add the number of children who got on the bus.
3. Subtract the number of children who got off the bus.

Let's break it down:

1. **Initial number of children on the bus:**
   - We know that 26 children were on the bus initially.

2. **Number of children who got on the bus:**
   - 3 more children got on the bus.

3. **Number of children on the bus now:**
   - We add the number of children who got on the bus to the initial number of children on the bus.
   - \( 26 + 3 = 29 \)

So, **29 children are on the bus now.**",neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find out how many cookies Helen baked till last night, we need to add up all the cookies she baked:

1. Cookies baked yesterday: 31
2. Cookies baked this morning: 270
3. Cookies baked the day before yesterday: 419
4. Cookies baked last night: 60 (since we don't have information about how many cookies she baked last night)

Now, let's add them all together:

31 (yesterday) + 270 (this morning) + 419 (day before yesterday) + 60 (last night) = 750 cookies

So, Helen baked a total of 750 cookies till last night.",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve the problem, we need to calculate the total number of oranges harvested over the 87 days.

1. **Calculate the total number of oranges harvested per day:**
   - Oranges per day = 66 Racks per day
   - Oranges per day = 66 * 25 oranges

2. **Calculate the total number of oranges harvested over 87 days:**
   - Total oranges = Oranges per day * Number of days
   - Total oranges = (66 * 25) * 87

Let's do the math:

Total oranges = (66 * 25) * 87
Total oranges = 1650 * 87
Total oranges = 144,950

So, Helen baked a total of 144,950 cookies.",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to determine the total number of shirts made by the machine over the two days and then calculate the number of minutes it worked.

1. **Total shirts made yesterday:**
   - Shirts made yesterday: 9 shirts
   - Shirts made today: 44 shirts
   - Total shirts made: \(9 + 44 = 53\) shirts

2. **Total minutes worked:**
   - Shirts made per minute: 3 shirts
   - Total minutes worked: \(\frac{53}{3} = 17\) minutes

Therefore, the machine worked for 17 minutes yesterday. The answer is: **17 minutes**.",neither
