mode	model	n	R_image	R_text	asymmetry	95% CI	Wilcoxon p	permutation p
generation	Qwen2-VL-2B-Instruct	112	+0.9286	+0.0536	-0.8750	[-0.9554,-0.7857]	9.28e-21	0.0001
generation	Qwen2.5-VL-7B-Instruct	187	+0.9572	+0.0374	-0.9198	[-0.9679,-0.8608]	1.82e-36	0.0001
generation	Idefics3-8B-Llama3	162	+0.7222	+0.2469	-0.4753	[-0.6049,-0.3395]	7.98e-10	0.0001
generation	llava-onevision-qwen2-7b-ov-hf	93	+0.9247	+0.0430	-0.8817	[-0.9677,-0.7849]	5.45e-18	0.0001
generation	llava-v1.6-mistral-7b-hf	72	+0.8056	+0.1806	-0.6250	[-0.7917,-0.4444]	9.27e-08	0.0001
generation	Phi-3.5-vision-instruct	INCOMPLETE
cll	Qwen2-VL-2B-Instruct	229	+2.9549	+1.6855	-1.2212	[-1.4396,-0.9528]	6.04e-25	0.0001
cll	Qwen2.5-VL-7B-Instruct	229	+3.2419	+1.7786	-1.3615	[-1.5277,-1.1899]	8.14e-28	0.0001
cll	Idefics3-8B-Llama3	229	+7.3750	+4.4827	-2.1751	[-3.0325,-1.5071]	2.24e-12	0.0001
cll	llava-onevision-qwen2-7b-ov-hf	229	+2.7481	+1.5141	-1.1556	[-1.3590,-0.7804]	2.16e-11	0.0001
cll	llava-v1.6-mistral-7b-hf	229	+1.9785	+1.5894	-0.2802	[-0.4427,-0.1330]	0.00233	0.0035
cll	Phi-3.5-vision-instruct	229	+3.4521	+2.5614	-0.9625	[-1.2102,-0.5576]	2.26e-07	0.0001
