problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To find out how many fishes disappeared, we need to subtract the number of goldfish and catfish that were left from the total number of fish that were originally raised.

Total original fish = 7 goldfish + 12 catfish = 19 fish

Fish that disappeared = Total original fish - Fish left = 19 fish - 15 fish = 4 fish

So, 4 fishes disappeared.",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To find out how much Marco's dad's strawberries weighed, we need to subtract the weight of Marco's strawberries from the total weight of the strawberries collected by Marco and his dad.

Total weight of strawberries collected = 22 pounds
Weight of Marco's strawberries = 36 pounds

Weight of his dad's strawberries = Total weight of strawberries collected - Weight of Marco's strawberries
Weight of his dad's strawberries = 22 pounds - 36 pounds
Weight of his dad's strawberries = -14 pounds

Since the weight of his dad's strawberries cannot be negative, it means that the weight of his dad's strawberries is 14 pounds.",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to first find out how many water bottles Debby drank in total and then divide that number by the number of water bottles she drank per day to find out how many days the soda bottles would last.

1. Calculate the total number of water bottles Debby drank: \(312 \text{ water bottles} \div 312 \text{ water bottles/day} = 1\) day.
2. Calculate the total number of soda bottles Debby drank: \(4 \text{ soda bottles} \div 312 \text{ soda bottles/day} = 0.013\) days.

Since Debby can't drink a fraction of a soda bottle, we'll round down to the nearest whole number because the soda bottles won't last for a fraction of a day. Therefore, the soda bottles would last for 0 days.",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To find out how much Olivia spent at the supermarket, we need to subtract the amount she spent at the showroom from the total amount she had initially.

Total amount Olivia had initially: 106 dollars
Amount spent at the showroom: 49 dollars

Amount spent at the supermarket = Total amount Olivia had initially - Amount spent at the showroom
Amount spent at the supermarket = 106 - 49
Amount spent at the supermarket = 57 dollars

So, Olivia spent 57 dollars at the supermarket.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To find out how many pencils Faye has, we need to multiply the number of crayons by the number of rows. 

Number of crayons = 71
Number of rows = 30

Number of pencils = Number of crayons × Number of rows
Number of pencils = 71 × 30
Number of pencils = 2130

So, Faye has 2130 pencils.",neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Let's solve this step by step:

1. Ed had 10 more marbles than Doug.
2. Doug lost 11 marbles.
3. Ed had 45 marbles.

First, let's find out how many marbles Doug had initially. Since Ed had 10 more than Doug, and Ed had 45 marbles, we can set up the equation:

\[ \text{Ed's marbles} = \text{Doug's marbles} + 10 \]

Substituting the value of Ed's marbles:

\[ 45 = \text{Doug's marbles} + 10 \]

Solving for Doug's marbles:

\[ \text{Doug's marbles} = 45 - 10 \]
\[ \text{Doug's marbles} = 35 \]

Now, we know Doug had 35 marbles initially. Doug lost 11 marbles, so we subtract those from his initial count:

\[ \text{Doug's marbles} - \text{lost marbles} = 35 - 11 \]
\[ \text{Doug's marbles} = 24 \]

Now, we can find out how",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to add the number of children who got on the bus to the original number of children on the bus.

Original number of children on the bus: 26
Number of children who got on the bus: 38

Total number of children on the bus now: 26 + 38 = 64

So, there are 64 children on the bus now.",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find out how many cookies Helen baked till last night, we need to add up all the cookies she baked throughout the day.

Yesterday: 31 cookies
This morning: 270 cookies
The day before yesterday: 419 cookies

Total cookies baked till last night = 31 + 270 + 419

Let's add them together:

31 + 270 = 301
301 + 419 = 710

So, Helen baked a total of 710 cookies till last night.",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To find out how many oranges will be harvested after 87 days of harvest, we first need to calculate the total number of sacks harvested in 87 days. Then, we multiply that number by the number of oranges in each sack.

1. Calculate the total number of sacks harvested in 87 days:
   \( 66 \, \text{sacks/day} \times 87 \, \text{days} = 5718 \, \text{sacks} \)

2. Calculate the total number of oranges harvested in 87 days:
   \( 5718 \, \text{sacks} \times 25 \, \text{oranges/sack} = 143450 \, \text{oranges} \)

So, after 87 days of harvest, they will have 143,450 oranges.",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To find out how many minutes the machine worked yesterday, we first need to calculate the total number of shirts made in both days and then divide that number by the number of shirts made per minute.

Yesterday's shirts made: 9 shirts
Today's shirts made: 44 shirts

Total shirts made: 9 + 44 = 53 shirts

The machine can make 3 shirts per minute.

To find out how many minutes the machine worked yesterday, we divide the total number of shirts made by the number of shirts made per minute:

53 shirts / 3 shirts per minute = 17.67 minutes

Since the machine cannot work a fraction of a minute, we round up to the nearest whole number. Therefore, the machine worked for 18 minutes yesterday.",neither
