problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to find the difference between the total number of fishes Paige raised and the number of fishes she has left.

1. First, let's find the total number of fishes Paige raised. She raised 7 goldfish and 12 catfish, so the total is:
   Total = Goldfish + Catfish
   Total = 7 + 12
   Total = 19

2. Next, we need to find the number of fishes that disappeared. We know that Paige has 15 fishes left, so the number of fishes that disappeared is:
   Disappeared = Total - Left
   Disappeared = 19 - 15
   Disappeared = 4

Therefore, 4 fishes disappeared from the pond.

#### <4>",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To find the weight of Marco's dad's strawberries, we need to subtract the weight of Marco's strawberries from the total weight of strawberries collected.

Weight of Marco's dad's strawberries = Total weight of strawberries - Weight of Marco's strawberries
= 22 pounds + 30 pounds - 36 pounds
= 52 pounds - 36 pounds
= 16 pounds

#### <16 pounds>",text
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To find out how many days the soda bottles would last, we need to divide the total number of soda bottles by the number of soda bottles Debby drinks per day.

Total soda bottles = 256
Soda bottles per day = 4

Days = Total soda bottles / Soda bottles per day
Days = 256 / 4
Days = 64

So, the soda bottles would last for 64 days.

#### <64>",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To find out how much Olivia spent at the supermarket, we need to subtract the amount of money she had left after visiting the showroom from the amount of money she had before visiting the showroom.

1. Start with the total amount of money Olivia had before visiting the showroom: 106 dollars.
2. Subtract the amount of money she had left after visiting the showroom: 26 dollars.
3. This will give us the amount of money she spent at the showroom: 106 - 26 = 780 dollars.

Therefore, Olivia spent 780 dollars at the showroom.

To find out how much she spent at the supermarket, we need to subtract the amount of money she spent at the showroom from the total amount of money she had before visiting the showroom:

1. Start with the total amount of money Olivia had before visiting the showroom: 106 dollars.
2. Subtract the amount of money she spent at the showroom: 780 dollars.
3. This will give us the amount of money she spent at the supermarket: 106",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To find the total number of pencils Faye has, we need to multiply the number of rows by the number of pencils in each row.

Total pencils = Rows * Pencils per row
= 30 * 24
= 720

#### <720>",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Let's solve this problem step by step:

1. We know that Ed had 10 more marbles than Doug. So, if Doug had x marbles, Ed had x + 10 marbles.
2. Doug lost 11 marbles at the playground. So, after losing marbles, Doug had x - 11 marbles.
3. We know that Ed had 45 marbles. So, we can set up the equation: x + 10 = 45
4. To find the original number of marbles Doug had, we need to subtract 10 from Ed's marbles: x = 45 - 10 = 35
5. Now, we know that Doug had 35 marbles. So, after losing 11 marbles, Doug had 35 - 11 = 24 marbles.
6. We know that Ed had 10 more marbles than Doug. So, we can find the difference in their marbles: 45 - 24 = 21

Therefore, Ed had 21 more marbles than Doug then.

#### <",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To find the total number of children on the bus, we need to add the number of children who were already on the bus to the number of children who got on at the bus stop.

26 children were already on the bus.
38 more children got on at the bus stop.

So, the total number of children on the bus is:

26 + 38 = 64

Therefore, the answer is:

#### <64>",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find the total number of cookies Helen baked till last night, we need to add the number of cookies she baked yesterday, this morning, and the day before yesterday.

31 (yesterday) + 270 (this morning) + 419 (day before yesterday) = 31 + 270 + 419

Now, let's add the numbers:

31 + 270 + 419 = 719

So, Helen baked a total of 719 cookies till last night.

#### <719>",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To find the total number of oranges harvested after 87 days, we need to multiply the number of sacks harvested per day by the number of days and then multiply that by the number of oranges in each sack.

Step 1: Calculate the number of sacks harvested per day:
66 sacks/day

Step 2: Calculate the total number of sacks harvested after 87 days:
66 sacks/day \* 87 days = 5664 sacks

Step 3: Calculate the total number of oranges harvested after 87 days:
5664 sacks \* 25 oranges/sack = 141600 oranges

#### 141600 oranges",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To find the number of minutes the machine worked yesterday, we need to determine how many shirts it made in total and then divide that number by the number of shirts it can make per minute.

First, let's find the total number of shirts made:
9 shirts (yesterday) + 44 shirts (today) = 53 shirts

Now, we need to divide the total number of shirts by the number of shirts the machine can make per minute:
53 shirts / 3 shirts/minute = 17.67 minutes

Since the machine can only make whole shirts, we can round up to the nearest whole number:
18 minutes

So, the machine worked for 18 minutes yesterday.

#### <18>",neither
