problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Step 1: First, we need to find out how many fish Paige had before the stray cats ate any. We know she had 7 goldfish and 12 catfish, so we add those two numbers together: 7 + 12 = 19.

Step 2: Now we know Paige had 19 fish before any disappeared. We are told that she now has 15 fish left. To find out how many fish disappeared, we subtract the number of fish she has left from the number she had before: 19 - 15 = 4.

So, 4 fish disappeared. 

#### 4",text,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: First, we need to find out how much Marco's strawberries weighed before his dad found more strawberries. We know that after his dad found more strawberries, Marco's strawberries weighed 36 pounds. So, we can subtract the weight of the strawberries his dad found (30 pounds) from the total weight (36 pounds) to find the weight of Marco's strawberries. 36 - 30 = 6 pounds.

Step 2: Now that we know Marco's strawberries weighed 6 pounds, we can find out how much his dad's strawberries weighed. We know that the total weight of the strawberries they collected together was 22 pounds. So, we can subtract the weight of Marco's strawberries (6 pounds) from the total weight (22 pounds) to find the weight of his dad's strawberries. 22 - 6 = 16 pounds.

Step 3: Therefore, his dad's strawberries weighed 16 pounds. 

#### 16",text,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"1. First, find out how many water bottles Debby has left: 200 - 312 = -112. Debby doesn't have enough water bottles, so she can't drink any soda.
2. Since Debby can't drink any soda, the soda bottles will last forever.",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"1. Olivia initially had 106 dollars in her wallet.
2. After visiting the supermarket and the showroom, she had 26 dollars left.
3. She spent 49 dollars at the showroom.
4. To find out how much she spent at the supermarket, we need to subtract the amount she spent at the showroom from the amount she had after visiting both places.
5. So, the amount spent at the supermarket is 106 - 26 - 49 = 31 dollars.

#### 31",text,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"1. Identify the number of pencils in each row: 24
2. Multiply the number of pencils in each row by the number of rows: 24 * 30 = 720
3. The total number of pencils Faye has is 720. 

#### 720",text,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: Identify the initial number of marbles Ed had.
Ed had 45 marbles.

Step 2: Determine the initial number of marbles Doug had.
Ed had 10 more marbles than Doug, so Doug had 45 - 10 = 35 marbles.

Step 3: Calculate the number of marbles Doug lost.
Doug lost 11 marbles at the playground.

Step 4: Determine the final number of marbles Doug had.
Doug had 35 - 11 = 24 marbles left.

Step 5: Calculate the difference in the number of marbles between Ed and Doug.
Ed had 45 marbles and Doug had 24 marbles, so Ed had 45 - 24 = 21 more marbles than Doug.

#### 21",text,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Step 1: Start with the initial number of children on the bus, which is 26.
Step 2: Add the number of children who got on the bus at the bus stop, which is 38.
Step 3: Calculate the total number of children on the bus by adding the initial number and the number who got on: 26 + 38 = 64.
Step 4: The final number of children on the bus is 64.

#### 64",text,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"Step 1: Identify the number of cookies Helen baked yesterday.
Helen baked 31 cookies yesterday.

Step 2: Identify the number of cookies Helen baked this morning.
Helen baked 270 cookies this morning.

Step 3: Identify the number of cookies Helen baked the day before yesterday.
Helen baked 419 cookies the day before yesterday.

Step 4: Add the number of cookies Helen baked yesterday, this morning, and the day before yesterday to find the total number of cookies she baked till last night.
Total cookies = 31 (yesterday) + 270 (this morning) + 419 (day before yesterday) = 720

#### 720",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"1. First, we need to find out how many sacks of oranges are harvested in 87 days. We can do this by multiplying the number of sacks harvested per day (66) by the number of days (87).
2. sacks_harvested = 66 sacks/day * 87 days = 5736 sacks
3. Next, we need to find out how many oranges are in 5736 sacks. We can do this by multiplying the number of sacks (5736) by the number of oranges per sack (25).
4. oranges_harvested = 5736 sacks * 25 oranges/sack = 143400 oranges
5. Therefore, after 87 days of harvest, they will have 143400 oranges. 
#### 143400",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"1. First, we need to find out how many shirts the machine made in total.
2. The machine made 9 shirts yesterday and 44 shirts today, so the total number of shirts made is 9 + 44 = 53.
3. The machine can make 3 shirts a minute, so to find out how many minutes it worked, we need to divide the total number of shirts made by the number of shirts it can make per minute.
4. Therefore, the machine worked 53 / 3 = 17.67 minutes yesterday.
5. Since the machine cannot work a fraction of a minute, we round down to the nearest whole number, so the machine worked 17 minutes yesterday.
6. Therefore, the answer is 17. 

#### 17",neither,neutral
