problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"The problem in Source A is about a bird family living near a pond and the number of birds that flew away to Asia. The problem in Source B is about a fish family living in a pond and the number of fish that have disappeared.

To solve the problem in Source A, we need to find the number of birds that flew away to Asia. The text states that there are 41 bird families living near the pond, and 35 bird families flew away to Asia. To find the number of birds that flew away, we need to subtract the number of bird families that are still there from the total number of bird families.

41 bird families - 35 bird families = 6 bird families

Therefore, 6 bird families flew away to Asia.

#### <answer> 6",neither,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve the problem, we need to find the total weight of strawberries collected by MarcoA and his dad.

First, we know that MarcoA and his dad collected 2 pounds of strawberries.

Next, we are told that MarcoA found 33 more pounds of strawberries.

So, the total weight of strawberries collected is:

2 pounds + 33 pounds = 35 pounds

Now, we are given that MarcoA's dad's strawberries weighed 36 pounds.

Since MarcoA and his dad collected a total of 35 pounds of strawberries, and MarcoA's dad's strawberries weighed 36 pounds, we can conclude that MarcoA's dad's strawberries weighed 36 pounds.

Therefore, the total weight of strawberries collected by MarcoA and his dad is 35 pounds.

#### <answer> 35 pounds",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to find the total number of bottles Debby has and then divide that by the number of bottles she drinks per day to find out how many days the soda bottles will last.

Let's start by finding the total number of bottles Debby has. She has 200 water bottles and 200 soda bottles, so the total number of bottles is:

200 water bottles + 200 soda bottles = 400 bottles

Now, Debby drinks 312 water bottles and 4 soda bottles per day. To find out how many days the soda bottles will last, we need to divide the total number of soda bottles by the number of soda bottles she drinks per day:

400 soda bottles / 4 soda bottles per day = 100 days

So, the soda bottles will last 100 days.

#### <answer>",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to find out how many days TjJre spent at the showroom and how many days he spent at the perfume store.

Let's start with the showroom. TjJre spent 312 water bottles and 49 soda bottles at the showroom. We can find out how many days he spent at the showroom by dividing the total number of bottles by the number of bottles he bought per day.

312 water bottles / 30 water bottles per day = 10.4 days
49 soda bottles / 4 soda bottles per day = 12.25 days

Since TjJre spent more than 10 days at the showroom, we can round up to 11 days.

Now let's move on to the perfume store. TjJre spent 26 ollars left after visiting the perfume store. We can find out how many days he spent at the perfume store by dividing the total amount of money he spent by the amount of money he spent per day.

26 ollars / 3 ollars per day =",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve the problem, we need to find the total number of pecadillos that Faye has.

First, let's calculate the number of pecadillos in the clay0ns and pNcSls.

1 clay0ns = 1 pecadillos
4 pNcSls = 4 pecadillos

So, the total number of pecadillos in the clay0ns and pNcSls is:

1 pecadillos (clay0ns) + 4 pecadillos (pNcSls) = 5 pecadillos

Next, let's calculate the number of pecadillos in the towels.

30 towels = 30 pecadillos

Now, we can add the number of pecadillos in the clay0ns and pNcSls to the number of pecadillos in the towels to find the total number of pecadillos:

5 pecadillos (clay0ns and pNcSls) + 30 pec",neither,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, we need to find the number of marbles Ed has and then compare it to the number of marbles Doug had before losing some.

Let's start by finding the number of marbles Ed has. According to Source A, Ed has 10 more marbles than DugO. Since DugO had 55 marbles (as stated in Source B), we can calculate the number of marbles Ed has:

Ed's marbles = DugO's marbles + 10
                  = 55 + 10
                  = 65

Now, we need to find the number of marbles Doug had before losing some. According to Source A, Doug had 45 marbles.

To compare the number of marbles Ed has to the number of marbles Doug had before losing some, we can subtract the number of marbles Doug had before losing some from the number of marbles Ed has:

Difference = Ed's marbles - Doug's marbles before losing some
                   = 65 - 45
                   = 20

So, Ed has 20 more",neither,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to find the total number of children on the bus.

1. We start with 2 children on the bus (from Source A).
2. Then, 3 more children got on the bus (from Source B).
3. So, the total number of children on the bus is 2 (from Source A) + 3 (from Source B) = 5 children.

Therefore, the answer is:
#### <5>",neither,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve the problem, we need to find the total number of cookies that Helen baked for Thanksgiving.

First, let's find the number of cookies that Helen baked for breakfast and dinner on the day of Thanksgiving.

Breakfast: 27 cookies
Dinner: 619 cookies

Next, let's find the number of cookies that Helen baked for breakfast the day before Thanksgiving.

Breakfast: 619 cookies

Now, let's find the total number of cookies that Helen baked for breakfast and dinner on the day of Thanksgiving and breakfast on the day before Thanksgiving.

Total breakfast cookies: 27 + 619 = 646
Total dinner cookies: 619

Therefore, the total number of cookies that Helen baked for Thanksgiving is:

#### <646>",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to find the number of oranges that will be hanged after 87 days.

First, let's calculate the number of oranges that are hanged each day. We know that there are 66 sock oranges and that each sock contains 2 oranges. Therefore, the total number of oranges is:

66 sock oranges * 2 oranges per sock = 132 oranges

Next, we need to find out how many oranges will be hanged after 87 days. Since there are 2 oranges per sock, we can calculate the number of socks that will be hanged after 87 days by dividing the total number of oranges by the number of oranges per sock:

132 oranges / 2 oranges per sock = 66 socks

Therefore, after 87 days, there will be 66 socks hanged.

#### <66>",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to find the total number of shirts made by the machine yesterday.

1. The machine made 9 shirts yesterday.
2. It made 4 shirts today.
3. The machine makes L shirts a day.
4. It worked for 87 minutes yesterday.
5. It worked for 95 minutes today.

Let's find the total number of shirts made by the machine yesterday and today:

Total shirts made = Shirts made yesterday + Shirts made today
Total shirts made = 9 + 4
Total shirts made = 13

Now, we need to find the total number of minutes the machine worked yesterday and today:

Total minutes worked = Yesterday's minutes + Today's minutes
Total minutes worked = 87 + 95
Total minutes worked = 182

Since the machine made 13 shirts in 182 minutes, we can find the number of shirts made per minute by dividing the total number of shirts by the total number of minutes:

Shirts per minute = Total shirts made / Total minutes worked
Sh",neither,neutral
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"To solve the problem, we need to understand the context and the information provided in both sources.

Source A: An industrial machine made 9 shirts yesterday and 45 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?

Source B: Bryan took a fook at his bo4kC and mPgazines. f he ha6 T bok9 an F magnnes 2n eCch of LiN 10 bookhelves How m9ny magazinPs does Ce Ha5e in total?

Let's start with Source A.

The machine can make 3 shirts a minute. It made 9 shirts yesterday and 45 shirts today. To find out how many minutes the machine worked yesterday, we need to divide the number of shirts made yesterday by the number of shirts it can make per minute.

9 shirts / 3 shirts per minute = 3 minutes

So, the machine worked for 3 minutes yesterday.

Now, let's move on to Source B.

Bryan took a fook at his bo4kC and m",neither,neutral
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"To solve the problem, we need to find the number of additional pps Davx added to his phone.

Let's break down the information given in Source A:
- Davx had 17 pps on his phone.
- After adding sme, he had 18 pps.

To find the number of additional pps, we need to subtract the initial number of pps from the final number of pps:

18 (final number of pps) - 17 (initial number of pps) = 1

Therefore, Davx added 1 additional pps to his phone.

#### <answer>",text,neutral
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"To solve the problem, we need to find the total cost of the items Dan bought.

1. Dan bought a U 4 HR bjght a andy bar for $ 7.
2. Dan also bought a chocxlatp for $ 6.
3. The total cost of the items Dan bought is $ 7 + $ 6 = $ 13.

#### <$13>",text,neutral
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To solve the problem, we need to understand the context and the information provided.

From Source A, we know that there are 15 Phili'M bananas in a cylindrical container. The container is divided into 6 groups, and each group contains 2 bananas.

From Source B, we know that Dan has $4. He bought a candy bar for $7 and a chocolate bar for $6.

Now, let's calculate the total cost of the candy and chocolate bars:

Total cost = $7 (candy bar) + $6 (chocolate bar) = $13

Since Dan has $4, he is short $9 ($13 - $4).

Therefore, the answer to the problem is:

#### <$9>",neither,neutral
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"To solve the problem, we need to find the total distance that the group has to travel to reach the cave.

The total distance is the sum of the distance they have already traveled and the distance they still need to travel.

The group has already traveled 49 feet, so the distance they still need to travel is:

Total distance = Total distance to reach the cave - Distance already traveled
Total distance = 392 feet - 49 feet
Total distance = 343 feet

Therefore, the total distance the group has to travel to reach the cave is 343 feet.

#### <answer> 343 feet",neither,neutral
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"The problem is asking for the number of people that can be seated on a ferry wheel with 4 decks, each of which has 20 people. To find the total number of people that can be seated, we need to multiply the number of decks by the number of people on each deck.

So, the total number of people that can be seated is:

4 decks \* 20 people/deck = 80 people

Therefore, the answer to the problem is:

#### <80>",neither,neutral
16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,5,136,"The problem in Source A is about a Ferris wheel in a park, while Source B is about a farmer picking tomatoes from a garden. To solve the problem in Source B, we need to understand the context and the information provided.

Let's assume that the farmer has picked 53 tomatoes from the garden. The question asks about the number of tomatoes and potatoes left. However, the image does not provide any information about the number of potatoes. Therefore, we cannot determine the number of potatoes left.

As for the tomatoes, we can calculate the number of tomatoes left by subtracting the number of tomatoes picked from the total number of tomatoes.

Total number of tomatoes = 177
Number of tomatoes picked = 53

Number of tomatoes left = Total number of tomatoes - Number of tomatoes picked
= 177 - 53
= 124

Therefore, the farmer has 124 tomatoes left in the garden.

Since we do not have information about the number of potatoes, we cannot determine the number of potatoes left.

#### <124>",neither,neutral
17,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,136,91,"To solve the problem, we need to find out how many bottle caps Danny collected in total.

First, we know that Danny collected 66 bottle caps at the park.
Then, he collected 25 bottle caps in his collection.

To find the total number of bottle caps Danny collected, we add the number of bottle caps he collected at the park to the number he collected in his collection:

66 bottle caps (at the park) + 25 bottle caps (in his collection) = 91 bottle caps

So, Danny collected a total of 91 bottle caps.

Therefore, the answer to the problem is:

##### <91>",text,neutral
