problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to determine the total number of fish that were originally in the pond and then subtract the number of fish that are left. 

1. Original number of fish: 7 goldfish + 12 catfish = 19 fish
2. Number of fish left: 15 fish

Now, we subtract the number of fish left from the original number of fish to find out how many fish disappeared:

19 fish - 15 fish = 4 fish

So, 4 fish disappeared.",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To find out how much of his dad's strawberries weighed, we need to subtract the weight of Marco's strawberries from the total weight of the strawberries collected by Marco and his dad.

Total weight of strawberries collected = 22 pounds
Weight of strawberries found by dad = 30 pounds

Weight of strawberries collected by Marco = 22 pounds
Weight of strawberries found by dad = 30 pounds

Weight of strawberries found by dad = Total weight of strawberries collected - Weight of strawberries collected by Marco
Weight of strawberries found by dad = 22 pounds - 22 pounds
Weight of strawberries found by dad = 0 pounds

So, his dad's strawberries weighed 0 pounds.",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to first find out how many water bottles Debby drank in total and then subtract that from the total number of water bottles she bought to find out how many water bottles are left.

1. Calculate the number of water bottles Debby drank:
   \(312 \text{ water bottles} \div 312 \text{ water bottles/day} = 1 \text{ day}\)

2. Subtract the number of water bottles Debby drank from the total number of water bottles she bought to find out how many water bottles are left:
   \(200 \text{ water bottles} - 312 \text{ water bottles} = -112 \text{ water bottles}\)

Since we can't have a negative number of water bottles, it means Debby drank all the water bottles she bought. Therefore, the number of water bottles left is 0.

3. Calculate the number of soda bottles Debby drank in total:
   \(4 \text{ soda bottles} \div 312 \text{ soda bottles/day} = 0.013 \text{ soda bottles/day}\)

4. Subtract the number of soda bottles Debby drank from the total number of soda",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To find out how much Olivia spent at the supermarket, we need to subtract the amount she spent at the showroom from the total amount she had before visiting the showroom.

Total amount Olivia had before visiting the showroom: 106 dollars
Amount Olivia spent at the showroom: 49 dollars

Amount Olivia spent at the supermarket = Total amount Olivia had before visiting the showroom - Amount Olivia spent at the showroom
= 106 dollars - 49 dollars
= 57 dollars

So, Olivia spent 57 dollars at the supermarket.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To find out how many pencils Faye has, we first need to calculate the total number of crayons she has. Since she placed 71 crayons in each row and there are 30 rows, we multiply the number of crayons per row by the number of rows:

\[ \text{Total crayons} = 71 \text{ crayons/row} \times 30 \text{ rows} = 2130 \text{ crayons} \]

Now, to find out how many pencils she has, we subtract the total number of crayons from the total number of pencils:

\[ \text{Total pencils} = 24 \text{ pencils/row} \times 30 \text{ rows} - 2130 \text{ crayons} \]

\[ \text{Total pencils} = 720 - 2130 = -1410 \]

Since the result is negative, it means Faye has 1410 pencils, but this is not possible as she can't have more pencils than crayons. It seems there might have been a misunderstanding in the problem statement or the calculation. Let's re-evaluate the problem:

Faye",neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, let's break it down step by step:

1. **Determine the number of marbles Doug had initially:**
   - Ed had 10 more marbles than Doug.
   - If Ed had 45 marbles, then Doug had \(45 - 10 = 35\) marbles initially.

2. **Calculate the number of marbles Doug lost:**
   - Doug lost 11 marbles.
   - So, Doug had \(35 - 11 = 24\) marbles left.

3. **Determine the number of marbles Ed has now:**
   - Ed had 45 marbles initially.
   - After losing 11 marbles, Ed has \(45 - 11 = 34\) marbles now.

4. **Compare the number of marbles Ed has to the number of marbles Doug has left:**
   - Ed has 34 marbles.
   - Doug has 24 marbles left.

5. **Calculate how many more marbles Ed has than Doug:**
   - Ed has 34 marbles.
   - Doug has 24 marbles.
   - So, Ed has \(",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to add the number of children who got on the bus to the original number of children on the bus.

1. Original number of children on the bus: 26
2. Number of children who got on the bus: 38

Now, we add these two numbers together:

26 (original number) + 38 (additional children) = 64

So, there are now 64 children on the bus.",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find out how many cookies Helen baked till last night, we need to add up the number of cookies she baked yesterday, this morning, and the day before yesterday.

Yesterday: 31 cookies
This morning: 270 cookies
The day before yesterday: 419 cookies

Total cookies baked till last night = 31 + 270 + 419

Now, let's add them together:

31 + 270 = 301
301 + 419 = 710

So, Helen baked a total of 710 cookies till last night.",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To find out how many oranges will be harvested after 87 days of harvest, we first need to calculate the total number of sacks harvested in 87 days. Then, we multiply that number by the number of oranges per sack.

1. Calculate the total number of sacks harvested in 87 days:
   \( 66 \, \text{sacks/day} \times 87 \, \text{days} = 5712 \, \text{sacks} \)

2. Calculate the total number of oranges harvested in 87 days:
   \( 5712 \, \text{sacks} \times 25 \, \text{oranges/sack} = 142800 \, \text{oranges} \)

So, Helen will have 142,800 oranges after 87 days of harvest. The answer is: #### 142800",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To find out how many minutes the machine worked yesterday, we first need to calculate the total number of shirts made in both days and then divide that number by the number of shirts made per minute.

Yesterday's shirts made: 9 shirts
Today's shirts made: 44 shirts

Total shirts made: 9 + 44 = 53 shirts

The machine can make 3 shirts per minute.

To find out how many minutes the machine worked yesterday, we divide the total number of shirts made by the number of shirts made per minute:

53 shirts / 3 shirts per minute = 17.67 minutes

Since the machine cannot work a fraction of a minute, we round up to the nearest whole number. Therefore, the machine worked for 18 minutes yesterday.",neither
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"To find the total number of magazines Bryan has, we need to multiply the number of books by the number of magazines per book, and then multiply that result by the number of bookshelves.

1. Calculate the number of magazines per book: \(46 \, \text{magazines} / 10 \, \text{bookshelves} = 4.6 \, \text{magazines/bookshelf}\)
2. Calculate the total number of magazines: \(9 \, \text{books} \times 4.6 \, \text{magazines/bookshelf} = 40.4 \, \text{magazines}\)
3. Since the number of magazines must be a whole number, we round to the nearest whole number. Therefore, Bryan has 40 magazines in total.

So, the answer is:

#### 40 magazines",neither
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"To find out how many apps Dave added, we can subtract the number of apps he had left from the number of apps he originally had.

18 apps (after adding) - 17 apps (original) = 1 app added

Dave added 1 app to his phone.",text
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"To find out how much money Dan spent on the candy bar and chocolate, we need to add the cost of the candy bar and the chocolate together.

Cost of candy bar = $7
Cost of chocolate = $6

Total spent = Cost of candy bar + Cost of chocolate
Total spent = $7 + $6
Total spent = $13

So, Dan spent $13 on the candy bar and chocolate.",text
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To find out how big each group is, we need to divide the total number of bananas by the number of groups.

Total number of bananas = 392
Number of groups = 196

So, each group contains:

392 bananas ÷ 196 groups = 2 bananas per group

Therefore, each group is 2 bananas.",text
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"To find out how much farther they need to travel until they reach the end of the cave, we first need to calculate the total distance they have already traveled and then subtract that from the total depth of the cave.

1. Calculate the distance traveled so far:
   - Distance traveled = Total depth of the cave - Depth they are already at
   - Distance traveled = 1218 feet - 849 feet = 369 feet

2. Calculate the remaining distance to reach the end of the cave:
   - Remaining distance = Total depth of the cave - Distance traveled
   - Remaining distance = 1218 feet - 369 feet = 849 feet

3. Calculate the speed they are traveling at:
   - Speed = 17 feet per second

4. Calculate the time it will take to reach the end of the cave:
   - Time = Remaining distance / Speed
   - Time = 849 feet / 17 feet per second = 50 seconds

5. Calculate the distance they will travel in 50 seconds:
   - Distance traveled in 50 seconds = Speed * Time
   - Distance traveled in 50 seconds = 17 feet per",neither
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"To find out how many people each seat can hold, we need to divide the total number of people that can ride the Ferris wheel by the number of seats.

Given:
- Total number of seats = 4
- Total number of people that can ride the Ferris wheel = 20

Now, we can calculate the number of people each seat can hold by dividing the total number of people by the number of seats:

\[ \text{People per seat} = \frac{\text{Total number of people}}{\text{Number of seats}} = \frac{20}{4} \]

\[ \text{People per seat} = 5 \]

So, each seat can hold 5 people.",text
