problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to determine how many fish were originally in the pond and then subtract the number of fish that are still there from the original total.

Step 1: Calculate the total number of fish originally in the pond.
Paige started with 7 goldfish + 12 catfish = 19 fish.

Step 2: Determine how many fish are still in the pond.
Paige now has 15 fish left.

Step 3: Calculate the number of fish that have disappeared.
The number of fish that disappeared is the original number of fish minus the number of fish that are still there.
So, 19 fish (original) - 15 fish (left) = 4 fish.

Therefore, the number of fish that disappeared is 4.

#### <answer>4####",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, let's break it down into steps:

1. **Initial Weight of Strawberries Collected**: Marco and his dad initially collected strawberries that weighed 22 pounds.
2. **Additional Weight Found**: On the way back, Marco's dad found an additional 30 pounds of strawberries.
3. **Weight of Marco's Strawberries**: Marco's strawberries now weigh 36 pounds.

We need to find out how much Marco's dad's strawberries weigh now.

Let's denote:
- The initial weight of Marco's strawberries as \( M_i \).
- The initial weight of Marco's dad's strawberries as \( D_i \).

From the information given:
\[ M_i + D_i = 22 \]

After finding the additional 30 pounds, the total weight of strawberries Marco's dad has is:
\[ D_i + 30 \]

We know Marco's strawberries now weigh 36 pounds, so:
\[ M_i = 36 \]

Now we can substitute \( M_i \) in the equation:
\[ 36 + D_i = 22 \]

Solving for \( D_i \):
\[ D_i = 22 - 36 \]
\[ D_i = -14 \",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to determine how many days the soda bottles will last based on the daily consumption rate.

Step 1: Identify the total number of soda bottles Debby bought.
- Total soda bottles = 256

Step 2: Identify the daily consumption rate of soda bottles.
- Daily consumption of soda bottles = 4

Step 3: Calculate the number of days the soda bottles will last.
- Number of days = Total soda bottles / Daily consumption of soda bottles
- Number of days = 256 / 4
- Number of days = 64

So, the soda bottles will last for 64 days.

#### 64",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to determine how much money Olivia spent at the supermarket. We can break down the problem into steps:

1. Identify the initial amount of money Olivia had.
   - Initial amount = $106

2. Identify the final amount of money Olivia has after visiting both places.
   - Final amount = $26

3. Determine the total amount of money spent at both the supermarket and the showroom.
   - Total spent = Initial amount - Final amount
   - Total spent = $106 - $26 = $80

4. We know that Olivia spent $49 at the showroom.
   - Amount spent at showroom = $49

5. To find out how much she spent at the supermarket, subtract the amount spent at the showroom from the total amount spent.
   - Amount spent at supermarket = Total spent - Amount spent at showroom
   - Amount spent at supermarket = $80 - $49 = $31

So, Olivia spent $31 at the supermarket.

#### <answer>31",text
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to determine the total number of pencils Faye has by multiplying the number of rows by the number of pencils per row.

Step 1: Identify the number of rows.
The problem states there are 30 rows.

Step 2: Identify the number of pencils per row.
The problem states there are 24 pencils in each row.

Step 3: Multiply the number of rows by the number of pencils per row.
\[ \text{Total number of pencils} = \text{Number of rows} \times \text{Pencils per row} \]
\[ \text{Total number of pencils} = 30 \times 24 \]

Step 4: Perform the multiplication.
\[ 30 \times 24 = 720 \]

So, the total number of pencils Faye has is 720.

#### <answer>720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, we need to follow these steps:

1. Determine how many marbles Doug originally had.
2. Calculate how many marbles Doug has after losing some.
3. Compare the number of marbles Ed and Doug have.

Step 1: Determine how many marbles Doug originally had.
- We know that Ed had 45 marbles and he had 10 more marbles than Doug.
- Therefore, Doug originally had \(45 - 10 = 35\) marbles.

Step 2: Calculate how many marbles Doug has after losing some.
- Doug lost 11 marbles, so he now has \(35 - 11 = 24\) marbles.

Step 3: Compare the number of marbles Ed and Doug have.
- Ed has 45 marbles.
- Doug has 24 marbles.
- The difference in the number of marbles is \(45 - 24 = 21\).

So, Ed had 21 more marbles than Doug.

#### <answer>21",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to add the number of children who were already on the bus to the number of children who got on at the bus stop.

1. Start with the initial number of children on the bus: 26.
2. Add the number of children who got on the bus at the stop: 38.

So, the calculation is:
\[ 26 + 38 = 64 \]

Therefore, the total number of children on the bus now is 64.

#### <answer>64",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve the problem, we need to add up the number of cookies Helen baked on each day:

1. Cookies baked yesterday: 31
2. Cookies baked this morning: 270
3. Cookies baked the day before yesterday: 419

Now, let's add these numbers together:

\[ 31 + 270 + 419 \]

First, add 31 and 270:
\[ 31 + 270 = 301 \]

Next, add the result to 419:
\[ 301 + 419 = 720 \]

So, the total number of cookies Helen baked till last night is 720.

#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to calculate the total number of oranges harvested over 87 days. Here's how we can break it down:

1. **Calculate the number of oranges harvested per day:**
   - They harvest 66 sacks per day.
   - Each sack contains 25 oranges.
   - Therefore, the number of oranges harvested per day is \( 66 \times 25 \).

2. **Perform the multiplication:**
   - \( 66 \times 25 = 1650 \) oranges per day.

3. **Calculate the total number of oranges harvested over 87 days:**
   - Multiply the daily harvest by the number of days.
   - \( 1650 \times 87 \).

4. **Perform the multiplication:**
   - \( 1650 \times 87 = 143550 \).

So, the total number of oranges harvested after 87 days is 143,550.

#### <answer>",text
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to determine how many minutes the machine worked yesterday given that it made 9 shirts and works at a rate of 3 shirts per minute.

Step 1: Identify the number of shirts made yesterday.
- The machine made 9 shirts yesterday.

Step 2: Identify the rate at which the machine works.
- The machine makes 3 shirts per minute.

Step 3: Calculate the time taken to make 9 shirts.
- Time = Number of shirts / Rate of production
- Time = 9 shirts / 3 shirts per minute

Step 4: Perform the division.
- Time = 9 / 3 = 3 minutes

So, the machine worked for 3 minutes yesterday.

#### <answer>3 minutes####",text
