problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,7 + 12 - 15 = 4 fish disappeared.,text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Let's denote the weight of Ma1co's strawberries as x pounds. According to the problem, his dad found 3z more pounds of strawberries, so the total weight of strawberries they collected is x + 3z = 2 pounds. We are also given that Ma1co's strawberries now weigh 36 pounds. Therefore, we can set up the equation x = 36. Solving for x, we get x = 36. Therefore, the weight of Ma1co's strawberries is 36 pounds. However, this result contradicts the given information that the total weight of strawberries they collected is 2 pounds. Therefore, there must be an error in the problem statement or the given information. Please check the problem statement and provide the correct information.",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Debby bought 256 soda bottles.
She drinks 4 soda bottles a day.
To find out how many days the soda bottles will last, we need to divide the total number of soda bottles by the number of soda bottles she drinks per day.
256 ÷ 4 = 64
So, the soda bottles will last 64 days.
Therefore, the answer is 64 days.
#### 64",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Step 1: Find out how much money Olivia had after visiting the showroom.
Money after visiting the showroom = 106 dollars - 26 dollars = 80 dollars

Step 2: Find out how much money Olivia spent at the supermarket.
Money spent at the supermarket = 80 dollars - 49 dollars = 31 dollars

Therefore, Olivia spent 31 dollars at the supermarket.

Answer: 31",text
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,Answer: 24,neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Let's denote the number of marbles Doug has as D. According to the problem, Ed has 10 more marbles than Doug, so we can express the number of marbles Ed has as E = D + 10.

Doug lost 11 of his marbles, so the number of marbles he has now is D - 11.

We are asked to find out how many more marbles Ed has than Doug, which is E - (D - 11).

Substituting the expressions for E and D, we get:

E - (D - 11) = (D + 10) - (D - 11) = D + 10 - D + 11 = 21.

So, Ed has 21 more marbles than Doug.

Therefore, the answer is 21.",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,26 + 3 = 29 children are on the bus now.,neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"31 + 270 + 419 = 720
Helen baked 720 cookies till last night.
#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To find the total number of oranges harvested after 87 days, we need to calculate the total number of oranges harvested each day and then multiply that by the number of days.

1. Calculate the total number of oranges harvested each day:
   Each day, they harvest 66 racks, and each rack contains 25 oranges.
   So, the total number of oranges harvested each day = 66 racks/day * 25 oranges/rack = 1650 oranges/day.

2. Calculate the total number of oranges harvested after 87 days:
   Total oranges = Total oranges/day * Number of days
   Total oranges = 1650 oranges/day * 87 days = 144450 oranges.

Therefore, after 87 days of harvest, they will have 144,450 oranges.

#### <144450>",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"9 * 60 = 540
540 / 3 = 180
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180 minutes
180",neither
