problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to determine the number of birds that Jan has. Let's break down the information given:

1. Jan has 5 birds.
2. She has 7 birds.
3. She has 12 birds.
4. She has 1 bird.

We need to find the total number of birds Jan has. 

Let's add the numbers together:

5 + 7 + 12 + 1 = 25

So, Jan has 25 birds.

#### 25",neither
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to determine how much more weight the dad's strawberries weigh compared to Marco's strawberries.

1. First, let's find out how many pounds of strawberries Marco's dad collected. We know that Marco collected 6 pounds of strawberries.
2. Since Marco's dad collected 12 pounds of strawberries, we can subtract Marco's weight from the total weight to find out how much more weight the dad's strawberries weigh.
3. The difference in weight is 12 pounds - 6 pounds = 6 pounds.

Therefore, the dad's strawberries weigh 6 pounds more than Marco's strawberries.

#### 6",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to find out how many pounds of strawberries Maroon and his friend collected together. 

Step 1: Identify the given information:
- Maroon and his friend collected strawberries that weighed 22 pounds on the way back.
- Maroon found 30 pounds of strawberries.

Step 2: Add the weights of the strawberries collected by Maroon and his friend:
- 22 pounds (collected by Maroon and his friend) + 30 pounds (found by Maroon) = 52 pounds

So, Maroon and his friend collected a total of 52 pounds of strawberries.

#### 52",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to determine the cost of the soda based on the given information.

1. Let's denote the cost of a soda as 'x'.
2. We know that Betty bought 200 bottles of soda and 50 bottles of water.
3. When they were on the lake, they drank 12 bottles of soda and 4 bottles of water.
4. After that, they had 2 dollars left.

We can set up the equation as follows:

Cost of 200 bottles of soda + Cost of 50 bottles of water - (Cost of 12 bottles of soda + Cost of 4 bottles of water) = 2 dollars

200x + 50x - (12x + 4x) = 2

Combine like terms:

250x - 16x = 2

234x = 2

Now, solve for x:

x = 2 / 234

x = 1 / 117

Therefore, the cost of a soda is 1/117 dollars.

#### 1/117",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to determine how much money Faye spent on the supermarkets compared to the showroom.

1. Faye spent $100 on the showroom.
2. Faye spent $15 on the supermarket.

To find out how much more Faye spent on the supermarket, we subtract the amount spent on the supermarket from the amount spent on the showroom:

$100 (showroom) - $15 (supermarket) = $85

Therefore, Faye spent $85 more on the supermarket than the showroom.

#### 85",neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, we need to determine how many marbles Ed had initially before Doug took some.

1. Ed had 10 marbles.
2. Doug took 5 marbles from Ed.

To find out how many marbles Ed had left, we subtract the number of marbles Doug took from the initial number of marbles Ed had:

10 marbles (initial) - 5 marbles (taken by Doug) = 5 marbles

So, Ed had 5 marbles left.

#### 5",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to determine the number of children in the group. Let's break down the information given:

1. The group has 38 more children than the number of children in the playground.
2. The playground has 5 times more children than Doug.

Let's denote the number of children in the playground as P and the number of children in the group as G.

From the information given:
- P = 5 * Doug
- G = P + 38

We need to find the number of children in the group (G).

Step 1: Express P in terms of Doug.
P = 5 * Doug

Step 2: Substitute P in the equation for G.
G = 5 * Doug + 38

Since we don't have the exact number of children Doug has, we can't find the exact number of children in the group. However, we can express the number of children in the group in terms of Doug:

G = 5 * Doug + 38

Thus, the number of children in the group is 5 times the number of children Doug has plus 38.

#### <answer>",neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve this problem, we need to determine how many cookies were eaten by the children before bedtime.

1. First, we need to find out how many cookies were eaten by the children before bedtime. We know that the total number of cookies eaten by the children is 270.
2. We also know that the children ate 41 cookies during the day.
3. To find out how many cookies were eaten before bedtime, we subtract the number of cookies eaten during the day from the total number of cookies eaten:
   270 cookies - 41 cookies = 229 cookies

Therefore, the number of cookies eaten by the children before bedtime is 229.

#### 229",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to determine how many cookies Helen will have taken home at night.

Step 1: Identify the number of cookies Helen has at the beginning of the day.
Helen has 31 cookies in the morning and 20 cookies in the afternoon.

Step 2: Calculate the total number of cookies Helen has at the beginning of the day.
31 cookies (morning) + 20 cookies (afternoon) = 51 cookies

Step 3: Determine the number of cookies Helen takes home at night.
Helen takes 4 cookies in the morning and 5 cookies in the afternoon.

Step 4: Calculate the total number of cookies Helen takes home at night.
4 cookies (morning) + 5 cookies (afternoon) = 9 cookies

Step 5: Subtract the number of cookies Helen takes home at night from the total number of cookies she has at the beginning of the day.
51 cookies (total) - 9 cookies (taken home) = 42 cookies

Helen will have 42 cookies left at night.

#### 42",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to understand the information given and then calculate the total time spent on the task.

1. The task is to find out how many minutes the person worked yesterday.
2. The person worked for 9 hours yesterday.
3. There are 60 minutes in an hour.

Now, let's calculate the total minutes worked yesterday:

9 hours * 60 minutes/hour = 540 minutes

Therefore, the person worked for 540 minutes yesterday.

#### 540",neither
