problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to determine how many fish were originally in the pond and then subtract the number of fish that are still there from the original total.

Step 1: Calculate the total number of fish originally in the pond.
Paige started with 7 goldfish and 12 catfish.
\[ 7 + 12 = 19 \]
So, there were 19 fish in the pond initially.

Step 2: Determine how many fish are still in the pond.
Paige now has 15 fish left in the pond.

Step 3: Calculate the number of fish that have disappeared.
Subtract the number of fish still in the pond from the original total.
\[ 19 - 15 = 4 \]

Therefore, the number of fish that disappeared is 4.

#### <answer>4####",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, let's break it down into steps:

1. **Initial Weight of Strawberries Collected Together**: Marco and his dad initially collected strawberries that weighed 22 pounds.

2. **Additional Strawberries Found**: On the way back, Marco's dad found an additional 30 pounds of strawberries.

3. **Weight of Marco's Strawberries Now**: Marco's strawberries now weigh 36 pounds.

4. **Calculate the Weight of Dad's Strawberries**:
   - First, determine the total weight of strawberries after finding the additional 30 pounds.
     \[
     22 \text{ pounds (initial)} + 30 \text{ pounds (additional)} = 52 \text{ pounds}
     \]
   - Next, we know Marco's strawberries now weigh 36 pounds. Let \( x \) be the weight of his dad's strawberries now.
   - The total weight of strawberries is the sum of Marco's and his dad's strawberries:
     \[
     36 \text{ pounds} + x = 52 \text{ pounds}
     \]

5. **Solve for \( x \)**:
   \[
   x = 52 \text{ pounds}",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To determine how many days the soda bottles would last, we need to follow these steps:

1. Identify the total number of soda bottles Debby bought.
2. Determine the number of soda bottles she drinks per day.
3. Calculate the number of days the soda bottles will last by dividing the total number of soda bottles by the number of soda bottles consumed per day.

Step 1: The total number of soda bottles Debby bought is 256.

Step 2: The number of soda bottles Debby drinks per day is 4.

Step 3: To find out how many days the soda bottles will last, we divide the total number of soda bottles by the number of soda bottles consumed per day:
\[ \text{Number of days} = \frac{\text{Total number of soda bottles}}{\text{Number of soda bottles per day}} = \frac{256}{4} = 64 \]

So, the soda bottles will last for 64 days.

#### <answer>64",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to determine how much Olivia spent at the supermarket. We can break down the problem into steps:

1. **Initial amount in the wallet**: Olivia started with $106.
2. **Amount left after all purchases**: After visiting both the supermarket and the showroom, she had $26 left.
3. **Amount spent at the showroom**: She spent $49 at the showroom.
4. **Calculate the total amount spent before the showroom visit**:
   - The total amount spent before the showroom visit is the initial amount minus the amount left after all purchases.
   - This can be calculated as: \(106 - 26 = 80\) dollars.
5. **Determine the amount spent at the supermarket**:
   - The amount spent at the supermarket is the total amount spent before the showroom visit minus the amount spent at the showroom.
   - This can be calculated as: \(80 - 49 = 31\) dollars.

So, Olivia spent $31 at the supermarket.

#### <answer>31",text
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to determine the total number of pencils Faye has by multiplying the number of rows by the number of pencils per row.

Step 1: Identify the number of rows.
The problem states there are 30 rows.

Step 2: Identify the number of pencils per row.
The problem states there are 24 pencils in each row.

Step 3: Calculate the total number of pencils.
Total number of pencils = Number of rows × Number of pencils per row
Total number of pencils = 30 × 24

Now, perform the multiplication:
30 × 24 = 720

So, the total number of pencils Faye has is 720.

#### 720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, we need to follow these steps:

1. Determine how many marbles Doug originally had.
2. Calculate how many marbles Doug has after losing some.
3. Compare the number of marbles Ed and Doug have after the loss.

Step 1: Determine how many marbles Doug originally had.
- We know that Ed had 10 more marbles than Doug.
- Ed had 45 marbles.
- Therefore, Doug originally had \(45 - 10 = 35\) marbles.

Step 2: Calculate how many marbles Doug has after losing some.
- Doug lost 11 marbles.
- So, Doug now has \(35 - 11 = 24\) marbles.

Step 3: Compare the number of marbles Ed and Doug have after the loss.
- Ed still has 45 marbles.
- Doug now has 24 marbles.
- The difference in the number of marbles is \(45 - 24 = 21\).

So, Ed had 21 more marbles than Doug after Doug lost some.

#### <answer>21",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to add the number of children who were already on the bus to the number of children who got on at the bus stop.

Step 1: Identify the initial number of children on the bus.
- There were 26 children on the bus initially.

Step 2: Identify the number of children who got on the bus at the bus stop.
- 38 more children got on the bus.

Step 3: Add the two numbers together to find the total number of children on the bus now.
- 26 (initial children) + 38 (children who got on) = 64

So, the total number of children on the bus now is 64.

#### <answer>64",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find out how many cookies Helen baked till last night, we need to add up the number of cookies she baked on each day:

- Cookies baked yesterday: 31
- Cookies baked this morning: 270
- Cookies baked the day before yesterday: 419

Now, let's add these numbers together:

1. Start with the cookies baked yesterday: 31
2. Add the cookies baked this morning: 31 + 270 = 271
3. Finally, add the cookies baked the day before yesterday: 271 + 419 = 690

So, the total number of cookies Helen baked till last night is 690.

#### 690",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to follow these steps:

1. Calculate the number of oranges harvested per day.
2. Multiply the daily harvest by the number of days to find the total number of oranges harvested over 87 days.

Step 1: Calculate the number of oranges harvested per day.
- Each sack contains 25 oranges.
- They harvest 66 sacks per day.
- Therefore, the number of oranges harvested per day is \( 66 \times 25 \).

\[ 66 \times 25 = 1650 \]

So, they harvest 1650 oranges per day.

Step 2: Multiply the daily harvest by the number of days.
- They harvest for 87 days.
- The total number of oranges harvested over 87 days is \( 1650 \times 87 \).

\[ 1650 \times 87 = 143550 \]

Therefore, the total number of oranges harvested after 87 days is 143,550.

#### <answer>",text
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to determine how many minutes the machine worked yesterday given that it made 9 shirts and works at a rate of 3 shirts per minute.

Step 1: Identify the number of shirts made yesterday.
- The machine made 9 shirts yesterday.

Step 2: Identify the rate at which the machine makes shirts.
- The machine makes 3 shirts per minute.

Step 3: Calculate the time taken to make 9 shirts.
- Time = Number of shirts / Rate of production
- Time = 9 shirts / 3 shirts per minute

Step 4: Perform the division.
- Time = 9 / 3 = 3 minutes

Therefore, the machine worked for 3 minutes yesterday.

#### <answer>3 minutes####",text
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"To solve this problem, we need to determine the total number of magazines Bryan has across all his bookshelves.

Step 1: Identify the number of magazines per bookshelf.
Bryan has 46 magazines on each of his 10 bookshelves.

Step 2: Calculate the total number of magazines.
To find the total number of magazines, multiply the number of magazines per bookshelf by the number of bookshelves:
\[ 46 \text{ magazines/bookshelf} \times 10 \text{ bookshelves} = 460 \text{ magazines} \]

So, Bryan has a total of 460 magazines.

#### <answer>460",text
