problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to determine the total number of fish that were originally in the pond and then subtract the number of fish that are left. 

1. Original number of fish: 7 goldfish + 12 catfish = 19 fish
2. Number of fish left: 15 fish

Now, we subtract the number of fish left from the original number of fish to find out how many fish disappeared:

19 fish - 15 fish = 4 fish

So, 4 fish disappeared.",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To find out how much of his dad's strawberries weighed, we need to subtract the weight of Marco's strawberries from the total weight of the strawberries collected by both of them.

Total weight of strawberries collected by both of them = 22 pounds
Weight of strawberries found by Marco's dad = 30 pounds

Weight of strawberries left with Marco = 36 pounds

Weight of strawberries left with his dad = Total weight of strawberries collected by both of them - Weight of strawberries found by Marco's dad + Weight of strawberries left with Marco

Weight of strawberries left with his dad = 22 pounds - 30 pounds + 36 pounds

Weight of strawberries left with his dad = 38 pounds

So, his dad's strawberries weighed 38 pounds.",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to first find out how many water bottles Debby drank in total and then subtract that from the total number of water bottles she bought to find out how many water bottles are left. Finally, we can divide the remaining water bottles by the number of soda bottles she drinks to find out how many days the soda bottles will last.

1. Calculate the number of water bottles Debby drank: \(312 \text{ water bottles} \div 312 \text{ water bottles/day} = 1\) day
2. Calculate the number of water bottles left: \(200 \text{ water bottles} - 312 \text{ water bottles} = -112 \text{ water bottles}\)
3. Calculate the number of soda bottles Debby drinks: \(4 \text{ soda bottles} \div 312 \text{ soda bottles/day} = 0.013\) days
4. Calculate the number of soda bottles left: \(256 \text{ soda bottles} - 4 \text{ soda bottles} = 252 \text{ soda bottles}\)

So, the soda bottles will last 252 days. The answer is",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To find out how much Olivia spent at the supermarket, we need to subtract the amount she spent at the showroom from the total amount she had before visiting the showroom.

Total amount Olivia had before visiting the showroom: 106 dollars
Amount Olivia spent at the showroom: 49 dollars

Amount Olivia spent at the supermarket = Total amount Olivia had before visiting the showroom - Amount Olivia spent at the showroom
= 106 dollars - 49 dollars
= 57 dollars

So, Olivia spent 57 dollars at the supermarket.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To find out how many pencils Faye has, we first need to calculate the total number of crayons she has. Since she placed 71 crayons in each of the 30 rows, we multiply the number of crayons by the number of rows:

\[ \text{Total crayons} = 71 \times 30 \]

\[ \text{Total crayons} = 2130 \]

Now, to find out how many pencils she has, we subtract the number of crayons from the total number of crayons:

\[ \text{Total pencils} = \text{Total crayons} - 24 \]

\[ \text{Total pencils} = 2130 - 24 \]

\[ \text{Total pencils} = 2106 \]

So, Faye has 2106 pencils.",neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, let's break it down step by step:

1. **Determine the number of marbles Doug had initially:**
   - Ed had 10 more marbles than Doug.
   - If Ed had 45 marbles, then Doug had \(45 - 10 = 35\) marbles initially.

2. **Calculate the number of marbles Doug lost:**
   - Doug lost 11 marbles.
   - So, Doug had \(35 - 11 = 24\) marbles left.

3. **Determine the number of marbles Ed has now:**
   - Ed had 45 marbles initially.
   - After losing 11 marbles, Ed has \(45 - 11 = 34\) marbles now.

4. **Compare the number of marbles Ed has to the number of marbles Doug has left:**
   - Ed has 34 marbles.
   - Doug has 24 marbles left.

5. **Calculate how many more marbles Ed has than Doug:**
   - Ed has 34 marbles.
   - Doug has 24 marbles.
   - So, Ed has \(",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to add the number of children who got on the bus to the original number of children on the bus.

1. Original number of children on the bus: 26
2. Number of children who got on the bus: 38

Now, we add these two numbers together:

26 (original number) + 38 (additional children) = 64

So, there are now 64 children on the bus.",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find out how many cookies Helen baked till last night, we need to add up the number of cookies she baked yesterday, this morning, and the day before yesterday.

Yesterday: 31 cookies
This morning: 270 cookies
The day before yesterday: 419 cookies

Total cookies baked till last night = 31 + 270 + 419

Now, let's add them together:

31 + 270 = 301
301 + 419 = 710

So, Helen baked a total of 710 cookies till last night.",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To find out how many oranges will be harvested after 87 days of harvest, we first need to calculate the total number of sacks harvested in 87 days. Then, we multiply that number by the number of oranges per sack.

1. Calculate the total number of sacks harvested in 87 days:
   \( 66 \text{ sacks/day} \times 87 \text{ days} = 5712 \text{ sacks} \)

2. Calculate the total number of oranges harvested in 87 days:
   \( 5712 \text{ sacks} \times 25 \text{ oranges/sack} = 142800 \text{ oranges} \)

So, Helen will have 142,800 oranges after 87 days of harvest. The answer is: #### 142800",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To find out how many minutes the machine worked yesterday, we first need to calculate the total number of shirts made in both days and then divide that number by the number of shirts made per minute.

Yesterday's shirts made: 9 shirts
Today's shirts made: 44 shirts

Total shirts made: 9 + 44 = 53 shirts

The machine can make 3 shirts per minute.

To find out how many minutes the machine worked yesterday, we divide the total number of shirts by the number of shirts made per minute:

53 shirts / 3 shirts per minute = 17.67 minutes

Since the machine cannot work a fraction of a minute, we round up to the nearest whole number. Therefore, the machine worked for 18 minutes yesterday.",neither
