problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve the problem, let's break it down step by step:

1. **Initial number of fish:**
   - Paige initially had 7 goldfish.
   - Paige also had 12 catfish.
   - Total initial number of fish = 7 (goldfish) + 12 (catfish) = 19 fish.

2. **Number of fish remaining:**
   - After some time, Paige has 15 fish left in the pond.

3. **Number of fish that disappeared:**
   - To find out how many fish disappeared, we subtract the number of fish remaining from the initial number of fish.
   - Number of fish that disappeared = Initial number of fish - Number of fish remaining
   - Number of fish that disappeared = 19 - 15 = 4 fish.

So, the number of fish that disappeared is 4.

#### <answer> 4",text,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, let's break it down step by step:

1. **Initial Weight of Strawberries Collected Together**: Marco and his dad initially collected strawberries that weighed 22 pounds.
   
2. **Additional Strawberries Found**: On the way back, Marco's dad found an additional 30 pounds of strawberries.

3. **Total Weight of Strawberries Found**: The total weight of strawberries found is the sum of the initial weight and the additional weight:
   \[
   22 \text{ pounds} + 30 \text{ pounds} = 52 \text{ pounds}
   \]

4. **Weight of Marco's Strawberries**: Marco's strawberries now weigh 36 pounds.

5. **Weight of Dad's Strawberries**: To find out how much Marco's dad's strawberries weigh now, we subtract the weight of Marco's strawberries from the total weight of strawberries found:
   \[
   52 \text{ pounds} - 36 \text{ pounds} = 16 \text{ pounds}
   \]

So, Marco's dad's strawberries now weigh 16 pounds.

#### <answer> 16 pounds",text,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve the problem, we need to determine how many days the soda bottles will last based on the number of soda bottles Debby bought and the number she drinks per day.

Step 1: Identify the total number of soda bottles Debby bought.
- Debby bought 256 soda bottles.

Step 2: Identify the number of soda bottles Debby drinks per day.
- Debby drinks 4 soda bottles a day.

Step 3: Calculate the number of days the soda bottles will last.
- To find out how many days the soda bottles will last, divide the total number of soda bottles by the number of soda bottles Debby drinks per day.
\[ \text{Number of days} = \frac{\text{Total number of soda bottles}}{\text{Number of soda bottles per day}} \]
\[ \text{Number of days} = \frac{256}{4} \]

Step 4: Perform the division.
\[ \text{Number of days} = 64 \]

So, the soda bottles will last for 64 days.

#### 64",text,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to determine how much Olivia spent at the supermarket after spending 49 dollars at the showroom.

1. **Initial amount in Olivia's wallet:** $106
2. **Amount left after shopping:** $26
3. **Amount spent at the showroom:** $49

First, let's find out how much Olivia spent in total:
\[ \text{Total spent} = \text{Initial amount} - \text{Amount left} \]
\[ \text{Total spent} = 106 - 26 \]
\[ \text{Total spent} = 80 \]

Now, we know that she spent $49 at the showroom. To find out how much she spent at the supermarket, we subtract the amount spent at the showroom from the total amount spent:
\[ \text{Amount spent at the supermarket} = \text{Total spent} - \text{Amount spent at the showroom} \]
\[ \text{Amount spent at the supermarket} = 80 - 49 \]
\[ \text{Amount spent at the supermarket} = 31 \]

So, Olivia spent $31 at the supermarket.

#### <answer>",text,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve the problem, we need to determine the total number of pencils Faye has. The problem states that there are 24 pencils in each row and there are 30 rows.

Step 1: Identify the number of pencils per row.
- Number of pencils per row = 24

Step 2: Identify the number of rows.
- Number of rows = 30

Step 3: Calculate the total number of pencils.
- Total number of pencils = Number of pencils per row × Number of rows
- Total number of pencils = 24 × 30

Step 4: Perform the multiplication.
- 24 × 30 = 720

Therefore, the total number of pencils Faye has is 720.

#### 720",text,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Let's solve the problem step by step:

1. **Determine how many marbles Doug originally had:**
   - Ed had 10 more marbles than Doug.
   - Ed had 45 marbles.
   - Therefore, Doug originally had \( 45 - 10 = 35 \) marbles.

2. **Calculate how many marbles Doug has after losing some:**
   - Doug lost 11 marbles.
   - So, Doug now has \( 35 - 11 = 24 \) marbles.

3. **Determine how many more marbles Ed has than Doug now:**
   - Ed still has 45 marbles.
   - Doug now has 24 marbles.
   - The difference is \( 45 - 24 = 21 \).

So, Ed has 21 more marbles than Doug now.

#### <answer> 21",text,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve the problem step by step, we need to follow these steps:

1. Determine the initial number of children on the bus.
   - The initial number of children on the bus is 26.

2. Add the number of children who got on the bus at the bus stop.
   - The number of children who got on the bus is 38.

3. Calculate the total number of children on the bus now.
   - Total number of children = Initial number of children + Number of children who got on the bus
   - Total number of children = 26 + 38

4. Perform the addition.
   - 26 + 38 = 64

So, the total number of children on the bus now is 64.

#### 64",text,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve the problem, we need to add up the number of cookies Helen baked on each day:

1. Cookies baked the day before yesterday: 419
2. Cookies baked yesterday: 31
3. Cookies baked this morning: 270

Now, let's add these numbers together:

\[ 419 + 31 + 270 \]

First, add 419 and 31:

\[ 419 + 31 = 450 \]

Next, add the result to 270:

\[ 450 + 270 = 720 \]

So, the total number of cookies Helen baked till last night is:

#### 720",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve the problem, we need to determine the total number of oranges harvested over 87 days.

1. **Daily Harvest Calculation:**
   - The problem states that they harvest 66 sacks per day.
   - Each sack contains 25 oranges.

2. **Total Oranges per Day:**
   \[
   \text{Oranges per day} = \text{sacks per day} \times \text{oranges per sack}
   \]
   \[
   \text{Oranges per day} = 66 \times 25
   \]

3. **Perform the Multiplication:**
   \[
   66 \times 25 = (60 + 6) \times 25 = (60 \times 25) + (6 \times 25)
   \]
   \[
   60 \times 25 = 1500
   \]
   \[
   6 \times 25 = 150
   \]
   \[
   1500 + 150 = 1650
   \]

4. **Total Oranges Over 87 Days:",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"The problem in Source A is incomplete. It asks how many minutes the machine worked yesterday, but it does not provide the number of shirts made yesterday or the total time the machine worked. The information given is that the machine made 9 shirts yesterday and 44 shirts today, and it can make 3 shirts a minute. However, to find out how many minutes the machine worked yesterday, we need the number of shirts made yesterday.

Since the problem does not specify the number of shirts made yesterday, we cannot solve for the number of minutes the machine worked yesterday based on the information provided.

#### <answer>",text,neutral
