problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to determine how many fish were originally in the pond and then subtract the number of fish that are still there from the original count.

Step 1: Calculate the total number of fish originally in the pond.
Paige initially had 7 goldfish + 12 catfish = 19 fish.

Step 2: Determine how many fish are still in the pond.
Paige now has 15 fish left.

Step 3: Calculate the number of fish that have disappeared.
The number of fish that disappeared is the original number of fish minus the number of fish still in the pond.
So, 19 fish - 15 fish = 4 fish.

Therefore, the number of fish that disappeared is 4.

#### <answer>4####",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, let's break it down into steps:

1. **Initial Weight of Strawberries Collected**: Marco and his dad initially collected strawberries that weighed 22 pounds.
2. **Additional Strawberries Found**: On the way back, Marco's dad found an additional 30 pounds of strawberries.
3. **Weight of Marco's Strawberries Now**: Marco's strawberries now weigh 36 pounds.

We need to find out how much Marco's dad's strawberries weigh now.

Let's denote:
- The initial weight of Marco's strawberries as \( M_i \).
- The initial weight of his dad's strawberries as \( D_i \).

From the information given:
\[ M_i + D_i = 22 \]

After finding more strawberries, the total weight of Marco's strawberries is 36 pounds, so:
\[ M_i + 30 = 36 \]
\[ M_i = 36 - 30 \]
\[ M_i = 6 \]

Now we know Marco's strawberries weigh 6 pounds after finding more. Since the total initial weight was 22 pounds, we can find the initial weight of his dad's strawberries:
\[ D_i = 22 - M_i \]
\[ D_i",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to determine how many days the soda bottles will last given that Debby drinks 4 soda bottles per day.

Step 1: Identify the total number of soda bottles Debby bought.
- Debby bought 256 soda bottles.

Step 2: Determine the daily consumption of soda bottles.
- Debby drinks 4 soda bottles per day.

Step 3: Calculate the number of days the soda bottles will last.
- To find out how many days the soda bottles will last, divide the total number of soda bottles by the daily consumption.
- Number of days = Total soda bottles / Daily consumption
- Number of days = 256 / 4

Step 4: Perform the division.
- 256 / 4 = 64

So, the soda bottles will last for 64 days.

#### <answer>64 days</answer>",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to determine how much money Olivia spent at the supermarket. We can break it down into steps:

1. Determine the total amount of money Olivia spent.
2. Subtract the amount spent at the showroom from the total amount spent to find out how much was spent at the supermarket.

Step 1: Calculate the total amount of money spent.
Olivia started with $106 and had $26 left after her visits. The total amount spent is:
\[ 106 - 26 = 80 \text{ dollars} \]

Step 2: Determine the amount spent at the showroom.
We know that she spent $49 at the showroom. To find out how much she spent at the supermarket, we subtract the amount spent at the showroom from the total amount spent:
\[ 80 - 49 = 31 \text{ dollars} \]

So, the amount spent at the supermarket is:
#### <answer>31####",text
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to calculate the total number of pencils Faye has by multiplying the number of rows by the number of pencils per row.

Step 1: Identify the number of rows.
Number of rows = 30

Step 2: Identify the number of pencils per row.
Number of pencils per row = 24

Step 3: Calculate the total number of pencils.
Total number of pencils = Number of rows × Number of pencils per row
Total number of pencils = 30 × 24

Step 4: Perform the multiplication.
Total number of pencils = 720

So, Faye has 720 pencils. 

#### 720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, we need to follow these steps:

1. Determine how many marbles Doug originally had.
2. Calculate how many marbles Doug has after losing some.
3. Compare the number of marbles Ed and Doug have after the loss.

Step 1: Determine how many marbles Doug originally had.
- We know that Ed had 10 more marbles than Doug.
- Ed had 45 marbles.
- Therefore, Doug originally had \( 45 - 10 = 35 \) marbles.

Step 2: Calculate how many marbles Doug has after losing some.
- Doug lost 11 marbles.
- So, Doug now has \( 35 - 11 = 24 \) marbles.

Step 3: Compare the number of marbles Ed and Doug have after the loss.
- Ed still has 45 marbles.
- Doug now has 24 marbles.
- The difference in the number of marbles is \( 45 - 24 = 21 \).

So, Ed had 21 more marbles than Doug after Doug lost some.

#### 21",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to follow these steps:

1. Determine the initial number of children on the bus.
2. Add the number of children who got on the bus at the bus stop to the initial number of children.

Step 1: The initial number of children on the bus is given as 26.

Step 2: At the bus stop, 38 more children got on the bus. So, we add 38 to the initial number of children:
\[ 26 + 38 = 64 \]

Therefore, the total number of children on the bus now is 64.

The final answer is 64.",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve the problem, we need to add up the number of cookies Helen baked on each day:

1. Cookies baked yesterday: 31
2. Cookies baked this morning: 270
3. Cookies baked the day before yesterday: 419

Now, let's add these numbers together:

\[ 31 + 270 + 419 \]

First, add 31 and 270:
\[ 31 + 270 = 301 \]

Next, add the result to 419:
\[ 301 + 419 = 720 \]

So, the total number of cookies Helen baked till last night is 720.

#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to calculate the total number of oranges harvested over 87 days. Here's the step-by-step solution:

1. Calculate the number of oranges harvested per day:
   - They harvest 66 sacks per day.
   - Each sack contains 25 oranges.
   - Therefore, the number of oranges harvested per day is \( 66 \times 25 \).

2. Perform the multiplication:
   - \( 66 \times 25 = 1650 \) oranges per day.

3. Calculate the total number of oranges harvested over 87 days:
   - Multiply the daily harvest by the number of days: \( 1650 \times 87 \).

4. Perform the multiplication:
   - \( 1650 \times 87 = 143550 \).

So, the total number of oranges harvested after 87 days is 143,550.

#### <answer> 143,550",text
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to determine how many minutes the machine worked yesterday given that it made 9 shirts and works at a rate of 3 shirts per minute.

Step 1: Identify the number of shirts made yesterday.
- The machine made 9 shirts yesterday.

Step 2: Identify the rate at which the machine works.
- The machine makes 3 shirts per minute.

Step 3: Calculate the number of minutes the machine worked yesterday.
- To find the number of minutes, divide the total number of shirts made by the rate of production.
- Number of minutes = Total shirts / Rate of production
- Number of minutes = 9 shirts / 3 shirts per minute

Step 4: Perform the division.
- 9 shirts / 3 shirts per minute = 3 minutes

So, the machine worked for 3 minutes yesterday.

#### <answer>3 minutes####",text
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"To solve this problem, we need to calculate the total number of magazines Bryan has on all his bookshelves.

Step 1: Determine the number of magazines per bookshelf.
Bryan has 46 magazines on each bookshelf.

Step 2: Determine the total number of bookshelves.
Bryan has 10 bookshelves.

Step 3: Calculate the total number of magazines.
Total magazines = Number of magazines per bookshelf * Total number of bookshelves
Total magazines = 46 magazines/bookshelf * 10 bookshelves

Step 4: Perform the multiplication.
Total magazines = 460

So, Bryan has a total of 460 magazines.

#### 460",text
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"To solve this problem, we need to determine how many apps Dave added to his phone. We know that initially he had 17 apps and after adding some, he had 18 apps left.

Step 1: Identify the initial number of apps.
Initial apps = 17

Step 2: Identify the final number of apps.
Final apps = 18

Step 3: Calculate the number of apps added.
Number of apps added = Final apps - Initial apps
Number of apps added = 18 - 17
Number of apps added = 1

So, Dave added 1 app to his phone.

#### <answer>1",text
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"To solve this problem, we need to add the cost of the candy bar and the chocolate together:

1. The cost of the candy bar is $7.
2. The cost of the chocolate is $6.

Now, let's add these two amounts:

$7 + $6 = $13

So, Dan spent $13 in total on the candy bar and the chocolate.

#### <answer> $13",text
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To solve this problem, we need to determine how many bananas are in each group given that there are 196 groups and a total of 392 bananas.

Step 1: Identify the total number of bananas.
The total number of bananas is 392.

Step 2: Identify the number of groups.
The number of groups is 196.

Step 3: Calculate the number of bananas per group.
To find the number of bananas per group, divide the total number of bananas by the number of groups.

\[ \text{Number of bananas per group} = \frac{\text{Total number of bananas}}{\text{Number of groups}} \]

\[ \text{Number of bananas per group} = \frac{392}{196} \]

Step 4: Perform the division.
\[ \frac{392}{196} = 2 \]

So, each group contains 2 bananas.

#### <answer>2",text
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"To solve this problem, we need to determine how much farther the group needs to travel to reach the end of the cave. Here's the step-by-step solution:

1. **Calculate the remaining distance to the end of the cave:**
   - The total depth of the cave is 1218 feet.
   - They are currently at 849 feet.
   - Remaining distance = Total depth - Current depth
   - Remaining distance = 1218 feet - 849 feet

2. **Perform the subtraction:**
   - 1218 - 849 = 369 feet

So, the group needs to travel an additional 369 feet to reach the end of the cave.

#### <answer>369 feet####",text
