problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To find out how many fishes disappeared, we need to calculate the total number of fishes Paige initially had and then subtract the number of fishes she has now.

1. Calculate the total number of fishes initially:
Paige had 7 goldfish + 12 catfish = 19 fishes.

2. Subtract the number of fishes she has now from the initial total:
19 fishes - 15 fishes = 4 fishes disappeared.

Therefore, 4 fishes disappeared.",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Marco's strawberries weighed 36 pounds. The total weight of strawberries collected by Marco and his dad was 22 pounds. On the way back, Marco's dad found 30 more pounds of strawberries. Therefore, the total weight of strawberries collected by Marco and his dad was 22 + 30 = 52 pounds. Since Marco's strawberries weighed 36 pounds, his dad's strawberries weighed 52 - 36 = 16 pounds. Therefore, Marco's dad's strawberries weighed 16 pounds now. Therefore, the answer is 16.",text
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"256 / 4 = 64
#### 64",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Let's denote the amount of money Olivia spent at the supermarket as S.

From the information given, we can write the following equation:

106 - S - 49 = 26

Solving for S:

106 - 49 - 26 = S
21 = S

So, Olivia spent 21 dollars at the supermarket.

Therefore, the answer is 21 dollars.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To find the total number of pencils, we need to multiply the number of rows by the number of pencils in each row.

Number of rows = 30
Number of pencils in each row = 24

Total number of pencils = Number of rows × Number of pencils in each row
= 30 × 24
= 720

Therefore, Faye has 720 pencils. 

#### 720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Let's denote the number of marbles Doug had as D. According to the problem, Ed had 10 more marbles than Doug, so we can write the equation: E = D + 10. We are also told that Ed had 45 marbles, so E = 45. Now we can substitute the value of E in the equation: 45 = D + 10. Solving for D, we get D = 35. Doug lost 11 of his marbles, so now he has D - 11 = 35 - 11 = 24 marbles. To find out how many more marbles Ed has than Doug, we subtract the number of marbles Doug has from the number of marbles Ed has: E - D = 45 - 24 = 21. Therefore, Ed has 21 more marbles than Doug. The answer is 21.",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,26 + 38 = 64.,text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"31 + 270 + 419 = 720 cookies
#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To find the total number of oranges harvested after 87 days, we need to multiply the number of sacks harvested per day by the number of oranges in each sack, and then multiply that result by the number of days.

1. First, find the total number of sacks harvested after 87 days:
   \[
   \text{Total sacks} = 66 \times 87
   \]

2. Then, find the total number of oranges by multiplying the total number of sacks by the number of oranges in each sack:
   \[
   \text{Total oranges} = \text{Total sacks} \times 25
   \]

Let's calculate these step by step.

1. \[
   \text{Total sacks} = 66 \times 87 = 5778
   \]

2. \[
   \text{Total oranges} = 5778 \times 25 = 144450
   \]

Therefore, after 87 days of harvest, they will have 144,450 oranges.

\[
\boxed{144450}
\]",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To find out how many minutes the machine worked yesterday, we need to determine how many shirts it made yesterday and then calculate the time it took to make those shirts.

1. Calculate the total number of shirts made yesterday:
   The machine made 9 shirts yesterday.

2. Calculate the total number of shirts made today:
   The machine made 44 shirts today.

3. Calculate the total number of shirts made in two days:
   Total shirts = Shirts made yesterday + Shirts made today
   Total shirts = 9 + 44
   Total shirts = 53

4. Calculate the time it took to make the shirts:
   The machine can make 3 shirts a minute. To find out how many minutes it took to make 53 shirts, we divide the total number of shirts by the number of shirts made per minute.
   Time = Total shirts / Shirts per minute
   Time = 53 / 3
   Time = 17.67 minutes

Since the machine can't work for a fraction of a minute, we can round this to the nearest whole number if necessary. However, the question asks for the number of minutes worked yesterday, and since the machine was working continuously, we can assume it",neither
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"46 * 10 = 460
9 * 10 = 90
460 + 90 = 550
#### 550",neither
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"17 + x = 18
x = 18 - 17
x = 1
Dave added 1 app.",text
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"Add the price of a candy bar and the price of a chocolate:
$ 7 + $ 6 = $ 13
Dan spent $ 13. $ 13 is more than $ 4, so he does not have enough money.",neither
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To find the size of each group, we need to divide the total number of bananas by the number of groups. So, we have:

392 ÷ 196 = 2

Therefore, each group has 2 bananas. 

#### 2",text
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"To find out how much farther they have to travel, we need to subtract the distance they have already travelled from the total depth of the cave.

Total depth of the cave = 1218 feet
Distance already travelled = 849 feet

Distance remaining = Total depth - Distance already travelled
= 1218 feet - 849 feet
= 369 feet

So, they have 369 feet more to travel until they reach the end of the cave.

Therefore, the answer is 369 feet.",text
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"20 / 4 = 5
#### 5",text
16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,5,136,"The farmer had 177 tomatoes and 12 potatoes.
He picked 53 tomatoes, so he has 177 - 53 = 124 tomatoes left.
He also has 12 potatoes, so in total, he has 124 + 12 = 136 tomatoes and potatoes left.
Therefore, the answer is 136.",text
17,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,136,91,"Let x be the number of bottle caps Danny had at first. Then, x - 66 = 25. Solving for x, we get x = 91. Therefore, Danny had 91 bottle caps at first.  Therefore, the answer is 91.",text
18,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",91,13,"5 + 8 = 13 emails
Jack received 13 emails in the afternoon and evening.
#### 13",text
19,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,13,7,"Paco had 22 sweet cookies and ate 15 of them, so he has 22 - 15 = 7 sweet cookies left.
Paco had 75 salty cookies and ate 54 of them, so he has 75 - 54 = 21 salty cookies left.
Therefore, Paco has 7 sweet cookies and 21 salty cookies left.
The answer is 7.",text
20,Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,7,33,"To find out how much money the ring toss game made per day, we need to divide the total amount of money earned by the number of days.

1. Total amount of money earned: $165
2. Number of days: 5

Now, we divide the total amount by the number of days:

$165 ÷ 5 = $33

So, the ring toss game made $33 per day.

Therefore, the answer is $33 per day.",text
21,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,33,3,"To find out how many files Dave deleted, we can use the information given to set up an equation. We know that Dave started with 24 files, and after deleting some, he had 21 files left. Let's denote the number of files Dave deleted as \(x\).

The equation to represent this situation is:
\[24 - x = 21\]

To solve for \(x\), we need to isolate \(x\) on one side of the equation. We can do this by subtracting 21 from both sides of the equation:
\[24 - 21 = x\]

Simplifying the left side of the equation gives us:
\[3 = x\]

Therefore, Dave deleted 3 files. The answer is:
\[
\boxed{3}
\]",text
22,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,In a school there are 569 girls and 236 boys. How many more girls than boys does the school have?,3,333,"569 - 236 = 333
The school has 333 more girls than boys.
#### 333",text
23,In a school there are 569 girls and 236 boys. How many more girls than boys does the school have?,Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,333,22,"Let x be the number of eggs. Then x is divisible by 11 and x is divisible by 2. The least common multiple of 11 and 2 is 22. The smallest number that is divisible by both 11 and 2 is 22. Therefore, x = 22.  Therefore, the answer is 22.",text
24,Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,Mary is baking a cake. The recipe calls for 7 cups of sugar and 10 cups of flour. She already put in 4 cups of sugar. How many more cups of sugar does she need to add?,22,3,"To find out how many more cups of sugar Mary needs to add, we need to subtract the amount of sugar she has already added from the total amount required.

1. Start with the total amount of sugar required: 7 cups.
2. Subtract the amount of sugar already added: 4 cups.

7 cups - 4 cups = 3 cups

Mary needs to add 3 more cups of sugar to the cake. Therefore, the answer is 3.",text
25,Mary is baking a cake. The recipe calls for 7 cups of sugar and 10 cups of flour. She already put in 4 cups of sugar. How many more cups of sugar does she need to add?,Dave had 21 apps on his phone. He added 89 new apps. After deleting some he had 24 left. How many more apps did he add than he deleted?,3,3,"Step 1: Find the total number of apps Dave had after adding new ones.
21 + 89 = 110 apps

Step 2: Find the number of apps Dave deleted.
110 - 24 = 86 apps

Step 3: Find the difference between the number of apps added and deleted.
89 - 86 = 3 apps

Dave added 3 more apps than he deleted. Therefore, the answer is 3 apps.",ambiguous
26,Dave had 21 apps on his phone. He added 89 new apps. After deleting some he had 24 left. How many more apps did he add than he deleted?,During summer break 202958 kids from Lawrence county go to camp and the other 777622 kids stay home. How many more kids stayed home compared to those who went to the camp?,3,574664,"To find out how many more kids stayed home compared to those who went to the camp, we need to subtract the number of kids who went to camp from the number of kids who stayed home.

777622 (kids who stayed home) - 202958 (kids who went to camp) = 574664

So, 574,664 more kids stayed home compared to those who went to the camp.

#### 574664",text
27,During summer break 202958 kids from Lawrence county go to camp and the other 777622 kids stay home. How many more kids stayed home compared to those who went to the camp?,The grasshopper and the frog had a jumping contest. The grasshopper jumped 13 inches. The grasshopper jumped 2 inches farther than the grasshopper. How far did the frog jump?,574664,11,"The grasshopper jumped 13 inches.
The grasshopper jumped 2 inches farther than the frog.
So, the frog jumped 13 - 2 = 11 inches.
Therefore, the frog jumped 11 inches.
#### 11",text
28,The grasshopper and the frog had a jumping contest. The grasshopper jumped 13 inches. The grasshopper jumped 2 inches farther than the grasshopper. How far did the frog jump?,Allan brought 3 balloons and 20 balls while Jake brought 5 balloons and 59 balls to the park. How many balloons did Allan and Jake have in the park?,11,8,"Allan had 3 balloons and Jake had 5 balloons. So, the total number of balloons they had in the park is 3 + 5 = 8 balloons. Therefore, the answer is 8 balloons.",text
29,Allan brought 3 balloons and 20 balls while Jake brought 5 balloons and 59 balls to the park. How many balloons did Allan and Jake have in the park?,He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day. How many days will it take to harvest 24 sacks of oranges?,8,3,"To find out how many days it will take to harvest 24 sacks of oranges, we need to divide the total number of sacks by the number of sacks harvested per day.

24 sacks ÷ 8 sacks/day = 3 days

Therefore, it will take 3 days to harvest 24 sacks of oranges.

#### 3",text
30,He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day. How many days will it take to harvest 24 sacks of oranges?,Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all?,3,12,"6 * 2 = 12 hours
Answer: 12",text
31,Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all?,Baker made 144 cakes. He sold 71 of them. Then he made 111 more cakes. How many more cakes did baker make than those he sold?,12,184,"Baker made 144 cakes and sold 71 of them, so he has 144 - 71 = 73 cakes left.
Then he made 111 more cakes, so he has 73 + 111 = 184 cakes in total.
To find out how many more cakes he made than those he sold, we subtract the number of cakes he sold from the total number of cakes he made: 184 - 71 = 113.
So, baker made 113 more cakes than those he sold.
#### 113",neither
32,Baker made 144 cakes. He sold 71 of them. Then he made 111 more cakes. How many more cakes did baker make than those he sold?,There were 12 people on the bus. At the next stop 4 more people got on the bus. Each bus can not have more than 36 people. How many people are there on the bus now?,184,16,"12 + 4 = 16
16 is less than 36, so the number of people on the bus now is 16.
#### 16",text
