problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Step 1: First, let's find out how many fishes Paige had in total before the stray cats ate some. total_fishes = goldfish + catfish = 7 + 12 = 19
Step 2: Now, we know that Paige has 15 fishes left after the stray cats ate some. So, we can find out how many fishes disappeared by subtracting the remaining fishes from the total number of fishes. disappeared_fishes = total_fishes - remaining_fishes = 19 - 15 = 4
Answer: 4.",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: First, we need to find out how much strawberries Marco picked. We know that Marco's strawberries weighed 36 pounds after his dad found more strawberries. So, we can subtract the weight of the strawberries his dad found from the total weight to find the weight of Marco's strawberries. 
36 - 30 = 6

Step 2: Now we know that Marco's strawberries weighed 6 pounds. To find out how much his dad's strawberries weighed, we subtract the weight of Marco's strawberries from the total weight of the strawberries they collected. 
22 + 30 = 52

Step 3: Now we know that the total weight of the strawberries they collected was 52 pounds. Since we already know that Marco's strawberries weighed 6 pounds, we can subtract that from the total weight to find the weight of his dad's strawberries. 
52 - 6 = 46

Answer: 46.",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"**Step 1: First, let's calculate how many water bottles Debby has left after drinking 312 water bottles.**
200 - 312 = -112
Since the number cannot be negative, it means Debby does not have enough water bottles to drink 312. Therefore, we need to adjust the number of water bottles she drank to a value that is less than or equal to 200.

**Step 2: Adjust the number of water bottles Debby drank.**
Let's assume Debby drank 200 water bottles, which is the maximum she had.

**Step 3: Calculate how many water bottles Debby has left after drinking 200 water bottles.**
200 - 200 = 0

**Step 4: Now, let's calculate how many soda bottles Debby has left after drinking 4 soda bottles.**
256 - 4 = 252

**Step 5: Calculate how many days the soda bottles will last.**
252 soda bottles / 4 soda bottles per day = 63 days

**Answer: 63.**",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Step 1: First, we need to find out how much money Olivia had before she visited the supermarket and the showroom. We know that after these visits, she had 26 dollars left. So, we can calculate the initial amount by adding the remaining money to the money spent at the showroom.

Initial amount = Remaining money + Money spent at the showroom
Initial amount = 26 + 49
Initial amount = 75

Step 2: Now that we know Olivia initially had 75 dollars, we can find out how much she spent at the supermarket by subtracting the remaining money from the initial amount.

Money spent at the supermarket = Initial amount - Remaining money
Money spent at the supermarket = 75 - 26
Money spent at the supermarket = 49

So, Olivia spent 49 dollars at the supermarket. Therefore, the answer is 49.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,#### 24,neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: First, let's find out how many marbles Doug had before he lost any. Since Ed had 10 more marbles than Doug, we can subtract 10 from Ed's total to find Doug's total. So, Doug had 45 - 10 = 35 marbles.

Step 2: Now, we know that Doug lost 11 marbles at the playground. To find out how many marbles Doug has left, we subtract the marbles he lost from his original total. So, Doug has 35 - 11 = 24 marbles left.

Step 3: Finally, we need to find out how many more marbles Ed has than Doug. We can do this by subtracting Doug's remaining marbles from Ed's total. So, Ed has 45 - 24 = 21 more marbles than Doug.

Answer: 21.",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"26 + 38 = 64
Answer: 64.",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find out how many cookies Helen baked till last night, we need to add the number of cookies she baked yesterday, this morning, and the day before yesterday. 

Yesterday: 31 cookies
This morning: 270 cookies
Day before yesterday: 419 cookies

Total cookies baked = 31 + 270 + 419
Total cookies baked = 720

Helen baked 720 cookies till last night. 

#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Step 1: First, we need to find out how many sacks of oranges are harvested in 87 days. We can do this by multiplying the number of sacks per day by the number of days: 66 sacks/day * 87 days = 5736 sacks.
Step 2: Next, we need to find out how many oranges are in 5736 sacks. We can do this by multiplying the number of sacks by the number of oranges per sack: 5736 sacks * 25 oranges/sack = 143400 oranges.
Step 3: Finally, we have the total number of oranges harvested after 87 days: 143400 oranges.

#### 143400",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To find out how many minutes the machine worked yesterday, we need to divide the number of shirts made yesterday by the number of shirts the machine can make per minute. 
So, 9 shirts / 3 shirts per minute = 3 minutes. 
Therefore, the machine worked for 3 minutes yesterday. 
#### 3",text
