problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve the problem, we need to determine how many more bird families flew away to Africa than those that flew away to Asia.

Step 1: Identify the number of bird families that flew away to Asia.
- According to the problem, 35 bird families flew away to Asia.

Step 2: Identify the number of bird families that flew away to Africa.
- According to the problem, 62 bird families flew away to Africa.

Step 3: Calculate the difference between the number of bird families that flew away to Africa and those that flew away to Asia.
- Difference = Number of bird families that flew away to Africa - Number of bird families that flew away to Asia
- Difference = 62 - 35

Step 4: Perform the subtraction.
- Difference = 27

So, 27 more bird families flew away to Africa than those that flew away to Asia.

#### 27",image,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Let's solve the problem step by step:

1. **Initial Weight of Strawberries Collected by Marco and His Dad:**
   - Together, they collected strawberries that weighed 22 pounds.

2. **Weight of Strawberries Found by Marco's Dad:**
   - Marco's dad found an additional 30 pounds of strawberries.

3. **Total Weight of Strawberries Found by Marco's Dad:**
   - The total weight of strawberries found by Marco's dad is 30 pounds.

4. **Weight of Strawberries Marco Has Now:**
   - Marco's strawberries now weigh 36 pounds.

5. **Weight of Strawberries Found by Marco's Dad:**
   - Since Marco's strawberries now weigh 36 pounds and he initially had 22 pounds, the weight of strawberries found by Marco's dad must be:
     \[
     36 \text{ pounds} - 22 \text{ pounds} = 14 \text{ pounds}
     \]

6. **Conclusion:**
   - The weight of strawberries found by Marco's dad is 14 pounds.

#### <answer> 14 pounds",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Let's solve the problem step by step:

1. **Initial amount of strawberries collected**: Marco and his dad collected strawberries that weighed 22 pounds.
2. **Additional strawberries found by Marco's dad**: Marco's dad found 30 more pounds of strawberries.
3. **Total weight of strawberries Marco's dad has now**: The total weight of strawberries Marco's dad has now is 36 pounds.

We need to find out how much Marco's dad's strawberries weigh now, which is already given as 36 pounds.

So, the answer is 36 pounds.

#### 36",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Let's solve the problem step by step:

1. **Initial amount in Olivia's wallet**: $106
2. **Amount left after shopping**: $26
3. **Amount spent at the showroom**: $49

First, we need to find out how much Olivia spent at the supermarket. We can do this by subtracting the amount spent at the showroom from the initial amount minus the amount left.

\[ \text{Amount spent at the supermarket} = \text{Initial amount} - \text{Amount left} - \text{Amount spent at the showroom} \]

Substitute the known values:

\[ \text{Amount spent at the supermarket} = 106 - 26 - 49 \]

Calculate step by step:

\[ 106 - 26 = 80 \]
\[ 80 - 49 = 31 \]

So, Olivia spent $31 at the supermarket.

Now, let's solve the problem described in the image (Source B):

Debby bought 200 water bottles and 256 soda bottles. She drank 312 water bottles and 4 soda bottles a day. We need to find out how many days the",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"Let's solve the problem step by step:

1. **Initial Amount in Olivia's Wallet**: Olivia started with $106.
2. **Amount Left After Visiting the Showroom**: After visiting the showroom, she had $26 left.
3. **Amount Spent at the Showroom**: She spent $49 at the showroom.
4. **Calculate the Amount Spent at the Supermarket**: To find out how much she spent at the supermarket, we need to subtract the amount spent at the showroom from the initial amount minus the amount left after the showroom visit.

First, calculate the total amount spent:
\[ \text{Total Amount Spent} = \text{Initial Amount} - \text{Amount Left} \]
\[ \text{Total Amount Spent} = 106 - 26 \]
\[ \text{Total Amount Spent} = 80 \]

Next, subtract the amount spent at the showroom from the total amount spent:
\[ \text{Amount Spent at the Supermarket} = \text{Total Amount Spent} - \text{Amount Spent at the Showroom} \]
\[ \text{Amount Spent at the Supermarket} = 80 - 49",neither,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Let's solve the problem step by step:

1. **Determine how many marbles Doug originally had:**
   - Ed had 45 marbles.
   - Ed had 10 more marbles than Doug.
   - Therefore, Doug originally had \( 45 - 10 = 35 \) marbles.

2. **Calculate how many marbles Doug has after losing some:**
   - Doug lost 11 marbles.
   - So, Doug now has \( 35 - 11 = 24 \) marbles.

3. **Find out how many more marbles Ed has than Doug:**
   - Ed has 45 marbles.
   - Doug has 24 marbles.
   - The difference is \( 45 - 24 = 21 \).

So, Ed has 21 more marbles than Doug.

#### <answer> 21",text,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Let's solve the problem step by step based on the information provided in Source A.

1. **Determine Doug's initial number of marbles:**
   - Ed had 10 more marbles than Doug.
   - If Ed had 45 marbles, then Doug had \(45 - 10 = 35\) marbles initially.

2. **Calculate the number of marbles Doug has after losing some:**
   - Doug lost 11 marbles at the playground.
   - So, Doug now has \(35 - 11 = 24\) marbles.

3. **Determine how many more marbles Ed has than Doug:**
   - Ed has 45 marbles.
   - Doug has 24 marbles.
   - The difference is \(45 - 24 = 21\).

So, Ed has 21 more marbles than Doug.

#### 21",image,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve the problem step by step, we need to add up the number of children on the bus after the new children got on.

1. Start with the initial number of children on the bus: 26.
2. Add the number of children who got on the bus at the bus stop: 38.

Now, let's perform the addition:

\[ 26 + 38 = 64 \]

So, the total number of children on the bus now is 64.

#### 64",image,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve the problem from Source A, we need to add up the number of cookies Helen baked on different days:

1. Helen baked 31 cookies yesterday.
2. Helen baked 270 cookies this morning.
3. Helen baked 419 cookies the day before yesterday.

Now, let's add these numbers together:

\[ 31 + 270 + 419 \]

First, add 31 and 270:

\[ 31 + 270 = 301 \]

Next, add the result to 419:

\[ 301 + 419 = 720 \]

So, the total number of cookies Helen baked till last night is:

#### 720",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"Let's solve the problem step by step:

1. **Determine the total number of sacks harvested in 87 days:**
   - They harvest 66 sacks per day.
   - Over 87 days, the total number of sacks harvested is:
     \[
     66 \text{ sacks/day} \times 87 \text{ days} = 5742 \text{ sacks}
     \]

2. **Calculate the total number of oranges:**
   - Each sack contains 25 oranges.
   - Therefore, the total number of oranges after 87 days is:
     \[
     5742 \text{ sacks} \times 25 \text{ oranges/sack} = 143550 \text{ oranges}
     \]

So, the total number of oranges they will have after 87 days of harvest is:
#### 143550",image,neutral
