problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve the problem, we need to find out how many fishes disappeared.

Let's denote the number of goldfish as x and the number of catfish as y.

According to Source A, Paige initially raised x goldfish and y catfish.

According to Source B, Paige now has 15 fishes left.

We can set up an equation to represent the situation:

x (goldfish) + y (catfish) = 15 (total fishes)

We know that x + y = 15, but we don't have enough information to determine the exact values of x and y.

Therefore, we cannot determine the exact number of fishes that disappeared.

#### <answer>",neither,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to find the weight of the strawberries that Marco's dad collected. We know that Marco's strawberries weighed 22 pounds, and after finding more strawberries, they weighed a total of 36 pounds.

First, let's find the weight of the strawberries that Marco collected. We can do this by subtracting the weight of the strawberries that Marco's dad found from the total weight of the strawberries they collected.

Weight of Marco's strawberries = Total weight - Weight of Marco's dad's strawberries
Weight of Marco's strawberries = 36 pounds - 30 pounds
Weight of Marco's strawberries = 6 pounds

Now that we know Marco's strawberries weighed 6 pounds, we can find the weight of Marco's dad's strawberries by subtracting the weight of Marco's strawberries from the total weight of the strawberries they collected.

Weight of Marco's dad's strawberries = Total weight - Weight of Marco's strawberries
Weight of Marco's dad's strawberries = 22 pounds - 6 pounds
Weight",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to find out how many soda bottles Debby has and how many soda bottles she drinks per day.

From Source A, we know that Debby bought 200 water bottles and 256 soda bottles.
From Source B, we know that Debby drank 312 water bottles and 4 soda bottles a day.

First, let's calculate the total number of soda bottles Debby has:
256 soda bottles

Next, let's calculate the total number of soda bottles Debby has consumed:
4 soda bottles per day
4 soda bottles per day for 312 days

Now, let's subtract the consumed soda bottles from the total number of soda bottles:
256 soda bottles - 4 soda bottles per day for 312 days

256 - (4 * 312) = 256 - 1248 = 256 - 1248 = 1292

So, Debby has 1292 soda bottles left.

To find out",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve the problem, we can set up an equation using the information provided in Source A. Let's denote the amount of money Olivia spent at the supermarket as x.

The total amount of money Olivia had initially was 106 dollars. After visiting the supermarket and the showroom, she had 26 dollars left. Therefore, the total amount of money she spent at both places was:

106 - 26 = 100 dollars

Since she spent 49 dollars at the showroom, we can set up the following equation:

49 = 100 - x

To find the amount of money Olivia spent at the supermarket, we need to solve for x:

x = 100 - 49
x = 51 dollars

Therefore, Olivia spent 51 dollars at the supermarket.

#### <51>",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve the problem, we need to find the total number of pencils Faye has. We know that there are 30 rows, and each row contains 24 pencils.

Total number of pencils = Number of rows * Pencils per row
Total number of pencils = 30 rows * 24 pencils/row
Total number of pencils = 720 pencils

#### <720>",text,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve the problem, we need to find the difference between the number of marbles Ed had and the number of marbles Doug had after Doug lost 11 marbles.

Let's denote the number of marbles Doug had as x.
According to the problem, Ed had 10 more marbles than Doug, so Ed had x + 10 marbles.

After Doug lost 11 marbles, he had x - 11 marbles.

The problem states that Ed had 45 marbles, so we can set up the equation:

x + 10 = 45

Subtract 10 from both sides of the equation:

x = 45 - 10
x = 35

So, Doug had 35 marbles before he lost 11 marbles.

Now, we can find the difference between the number of marbles Ed had and the number of marbles Doug had after Doug lost 11 marbles:

(x + 10) - (x - 11)

Subtract x from both sides of the equation:

10 + 1",neither,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve the problem, we need to add the number of children on the bus from Source A to the number of children who got on the bus from Source B.

From Source A:
26 children were on the bus.

From Source B:
38 more children got on the bus.

So, the total number of children on the bus now is:
26 + 38 = 64

Therefore, the answer is:
#### 64 <answer>",text,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve the problem, we need to add the number of cookies Helen baked each day:

1. 31 cookies yesterday
2. 270 cookies this morning
3. 419 cookies the day before yesterday

Adding these numbers together:
31 + 270 + 419 = 710

So, Helen baked a total of 710 cookies till last night.
#### <710>",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve the problem, we need to find the total number of oranges harvested after 87 days.

1. We know that they harvest 66 sacks per day.
2. Each sack contains 25 oranges.
3. To find the total number of oranges harvested per day, we multiply the number of sacks by the number of oranges in each sack:
   Total oranges per day = Sacks per day * Oranges per sack
   = 66 sacks * 25 oranges/sack
   = 1650 oranges

4. Now, we need to find the total number of oranges harvested after 87 days. We multiply the number of oranges per day by the number of days:
   Total oranges after 87 days = Oranges per day * Number of days
   = 1650 oranges/day * 87 days
   = 143,550 oranges

#### <143,550>",text,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve the problem, we need to find out how many shirts the machine made in total and then convert the number of shirts made today into minutes.

First, let's find the total number of shirts made by the machine:
9 shirts yesterday + 44 shirts today = 53 shirts

Next, we need to find out how many minutes it took the machine to make 53 shirts. We know that the machine can make 3 shirts a minute, so we can set up a proportion:

53 shirts / 3 shirts/minute = x minutes

Now, we can solve for x:

x minutes = 53 shirts / 3 shirts/minute
x minutes = 17.67 minutes

Since the machine cannot work for a fraction of a minute, we need to round up to the nearest whole number. Therefore, the machine worked for 18 minutes to make 53 shirts.

#### <18>",neither,neutral
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"To solve the problem, we need to find the total number of magazines Bryan has. We know that he has 9 books and 46 magazines in each of his 10 bookshelves.

First, we need to find the number of magazines in one bookshelf:

Magazines per bookshelf = 46 magazines

Next, we need to find the total number of magazines in all 10 bookshelves:

Total magazines = Magazines per bookshelf x Number of bookshelves

Total magazines = 46 magazines x 10 bookshelves

Total magazines = 460 magazines

Therefore, Bryan has a total of 460 magazines.

##### <460>",text,neutral
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"To solve the problem, we need to find the number of apps Dave added. We know that he had 17 apps initially and ended up with 18 apps.

Let's denote the number of apps Dave added as 'x'.

We can set up an equation to represent the situation:

Initial apps + Apps added = Final apps
17 + x = 18

Now, we can solve for 'x', the number of apps Dave added:

x = 18 - 17
x = 1

So, Dave added 1 app to his phone.

#### <answer>",text,neutral
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"To solve the problem, we need to add the cost of the candy bar and the cost of the chocolate.

Step 1: Add the cost of the candy bar and the cost of the chocolate.
$ 7 (candy bar) + $ 6 (chocolate) = $ 13

The total amount of money Dan spent is $ 13.

#### <$ 13>",text,neutral
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To solve the problem, we need to find the size of each group in Philip's banana collection. We are given that there are 392 bananas in total and that they are organized into 196 groups.

To find the size of each group, we can divide the total number of bananas by the number of groups:

392 bananas / 196 groups = 1.98 bananas per group

Since we cannot have a fraction of a banana, we can round down to the nearest whole number:

1.98 bananas per group ≈ 2 bananas per group

Therefore, each group in Philip's banana collection contains approximately 2 bananas.

#### <answer>",text,neutral
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"To solve the problem, we need to find the distance remaining to reach the end of the cave. The cave is 1218 feet deep, and they are already at 849 feet.

1. Subtract the current depth from the total depth to find the remaining distance:
1218 feet - 849 feet = 3629 feet

#### <answer> 3629 feet",neither,neutral
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"To solve the problem, we need to divide the total number of people that can ride the Ferris wheel by the number of seats available.

Step 1: Identify the total number of people that can ride the Ferris wheel.
Total number of people = 20

Step 2: Identify the number of seats available on the Ferris wheel.
Number of seats = 4

Step 3: Divide the total number of people by the number of seats to find the number of people each seat can hold.
People per seat = Total number of people / Number of seats
People per seat = 20 / 4
People per seat = 5

Therefore, each seat on the Ferris wheel can hold 5 people.
#### <5>",text,neutral
16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,5,136,"To solve the problem, we need to find out how many tomatoes and potatoes the farmer has left after picking 53 tomatoes.

Step 1: Subtract the number of tomatoes picked from the total number of tomatoes.
177 tomatoes - 53 tomatoes = <<177-53=124>>124 tomatoes

Step 2: The farmer had 12 potatoes in his garden. Since no information is provided about the number of potatoes picked, we can assume that the number of potatoes remains the same.

Step 3: Combine the number of tomatoes and potatoes left.
124 tomatoes + 12 potatoes = <<124+12=136>>136 tomatoes and potatoes

Therefore, the farmer has 136 tomatoes and potatoes left in his garden.

#### <136>",text,neutral
