problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"The problem you've provided appears to be a mix of text and numbers, but it's not clear what the question is asking. It seems to be a jumbled mix of words and numbers without a clear mathematical question. If you could provide a clearer or more specific question, I would be happy to help you solve it. However, based on the given text, it's not possible to provide a meaningful answer. Please provide a clearer question or problem.",invalid
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To find out how many pounds of strawberries MaCo's dad collected, we need to subtract the weight of the strawberries MaCo picked from the total weight of strawberries collected.

MaCo picked 3 pounds of strawberries.
Together, they collected 40 pounds of strawberries.

So, the weight of the strawberries MaCo's dad collected is:
40 pounds (total) - 3 pounds (MaCo's) = 37 pounds.

Therefore, MaCo's dad collected 37 pounds of strawberries.

#### <37 pounds>",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"The problem seems to be a mix of numbers and letters without a clear mathematical question. It appears to be a jumbled sequence of digits and letters that doesn't form a coherent question. If you have a specific math problem you'd like to solve, please provide it in a clear and readable format. For instance, if the problem is to find the total number of bottles, you would need to count the numbers and letters that represent bottles. If the problem is to find the total number of sodas, you would need to count the numbers and letters that represent sodas. If the problem is to find the total number of water bottles, you would need to count the numbers and letters that represent water bottles. If the problem is to find the total number of items, you would need to count all the numbers and letters. If the problem is to find the total number of items that are not water bottles, you would need to subtract the number of water bottles from the total number of items. If the problem is to find the total number of items that are not sodas, you would need to subtract the number of sodas from the total number of items. If the problem is to find the total number of items that are not bottles, you would need to subtract the number",invalid
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"The problem seems to be in a language other than English and contains some nonsensical words. However, I can help you solve a math problem if you provide a clear and understandable version of the problem. Please provide the problem in English so I can assist you better.",invalid
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,#### 106,neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,#### 5,neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,#### 38,neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,#### <answer>,invalid
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"The problem you've provided is not a clear or complete mathematical question. It appears to be a mix of words and numbers without a clear context or mathematical operation to perform. If you could provide a clearer or more specific mathematical problem, I would be happy to help you solve it step by step. For now, I can only provide a response to a mathematical problem that is presented in a clear and complete manner. If you have a specific problem in mind, please provide it so I can assist you better.",invalid
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,#### 120,neither
