problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve the problem, we need to determine how many fish disappeared from the pond. We know that aige raised 7 golbish catfish in the pond but lost 5 of them. Therefore, the number of fish that disappeared is 7 - 5 = 2. So, 2 fish disappeared from the pond.",neither,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve the problem, we need to determine how many pounds of strawberries were lost. We know that Ma1o and his dad collected 2 pounds of strawberries, and they found 33 more pounds. Therefore, the total weight of the strawberries they collected is 2 + 33 = 35 pounds. We also know that Marco now has 36 pounds of strawberries. Therefore, the weight of the strawberries that disappeared is 36 - 35 = 1 pound.",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve the problem, we need to determine how many days it would take for Debby to finish her soda bottles if she adds 312 more bottles and 4 more soda bottles each day.

1. **Initial number of soda bottles**: 200
2. **Number of soda bottles added each day**: 312
3. **Number of soda bottles added each day**: 4

Let's calculate the total number of soda bottles added each day:

\[ \text{Total soda bottles added each day} = 312 + 4 = 316 \]

Now, let's calculate the total number of soda bottles added in 316 days:

\[ \text{Total soda bottles added in 316 days} = 316 \times 316 = 100,024 \]

Since Debby starts with 200 soda bottles and adds 100,024 more, the total number of soda bottles she will have after 316 days is:

\[ \text{Total soda bottles} = 200 + 100,024 = 100,044 \]

Therefore, Deb",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve the problem, we need to determine how many days the soda bottles would last if Debby drank 312 water bottles and 4 soda bottles a day.

First, let's calculate the total number of water bottles Debby drank:
312 water bottles

Next, let's calculate the total number of soda bottles Debby drank:
4 soda bottles

Now, let's calculate the total number of bottles Debby drank:
312 water bottles + 4 soda bottles = 316 bottles

To find out how many days the soda bottles would last, we need to divide the total number of soda bottles by the number of soda bottles Debby drank per day:
4 soda bottles / 1 day = 4 days

Therefore, the soda bottles would last for 4 days.",neither,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve the problem, we need to determine how much Faye spent at the supermarket. We know that she had 106 dollars in her wallet before she visited the supermarket. After visiting the supermarket, she had 26 dollars left. Additionally, she spent 49 dollars at the showroom. 

Let's break it down step by step:

1. **Initial Amount in Wallet**: 106 dollars
2. **Amount Left After Visiting Supermarket**: 26 dollars
3. **Amount Spent at Showroom**: 49 dollars

To find out how much she spent at the supermarket, we subtract the amount left after visiting the supermarket from the initial amount in her wallet:

\[ \text{Amount Spent at Supermarket} = \text{Initial Amount} - \text{Amount Left} \]

\[ \text{Amount Spent at Supermarket} = 106 - 26 \]

\[ \text{Amount Spent at Supermarket} = 80 \]

So, Faye spent 80 dollars at the supermarket.",neither,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, we need to determine how many marbles Ed has, given that he has 10 more than Dug and Dug lost 11 of his marbles at the payground. Let's break it down step by step:

1. **Determine the number of marbles Dug has initially:**
   - Dug lost 11 marbles at the payground.
   - Therefore, Dug has \( 10 + 11 = 21 \) marbles initially.

2. **Determine the number of marbles Ed has:**
   - Ed has 10 more marbles than Dug.
   - Therefore, Ed has \( 21 + 10 = 31 \) marbles.

3. **Determine the number of marbles Zd has:**
   - Zd has 45 marbles.

4. **Determine the number of marbles Ed has more than Dug:**
   - Ed has 31 marbles.
   - Dug has 21 marbles.
   - Therefore, Ed has \( 31 - 21 = 10 \) more marbles than Dug.

So, Ed has",neither,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve the problem, we need to determine how many children are on the bus now. We know that 3 more children got on the bus, and the original number of children on the bus was 2. Therefore, the current number of children on the bus is:

2 (original number of children) + 3 (additional children) = 5 children

So, Ed had 5 more marbles than Doug.",neither,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve the problem, we need to determine how many children are on the bus now. We know that 28 children were riding on the bus at the bus stop, and 38 more children got on the bus. Therefore, the total number of children on the bus now is:

28 (initial number of children) + 38 (additional children) = 66 children

So, there are 66 children on the bus now.",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve the problem, we need to determine how many cookies Helen baked in total until last night. Let's break it down step by step:

1. **Cookies baked yesterday**: 270 cookies
2. **Cookies baked this morning**: 419 cookies
3. **Cookies baked the day before yesterday**: 31 cookies

Now, let's add up all the cookies Helen baked:

\[ 270 \text{ (yesterday)} + 419 \text{ (this morning)} + 31 \text{ (day before yesterday)} \]

\[ 270 + 419 + 31 = 710 \]

So, Helen baked a total of 710 cookies until last night.",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve the problem, we need to calculate the total number of shirts made by the machine over the 87 days of harvest.

1. Calculate the number of shirts made per day:
   - The machine makes 9 shirts per day.

2. Calculate the total number of shirts made over 87 days:
   - Multiply the number of shirts made per day by the number of days:
     \[
     9 \text{ shirts/day} \times 87 \text{ days} = 783 \text{ shirts}
     \]

Therefore, the machine will have made 783 shirts after 87 days of harvest.

#### 783 shirts",neither,neutral
