problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"7 + 12 - 15 = 4
Answer: 4.",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: First, let's find out how much strawberries Ma1co picked. We know that Ma1co and his dad collected strawberries that weighed 2 pounds together. So, Ma1co picked 2 pounds of strawberries.

Step 2: Next, we need to find out how much strawberries Ma1co's dad picked. We know that Ma1co's strawberries now weigh 36 pounds and Ma1co picked 2 pounds. So, Ma1co's dad picked 36 - 2 = 34 pounds of strawberries.

Step 3: Now, we need to find out how much strawberries Ma1co's dad picked after Ma1co found 3z more pounds of strawberries. We know that Ma1co's dad picked 34 pounds of strawberries and found 3z more pounds. So, Ma1co's dad now has 34 + 3z pounds of strawberries.

Step 4: To find the value of z, we need to set up an equation. We know that Ma1co's dad now has 36 pounds of strawberries. So, we can set up the equation 34 + 3z = 36.

Step 5: Now, we can solve for z. Subtract 34 from both sides",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"**Step 1: Calculate the total number of soda bottles Debby bought.**
Total soda bottles = 256 bottles

**Step 2: Calculate the number of soda bottles Debby drinks per day.**
Soda bottles per day = 4 bottles

**Step 3: Calculate the number of days the soda bottles would last.**
Number of days = Total soda bottles / Soda bottles per day
Number of days = 256 / 4
Number of days = 64

**Answer: 64.**",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Step 1: First, let's find out how much money Olivia had before visiting the supermarket.
Olivia had 106 dollars in her wallet.

Step 2: Next, let's find out how much money she had after visiting the supermarket.
After visiting the supermarket, there were 26 dollars left.

Step 3: Now, let's calculate how much money she spent at the supermarket.
To find out how much she spent, we subtract the remaining money from the initial amount.
Spent money = Initial amount - Remaining amount
Spent money = 106 - 26
Spent money = 80

So, Olivia spent 80 dollars at the supermarket. Therefore, the answer is 80.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"30 rows * 24 pencils per row = 720 pencils
#### 720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: Identify the initial number of marbles Doug had before losing any.
Doug initially had an unknown number of marbles, but we know he lost 11 marbles.

Step 2: Determine the number of marbles Doug had after losing 11 marbles.
Doug lost 11 marbles, so he had 45 - 11 = 34 marbles left.

Step 3: Determine the number of marbles Ed had.
Ed had 10 more marbles than Doug, so Ed had 34 + 10 = 44 marbles.

Step 4: Calculate the difference in the number of marbles between Ed and Doug.
The difference in the number of marbles between Ed and Doug is 44 - 34 = 10 marbles.

Answer: 10.",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"26 + 3 = 29
Answer: 29.",neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"Step 1: First, let's find out how many cookies Helen baked in total.
Helen baked 31 cookies yesterday, 270 cookies this morning, and 419 cookies the day before yesterday.

Step 2: Add up the number of cookies baked each day.
Total cookies baked = 31 + 270 + 419

Step 3: Calculate the total number of cookies baked.
Total cookies baked = 31 + 270 + 419 = 720

Step 4: Since the question asks for the number of cookies Helen baked till last night, we need to subtract the number of cookies baked today from the total.
Cookies baked till last night = Total cookies baked - Cookies baked today

Step 5: Calculate the number of cookies baked till last night.
Cookies baked till last night = 720 - 270 = 450

Answer: Helen baked 450 cookies till last night.#### 450",text
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Step 1: First, we need to find out how many oranges are harvested in total after 87 days. We know that there are 66 racks per day and each sack contains 25 oranges. So, the total number of oranges harvested in 87 days is 66 racks/day * 87 days = 5736 racks.

Step 2: Now, we need to find out how many oranges are in 5736 racks. Since each sack contains 25 oranges, we can multiply the number of racks by the number of oranges per sack: 5736 racks * 25 oranges/rack = 143400 oranges.

Step 3: Therefore, after 87 days of harvest, they will have 143400 oranges. 

Answer: 143400.",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"Working out the number of minutes the machine worked yesterday, we divide the number of shirts made by the rate at which the machine makes shirts: 9 shirts / 3 shirts per minute = 3 minutes. Therefore, the machine worked for 3 minutes yesterday. Therefore, the answer is 3.",text
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"46 * 10 = 460
460 + 6 = 466
Therefore, Bryan has 466 magazines in total.#### 466",neither
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"Step 1: Identify the initial number of pages Dave read on his phone.
Dave initially read 17 pages on his phone.

Step 2: Identify the final number of pages Dave had left.
Dave had 18 pages left after adding some.

Step 3: Determine the number of pages Dave added.
To find out how many pages Dave added, we subtract the initial number of pages from the final number of pages: 18 - 17 = 1.

Step 4: Formulate the answer.
Dave added 1 page to his phone.

Answer: 1.",text
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"Step 1: First, we need to add the cost of the candy bar and the chocolate to find out how much Dan spent in total.
Step 2: The cost of the candy bar is $7 and the cost of the chocolate is $6.
Step 3: Adding these two amounts together, we get $7 + $6 = $13.
Step 4: Therefore, Dan spent $13 buying the candy bar and chocolate.

Answer: 13",text
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"Step 1: First, we need to determine the total number of bananas in Philip's collection.
Total number of bananas = 392

Step 2: Next, we need to find out how many groups of bananas there are.
Number of groups = 196

Step 3: To find the size of each group, we divide the total number of bananas by the number of groups.
Size of each group = Total number of bananas / Number of groups
Size of each group = 392 / 196
Size of each group = 2

Answer: 2.",text
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"Step 1: First, we need to find out how much farther the cave is from the current position of the travelers. We can do this by subtracting the current depth from the total depth of the cave.
Step 2: The current depth is 84 feet, and the total depth is 1218 feet. So, the remaining distance is 1218 - 84 = 1134 feet.
Step 3: The travelers are traveling at a speed of 17 feet per hour. To find out how many hours it will take them to cover the remaining distance, we divide the remaining distance by the speed.
Step 4: 1134 feet / 17 feet per hour = 66.7 hours.
Step 5: Therefore, it will take the travelers 66.7 hours to reach the end of the cave. Since we cannot have a fraction of an hour, we can round up to the nearest whole number, which is 67 hours.

#### 67",neither
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"Rationale: If 4 feet of the Ferris wheel can hold 20 people, then each foot of the Ferris wheel can hold 20/4 = 5 people.
Computations: (20 / 4)
Answer: 5.0.",text
16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,5,136,"Step 1: First, let's identify the initial quantities of tomatoes and potatoes the farmer had.
The farmer initially had 177 tomatoes and 12 potatoes.

Step 2: Next, we need to determine how many tomatoes and potatoes the farmer picked.
The farmer picked 53 potatoes.

Step 3: Now, we need to calculate how many tomatoes the farmer has left.
The farmer initially had 177 tomatoes and picked 53 potatoes, so the number of tomatoes left is 177 - 53 = 124 tomatoes.

Step 4: Finally, we need to calculate how many potatoes the farmer has left.
The farmer initially had 12 potatoes and picked 53 potatoes, so the number of potatoes left is 12 - 53 = -41 potatoes. Since we cannot have a negative number of potatoes, this means the farmer does not have any potatoes left.

Step 5: Now, we need to determine how many tomatoes and potatoes the farmer has left.
The farmer has 124 tomatoes and 0 potatoes left.

Step 6: Finally, we need to calculate how many tomatoes and potatoes the farmer has left in total.
The total number of tomatoes and potatoes the farmer has left is 124 + 0 = 124.

Answer: 124.",neither
17,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,136,91,"First, we need to determine the total number of bottle caps Danny has now. We know he has 25 bottle caps in his collection. Then, we need to add the number of bottle caps he lost at the park, which is 66. So, the total number of bottle caps Danny had at first is 25 + 66 = 91. Therefore, Danny had 91 bottle caps at first. #### 91",text
18,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",91,13,"To find the total number of emails Jack received in the afternoon and evening, we need to add the number of emails he received in the afternoon and the number of emails he received in the evening.

In the afternoon, Jack received 5 emails.
In the evening, Jack received 8 emails.

Total emails in the afternoon and evening = 5 (afternoon) + 8 (evening) = 13 emails.

Therefore, Jack received 13 emails in the afternoon and evening. #### 13",text
19,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,13,7,"Step 1: First, let's identify the initial number of sweet cookies Paco had, which is 22.
Step 2: Paco ate 15 sweet cookies, so we need to subtract that from the initial number of sweet cookies.
Step 3: Subtract 15 from 22 to find out how many sweet cookies Paco has left.
Step 4: Paco has 22 - 15 = 7 sweet cookies left.

#### 7
Answer: 7.",text
20,Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,7,33,"Step 1: First, we need to determine the total amount of money earned in 5 days.
Step 2: The total amount of money earned in 5 days is given as $165.
Step 3: To find out how much money they made per day, we need to divide the total amount by the number of days.
Step 4: So, we divide $165 by 5 to find the daily earnings.
Step 5: $165 / 5 = $33

#### 33
The ring toss game at the carnival made $33 per day.",text
21,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,33,3,"Step 1: First, let's find out how many files Dae deleted. We know that he had 24 files initially and 21 files left after deleting some. So, the number of files deleted is 24 - 21 = 3.

Answer: 3.",text
22,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,In a school there are 569 girls and 236 boys. How many more girls than boys does the school have?,3,333,"5l9 - 236 = 283
Answer: 283.",neither
23,In a school there are 569 girls and 236 boys. How many more girls than boys does the school have?,Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,333,22,"Step 1: Determine the number of eggs Rebecca has by multiplying the number of groups by the number of eggs in each group.
Step 2: 11 eggs * 2 groups = 22 eggs
Answer: 22.",text
24,Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,Mary is baking a cake. The recipe calls for 7 cups of sugar and 10 cups of flour. She already put in 4 cups of sugar. How many more cups of sugar does she need to add?,22,3,"To solve this problem, we need to determine how many more cups of sugar Mary needs to add to the cake recipe. We know that the recipe calls for 7 cups of sugar and she has already added 0 cups of sugar. 

First, we need to find out how many cups of sugar Mary still needs to add. We can do this by subtracting the amount of sugar she has already added from the total amount of sugar required in the recipe.

7 cups (required) - 0 cups (already added) = 7 cups

Mary still needs to add 7 cups of sugar to the cake recipe.",neither
25,Mary is baking a cake. The recipe calls for 7 cups of sugar and 10 cups of flour. She already put in 4 cups of sugar. How many more cups of sugar does she need to add?,Dave had 21 apps on his phone. He added 89 new apps. After deleting some he had 24 left. How many more apps did he add than he deleted?,3,3,"Step 1: First, let's find out how many apps Dave had before deleting some. He had 21 apps and then added 89, so he had 21 + 89 = 110 apps.

Step 2: After deleting some apps, Dave had 24 apps left. To find out how many apps he deleted, we subtract the number of apps he had left from the total number of apps he had before deleting. So, 110 - 24 = 86 apps were deleted.

Step 3: Now, we need to find out how many more apps Dave had than he deleted. To do this, we subtract the number of apps he deleted from the total number of apps he had before deleting. So, 110 - 86 = 24 apps.

Answer: Dave had 24 more apps than he deleted.",ambiguous
26,Dave had 21 apps on his phone. He added 89 new apps. After deleting some he had 24 left. How many more apps did he add than he deleted?,During summer break 202958 kids from Lawrence county go to camp and the other 777622 kids stay home. How many more kids stayed home compared to those who went to the camp?,3,574664,"774622 - 22958 = 751564
Therefore, 751564 more kids stayed home compared to those who went to camp.#### 751564",neither
27,During summer break 202958 kids from Lawrence county go to camp and the other 777622 kids stay home. How many more kids stayed home compared to those who went to the camp?,The grasshopper and the frog had a jumping contest. The grasshopper jumped 13 inches. The grasshopper jumped 2 inches farther than the grasshopper. How far did the frog jump?,574664,11,"The frog jumped 13 + 2 = 15 inches.
#### 15",neither
28,The grasshopper and the frog had a jumping contest. The grasshopper jumped 13 inches. The grasshopper jumped 2 inches farther than the grasshopper. How far did the frog jump?,Allan brought 3 balloons and 20 balls while Jake brought 5 balloons and 59 balls to the park. How many balloons did Allan and Jake have in the park?,11,8,"3 + 5 = 8
8 + 20 = 28
28 + 59 = 87
Allan and Jake have 87 balloons in total.#### 87",neither
29,Allan brought 3 balloons and 20 balls while Jake brought 5 balloons and 59 balls to the park. How many balloons did Allan and Jake have in the park?,He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day. How many days will it take to harvest 24 sacks of oranges?,8,3,"24 / 8 = 3
Answer: 3.",text
30,He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day. How many days will it take to harvest 24 sacks of oranges?,Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all?,3,12,"Step 1: First, let's find out how many hours Ryan spends on learning English in one day. He spends 6 hours on learning English and 5 hours on learning Chinese, so the total hours spent on learning in one day is 6 + 5 = 11 hours.

Step 2: Now, we need to find out how many hours Ryan spends on learning English in 2 days. Since he spends 11 hours on learning in one day, in 2 days he will spend 11 * 2 = 22 hours on learning English.

Step 3: Therefore, Ryan spends 22 hours on learning English in all. 

#### 22",neither
31,Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all?,Baker made 144 cakes. He sold 71 of them. Then he made 111 more cakes. How many more cakes did baker make than those he sold?,12,184,"Step 1: First, let's find out how many cakes Takur sold. He sold 71 cakes out of 14, so we subtract the number of cakes sold from the total number of cakes he made.
14 - 71 = -57

Step 2: Since the result is negative, it means Takur sold more cakes than he made. We need to find out how many more cakes he sold than he made. We can do this by taking the absolute value of the result.
|-57| = 57

Step 3: Now, let's find out how many cakes Takur made after selling 71 cakes. We add the number of cakes he sold to the number of cakes he made.
14 + 71 = 85

Step 4: Finally, we need to find out how many more cakes Takur made than he sold. We subtract the number of cakes he sold from the number of cakes he made.
85 - 71 = 14

Answer: 14.",neither
32,Baker made 144 cakes. He sold 71 of them. Then he made 111 more cakes. How many more cakes did baker make than those he sold?,There were 12 people on the bus. At the next stop 4 more people got on the bus. Each bus can not have more than 36 people. How many people are there on the bus now?,184,16,"Step 1: Start with the initial number of people on the bus, which is 12.
Step 2: Add the 4 more people who got on the bus at the next stop to the initial number.
Step 3: Check if the total number of people on the bus is less than or equal to 36.
Step 4: If the total number of people is less than or equal to 36, then the final number of people on the bus is the sum of the initial number and the additional people.
Step 5: If the total number of people exceeds 36, then the final number of people on the bus is 36.

Answer: 16.",text
