problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to subtract the number of fish that are left from the total number of fish that were originally in the pond.

Original number of fish = 7 golbish aCd + 12 catfish = 19 fish

Number of fish that disappeared = Original number of fish - Number of fish left = 19 fish - 5 fish = 14 fish

So, 14 fish disappeared. The answer is: 14",neither
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to determine the total weight of the strawberries that Ma1o and his dad collected and then subtract the weight of the strawberries that they found 33 more pounds of.

1. **Total weight of strawberries collected:**
   - Ma1o and his dad collected 2 pounds of strawberries.

2. **Weight of strawberries found:**
   - They found 33 more pounds of strawberries.

3. **Total weight of strawberries:**
   - Total weight = Weight collected + Weight found
   - Total weight = 2 pounds + 33 pounds = 35 pounds

4. **Weight of strawberries that Ma1o and his dad have now:**
   - They have 36 pounds of strawberries.

5. **Weight of strawberries that they found:**
   - Weight found = Total weight - Total weight collected
   - Weight found = 36 pounds - 2 pounds = 34 pounds

6. **Weight of strawberries that Ma1o and his dad have now:**
   - Weight of strawberries = Total weight - Weight found
   - Weight of strawberries = 36 pounds - 34 pounds = 2 pounds

Therefore, the weight of the strawberries that Ma1o",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve the problem, we need to determine how many days it would take for Debby to finish all the soda bottles she has left.

1. **Initial number of soda bottles:**
   - Debby starts with 200 soda bottles.

2. **Number of soda bottles left after 312 days:**
   - Debby has 200 - 312 = -112 soda bottles left.

Since the number of soda bottles cannot be negative, it means Debby has already finished all the soda bottles she started with. Therefore, the number of days it would take for Debby to finish all the soda bottles she has left is 0 days.

**Answer:** 0 days",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to determine how much money TjJre had left after visiting the suefmark and showing at the showrom. We can use the information given to set up an equation and solve for the unknown amount of money he spent at the showrom.

Let's denote the amount of money TjJre had before visiting the suefmark as \( x \).

According to the problem, TjJre spent 26 dollars at the suefmark and 49 dollars at the showrom. Therefore, the total amount of money he spent is \( 26 + 49 = 75 \) dollars.

We also know that TjJre had 49 dollars left after visiting the suefmark. Therefore, the amount of money he had before visiting the suefmark is \( 49 + 75 = 124 \) dollars.

So, TjJre had 124 dollars before visiting the suefmark.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to subtract the total amount of money Faye had in her wallet before she went to the supermarket and the amount of money she spent at the showroom from the total amount of money she had in her wallet after she went to the supermarket.

1. Faye had 106 dollars in her wallet.
2. She spent 49 dollars at the showroom.
3. She spent 26 dollars at the supermarket.

First, let's calculate the total amount of money she spent at the showroom and the supermarket:

- Total spent at the showroom: 49 dollars
- Total spent at the supermarket: 26 dollars

Now, let's subtract the total spent at the showroom and the supermarket from the total amount of money she had in her wallet:

- Total spent at the showroom and the supermarket: 49 + 26 = 75 dollars
- Total amount of money she had in her wallet after shopping: 106 dollars
- Amount of money she spent at the showroom and the supermarket: 75 dollars

Now, let's subtract the total spent at the showroom and the supermarket from the total amount of money she had in her wallet:

- Amount of money she spent at the showroom",neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, let's break it down step by step:

1. **Dug has 10 more marbles than Ed.**
   - Let's denote Ed's marbles as \( E \).
   - Therefore, \( E = D + 10 \).

2. **Dug lost 11 marbles at the payground.**
   - Let's denote the number of marbles Dug has after losing 11 as \( D - 11 \).

3. **Z had 45 marbles.**
   - Let's denote Z's marbles as \( Z \).
   - Therefore, \( Z = 45 \).

4. **We need to find out how many more marbles Dug has than Ed.**
   - We know \( E = D + 10 \) and \( Z = 45 \).
   - To find how many more marbles Dug has than Ed, we subtract Ed's marbles from Dug's marbles: \( D - E \).

5. **Substitute the values we know:**
   - \( D - E = D - (D + 10) \)
   - \( D - E = -10",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to follow these steps:

1. Determine the initial number of children on the bus.
2. Add the number of children who got on the bus.
3. Subtract the number of children who got off the bus.

Let's break it down:

1. **Initial number of children on the bus:**
   - We know that the bus had 2 children initially.

2. **Number of children who got on the bus:**
   - 3 more children got on the bus.

3. **Number of children on the bus now:**
   - We add the number of children who got on the bus to the initial number of children on the bus.
   - \( 2 + 3 = 5 \)

So, the number of children on the bus now is 5.",neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve the problem, we need to determine how many cookies Helen baked in total. We know that she baked 27 cookies in the morning and 619 cookies the day before yesterday. 

First, let's add the two amounts together to find the total number of cookies Helen baked:

27 cookies + 619 cookies = 646 cookies

So, Helen baked a total of 646 cookies.",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve the problem, we need to determine how many socks Helen will have after 87 days. Let's break it down step by step:

1. **Initial socks**: Helen has 66 socks.
2. **Socks added each day**: Helen adds 2 socks each day.
3. **Days to add socks**: 87 days.

To find out how many socks Helen will have after 87 days, we can use the formula:

\[ \text{Total socks} = \text{Initial socks} + (\text{Socks added per day} \times \text{Number of days}) \]

Plugging in the values:

\[ \text{Total socks} = 66 + (2 \times 87) \]

\[ \text{Total socks} = 66 + 174 \]

\[ \text{Total socks} = 240 \]

So, Helen will have 240 socks after 87 days. The answer is:

**240 socks**",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve the problem, we need to determine the total number of shirts produced by the industrial machine over the given period.

1. Yesterday, the machine made 9 shirts.
2. Today, the machine made 4 shirts.

To find the total number of shirts produced over the two days, we add the number of shirts made yesterday and today:

\[ 9 \text{ shirts (yesterday)} + 4 \text{ shirts (today)} = 13 \text{ shirts} \]

Therefore, the machine made a total of 13 shirts over the two days.

To find out how many minutes the machine worked, we need to know the rate at which it made shirts. However, the problem does not provide this information. Since the problem asks for the total number of shirts produced over the two days, we can conclude that the machine made 13 shirts in total.",neither
