problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve the problem, we need to determine how many more bird families flew away to Africa compared to those that flew away to Asia.

Step 1: Identify the number of bird families that flew away to Asia.
- According to the problem, 35 bird families flew away to Asia.

Step 2: Identify the number of bird families that flew away to Africa.
- According to the problem, 62 bird families flew away to Africa.

Step 3: Calculate the difference between the number of bird families that flew away to Africa and those that flew away to Asia.
- Difference = Number of bird families that flew away to Africa - Number of bird families that flew away to Asia
- Difference = 62 - 35

Step 4: Perform the subtraction.
- 62 - 35 = 27

So, 27 more bird families flew away to Africa than those that flew away to Asia.

#### 27",image,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Let's solve the problem step by step:

1. Paige initially had 7 goldfish and 12 catfish, which totals:
   \[
   7 + 12 = 19 \text{ fish}
   \]

2. After some cats ate some of the fish, she has 15 fish left.

3. To find out how many fish disappeared, we subtract the number of fish left from the initial total:
   \[
   19 - 15 = 4 \text{ fish}
   \]

So, the number of fish that disappeared is 4.

#### <answer> 4",image,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Let's solve the problem step by step based on the information provided in Source A.

1. Marco and his dad collected strawberries that weighed 22 pounds.
2. Marco's dad found 30 more pounds of strawberries.
3. We need to find out how much Marco's dad's strawberries weigh now.

First, we add the weight of the strawberries Marco's dad found to the initial weight of the strawberries he already had:

\[ 22 \text{ pounds} + 30 \text{ pounds} = 52 \text{ pounds} \]

So, Marco's dad's strawberries now weigh 52 pounds.

#### 52",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Let's solve the problem step by step:

1. **Determine the total number of soda bottles Debby bought:**
   - Debby bought 256 soda bottles.

2. **Calculate the total number of soda bottles she drank per day:**
   - She drank 4 soda bottles a day.

3. **Determine how many days the soda bottles would last:**
   - To find out how many days the soda bottles would last, we divide the total number of soda bottles by the number of soda bottles she drinks per day.
   \[
   \text{Number of days} = \frac{\text{Total number of soda bottles}}{\text{Number of soda bottles per day}} = \frac{256}{4}
   \]

4. **Perform the division:**
   \[
   \frac{256}{4} = 64
   \]

So, the soda bottles would last for 64 days.

#### <answer> 64",image,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve the problem, let's break it down step by step:

1. **Initial Amount in Olivia's Wallet**: Olivia started with $106.
2. **Amount Left After Visiting Both Places**: After visiting both the supermarket and the showroom, she had $26 left.
3. **Amount Spent at the Showroom**: She spent $49 at the showroom.

First, we need to find out how much money Olivia spent at the supermarket. We can do this by subtracting the amount she spent at the showroom from the initial amount minus the amount left after both visits.

\[ \text{Amount spent at the supermarket} = \text{Initial amount} - \text{Amount left} - \text{Amount spent at the showroom} \]

Substitute the known values:

\[ \text{Amount spent at the supermarket} = 106 - 26 - 49 \]

Now, perform the subtraction:

\[ 106 - 26 = 80 \]
\[ 80 - 49 = 31 \]

So, Olivia spent $31 at the supermarket.

#### 31",image,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"The problem in the image (Source B) states that Faye was placing her pencils and crayons into 30 rows, with each row containing 71 crayons and 24 pencils. To find out how many pencils she has, we need to calculate the total number of pencils in all the rows.

Step 1: Identify the number of rows.
- There are 30 rows.

Step 2: Identify the number of pencils per row.
- Each row contains 24 pencils.

Step 3: Calculate the total number of pencils.
- Total pencils = Number of rows × Pencils per row
- Total pencils = 30 × 24

Now, perform the multiplication:
- 30 × 24 = 720

So, Faye has 720 pencils.

#### 720",image,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Let's solve the problem step by step based on the information provided in Source A.

1. **Identify the initial conditions:**
   - Ed had 10 more marbles than Doug.
   - Doug lost 11 of his marbles at the playground.
   - Ed had 45 marbles.

2. **Determine how many marbles Doug originally had:**
   - Since Ed had 45 marbles and Ed had 10 more marbles than Doug, we can find out how many marbles Doug originally had by subtracting 10 from 45.
   \[
   45 - 10 = 35
   \]
   So, Doug originally had 35 marbles.

3. **Calculate how many marbles Doug has after losing some:**
   - Doug lost 11 marbles, so we subtract 11 from the number of marbles Doug originally had.
   \[
   35 - 11 = 24
   \]
   So, Doug now has 24 marbles.

4. **Determine how many more marbles Ed has than Doug:**
   - Ed has 45 marbles and Doug has 2",neither,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve the problem, we need to follow these steps:

1. Identify the initial number of children on the bus.
2. Add the number of children who got on at the bus stop.
3. Calculate the total number of children on the bus now.

Step 1: The initial number of children on the bus is 26.

Step 2: At the bus stop, 38 more children got on the bus.

Step 3: To find the total number of children on the bus now, we add the initial number of children to the number of children who got on at the bus stop:
\[ 26 + 38 = 64 \]

So, the total number of children on the bus now is 64.

#### 64",image,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve the problem, we need to add up the number of cookies Helen baked on different days:

1. Cookies baked yesterday: 31
2. Cookies baked this morning: 270
3. Cookies baked the day before yesterday: 419

Now, let's add these numbers together:

\[ 31 + 270 + 419 \]

First, add 31 and 270:

\[ 31 + 270 = 301 \]

Next, add the result to 419:

\[ 301 + 419 = 720 \]

So, the total number of cookies Helen baked till last night is:

#### 720",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"Let's solve the problem step by step based on the information provided in Source B:

1. **Daily Harvest Rate**: They harvest 66 sacks per day.
2. **Oranges per Sack**: Each sack contains 25 oranges.
3. **Number of Days**: They will be harvesting for 87 days.

First, calculate the total number of sacks harvested after 87 days:
\[ \text{Total sacks} = 66 \text{ sacks/day} \times 87 \text{ days} \]

Next, calculate the total number of oranges from these sacks:
\[ \text{Total oranges} = \text{Total sacks} \times 25 \text{ oranges/sack} \]

Now, let's perform the calculations:

1. Calculate the total number of sacks:
\[ 66 \times 87 = 5742 \text{ sacks} \]

2. Calculate the total number of oranges:
\[ 5742 \times 25 = 143550 \text{ oranges} \]

So, the total number of oranges they will have after 87 days of harvest is:
#### 143550",image,neutral
