problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"7 + 12 - 15 = 4
#### 4",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: First, let's find out how much strawberries Marco's dad had before he found more on the way back. We know that together they had 22 pounds of strawberries and Marco had 36 pounds after his dad found more. So, we can find out how much his dad had by subtracting Marco's weight from the total weight.

Step 2: Subtract Marco's weight from the total weight to find his dad's weight before finding more strawberries.
Dad's weight before = Total weight - Marco's weight
Dad's weight before = 22 pounds - 36 pounds
Dad's weight before = -14 pounds

Step 3: Since we can't have a negative weight, we made a mistake in our calculation. Let's correct that by adding Marco's weight to the total weight to find the correct total weight before his dad found more strawberries.

Step 4: Add Marco's weight to the total weight to find the correct total weight before his dad found more strawberries.
Correct total weight before = Total weight + Marco's weight
Correct total weight before = 22 pounds + 36 pounds
Correct total weight before = 58 pounds

Step 5: Now that we have the correct total weight before his dad found more strawberries,",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Computations: (256 / 4)
Answer: 64.0.",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Step 1: First, let's find out how much money Olivia had after visiting the showroom. We know that she had 106 dollars initially and spent 49 dollars at the showroom. So, the amount left after the showroom visit is 106 - 49 = 57 dollars.

Step 2: Now, we need to find out how much she spent at the supermarket. We know that after the supermarket visit, she had 26 dollars left. So, the amount spent at the supermarket is the difference between the amount left after the showroom visit and the amount left after the supermarket visit. Therefore, the amount spent at the supermarket is 57 - 26 = 31 dollars.

#### 31",text
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"24 * 30 = 720
#### 720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: First, let's determine how many marbles Doug had before he lost any. If Ed had 45 marbles and Ed had 10 more marbles than Doug, then Doug had 45 - 10 = 35 marbles.
Step 2: Next, we need to find out how many marbles Doug had after losing 11 marbles. Doug had 35 marbles and lost 11, so he had 35 - 11 = 24 marbles left.
Step 3: Finally, we need to find out how many more marbles Ed had than Doug after Doug lost his marbles. Ed had 45 marbles and Doug had 24 marbles, so Ed had 45 - 24 = 21 more marbles than Doug.

#### 21",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"26 + 38 = 64
Answer: 64.",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"Problem: Helen baked 31 cookies yesterday, 270 cookies this morning, and 419 cookies the day before yesterday. To find out how many cookies Helen baked till last night, we need to add the number of cookies she baked each day.

Step 1: Add the number of cookies baked yesterday, this morning, and the day before yesterday.
31 (yesterday) + 270 (this morning) + 419 (day before yesterday) = 720

Answer: Helen baked 720 cookies till last night.#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Step 1: First, let's calculate the total number of oranges harvested per day. We know that they harvest 66 sacks per day and each sack contains 25 oranges.
Step 2: So, the total number of oranges harvested per day is 66 sacks * 25 oranges/sack = 1650 oranges.
Step 3: Now, we need to find out how many oranges they will have after 87 days of harvest. We can do this by multiplying the daily harvest by the number of days.
Step 4: So, the total number of oranges after 87 days is 1650 oranges/day * 87 days = 143350 oranges.
Step 5: Therefore, they will have 143350 oranges after 87 days of harvest.

#### 143350",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To find out how many minutes the machine worked yesterday, we need to divide the number of shirts made yesterday by the number of shirts the machine can make per minute.

yesterday_shirts = 9
minutes_per_shirt = 3

yesterday_minutes = yesterday_shirts / minutes_per_shirt
Answer: 3.0.",text
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"Step 1: First, we need to find out how many magazines are in each bookshelf. We know that there are 46 magazines in each of the 10 bookshelves.
Step 2: To find the total number of magazines, we multiply the number of magazines in each bookshelf by the number of bookshelves. total_magazines = 46 * 10 = 460

#### 460",text
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"Step 1: Identify the initial number of apps Dave had on his phone.
Dave initially had 17 apps on his phone.

Step 2: Identify the final number of apps Dave had after adding some.
After adding some apps, Dave had 18 apps left.

Step 3: Determine the number of apps Dave added.
To find out how many apps Dave added, we need to subtract the initial number of apps from the final number of apps.
Number of apps added = Final number of apps - Initial number of apps
Number of apps added = 18 - 17
Number of apps added = 1

#### 1
Answer: 1.",text
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"Step 1: First, we need to find out how much money Dan spent on the candy bar and the chocolate.
Step 2: The cost of the candy bar is $7 and the cost of the chocolate is $6.
Step 3: To find the total amount spent, we add the cost of the candy bar and the cost of the chocolate.
Step 4: So, the total amount spent is $7 + $6 = $13.

#### 13",text
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To find out how big each group is, we need to divide the total number of bananas by the number of groups. 

So, we divide 392 bananas by 196 groups:

392 ÷ 196 = 2

Each group has 2 bananas. 

#### 2",text
