problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Step 1: First, we need to find out how many fish Paige had before the stray cats ate any. We know she had 7 goldfish and 12 catfish, so we add those two numbers together.
7 + 12 = 19

Step 2: Now we know Paige had 19 fish before any disappeared. We also know that she has 15 fish left after the stray cats ate some. To find out how many fish disappeared, we subtract the number of fish she has left from the number she had before.
19 - 15 = 4

So, 4 fish disappeared. 
#### 4",text,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: Determine the initial weight of Marco's strawberries.
Marco's strawberries initially weighed 22 pounds.

Step 2: Determine the total weight of Marco's strawberries after his dad found more.
Marco's strawberries now weighed 36 pounds.

Step 3: Calculate the weight of the strawberries Marco's dad found.
The weight of the strawberries Marco's dad found is 36 pounds (final weight) - 22 pounds (initial weight) = 14 pounds.

Step 4: Determine the weight of Marco's dad's strawberries.
Since Marco's dad found 30 pounds of strawberries, the weight of his dad's strawberries is 14 pounds (weight of the strawberries Marco's dad found).

#### 14",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"1. First, find out how many water bottles Debby has left: 200 - 312 = -112. Debby doesn't have enough water bottles, so she must have bought more.
2. Next, find out how many soda bottles Debby has left: 256 - 4 = 252.
3. Now, divide the number of soda bottles by the number Debby drinks per day: 252 / 4 = 63.
4. So, the soda bottles would last for 63 days. #### 63",neither,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Step 1: Determine the total amount of money Olivia had before her visits.
Olivia had 106 dollars in her wallet.

Step 2: Determine the amount of money Olivia had after her visits.
After visiting the supermarket and the showroom, Olivia had 26 dollars left.

Step 3: Calculate the total amount of money Olivia spent during her visits.
Total spent = Initial amount - Remaining amount
Total spent = 106 - 26
Total spent = 80 dollars

Step 4: Determine the amount of money Olivia spent at the showroom.
Olivia spent 49 dollars at the showroom.

Step 5: Calculate the amount of money Olivia spent at the supermarket.
Amount spent at supermarket = Total spent - Amount spent at showroom
Amount spent at supermarket = 80 - 49
Amount spent at supermarket = 31 dollars

#### 31",text,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to multiply the number of rows by the number of pencils in each row.

Number of rows: 30
Number of pencils in each row: 24

Multiply the number of rows by the number of pencils in each row:
30 * 24 = 720

Faye has 720 pencils. 

#### 720",text,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: Identify the initial number of marbles Ed had.
Ed had 45 marbles.

Step 2: Determine the initial number of marbles Doug had.
Ed had 10 more marbles than Doug, so Doug had 45 - 10 = 35 marbles.

Step 3: Calculate the number of marbles Doug lost.
Doug lost 11 marbles at the playground.

Step 4: Calculate the final number of marbles Doug had after losing 11 marbles.
Doug had 35 - 11 = 24 marbles left.

Step 5: Calculate the difference in the number of marbles between Ed and Doug.
Ed had 45 marbles and Doug had 24 marbles, so Ed had 45 - 24 = 21 more marbles than Doug.

#### 21",text,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Step 1: Start with the initial number of children on the bus, which is 26.
Step 2: Add the number of children who got on the bus at the bus stop, which is 38.
Step 3: Calculate the total number of children on the bus by adding the initial number and the number who got on: 26 + 38 = 64.
Step 4: The final answer is 64.

#### 64",text,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"Step 1: Identify the number of cookies Helen baked yesterday, this morning, and the day before yesterday.
Yesterday: 31 cookies
This morning: 270 cookies
Day before yesterday: 419 cookies

Step 2: Add the number of cookies baked each day to find the total number of cookies Helen baked till last night.
Total cookies = 31 + 270 + 419
Total cookies = 720

Step 3: Write the final answer.
#### 720",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Step 1: First, we need to find out how many oranges are harvested in total in 87 days. We know that they harvest 66 sacks per day and each sack contains 25 oranges. So, the total number of oranges harvested in a day is 66 * 25 = 1650 oranges.

Step 2: Now, we need to find out how many oranges they will have after 87 days of harvest. We can do this by multiplying the number of oranges harvested in a day by the number of days. So, the total number of oranges after 87 days is 1650 * 87 = 143550 oranges.

#### 143550",text,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"1. First, we need to find out how many shirts the machine made in total.
2. The machine made 9 shirts yesterday and 44 shirts today, so it made 9 + 44 = 53 shirts in total.
3. The machine can make 3 shirts a minute, so to find out how many minutes it worked, we need to divide the total number of shirts by the number of shirts it can make per minute.
4. Therefore, the machine worked 53 / 3 = 17.67 minutes yesterday. Since the machine cannot work a fraction of a minute, we round up to the nearest whole number.
5. So, the machine worked 18 minutes yesterday. 

#### 18",neither,neutral
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"Step 1: Identify the number of magazines Bryan has in each bookshelf.
Bryan has 46 magazines in each of his 10 bookshelves.

Step 2: Calculate the total number of magazines Bryan has.
To find the total number of magazines, multiply the number of magazines in each bookshelf by the number of bookshelves.
Total magazines = 46 magazines/bookshelf * 10 bookshelves = 460 magazines

Answer: Bryan has a total of 460 magazines.",text,neutral
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"Dave had 17 apps on his phone. After adding some, he had 18 left. To find out how many apps he added, we need to subtract the original number of apps from the new number of apps.

18 (new number of apps) - 17 (original number of apps) = 1

Dave added 1 app to his phone. #### 1",text,neutral
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"Step 1: Identify the cost of the candy bar and the chocolate.
Dan bought a candy bar for $7 and a chocolate for $6.

Step 2: Add the cost of the candy bar and the chocolate to find the total amount spent.
Total spent = Cost of candy bar + Cost of chocolate
Total spent = $7 + $6
Total spent = $13

#### $13",text,neutral
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"Step 1: We are given that there are 392 bananas in Philip's collection and they are organized into 196 groups.
Step 2: To find the size of each group, we need to divide the total number of bananas by the number of groups.
Step 3: So, we will divide 392 by 196.
Step 4: 392 / 196 = 2
#### 2",text,neutral
