problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"7 + 12 - 15 = 4
#### 4",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Step 1: First, let's find out how much strawberries Marco's dad had before he found more on the way back. We know that Marco's strawberries weighed 36 pounds and the total weight of both Marco and his dad's strawberries was 22 pounds. So, the weight of Marco's dad's strawberries is 22 pounds - 36 pounds = -14 pounds. However, since the weight cannot be negative, we made a mistake in our calculation. Let's correct that.

Step 2: The total weight of both Marco and his dad's strawberries is 36 pounds. If we subtract Marco's 22 pounds from this total, we get the weight of his dad's strawberries. So, the weight of Marco's dad's strawberries is 36 pounds - 22 pounds = 14 pounds.

#### 14",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"#### 64
Answer: 64.",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Step 1: First, let's find out how much money Olivia had after visiting the showroom. We know she spent 49 dollars at the showroom, so we subtract that from the initial amount in her wallet.
Initial amount - Amount spent at showroom = Amount left after showroom
106 - 49 = 57

Step 2: Now, we know that after visiting the supermarket, Olivia had 26 dollars left. So, we need to find out how much she spent at the supermarket by subtracting the amount left from the amount after the showroom visit.
Amount left after showroom - Amount left after supermarket = Amount spent at supermarket
57 - 26 = 31

Step 3: Therefore, Olivia spent 31 dollars at the supermarket.
#### 31",text
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"24 * 30 = 720
Therefore, Faye has 720 pencils.#### 720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: First, let's determine how many marbles Doug had before he lost any. Since Ed had 10 more marbles than Doug, we can represent Doug's marbles as x. Therefore, Ed's marbles can be represented as x + 10.

Step 2: We know that Ed had 45 marbles. So, we can set up the equation x + 10 = 45 to find the value of x.

Step 3: Solve the equation x + 10 = 45 for x. Subtract 10 from both sides of the equation to isolate x: x = 45 - 10.

Step 4: Calculate the value of x: x = 35.

Step 5: Now that we know Doug had 35 marbles before losing any, we can find out how many marbles he had after losing 11 marbles. Subtract 11 from 35: 35 - 11 = 24.

Step 6: Finally, we can determine how many more marbles Ed had than Doug after Doug lost his marbles. Subtract Doug's remaining marbles from Ed's marbles: 45 - 24 = 21.

#### 21",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Step 1: Start with the initial number of children on the bus, which is 26.
Step 2: Add the number of children who got on the bus at the bus stop, which is 38.
Step 3: Calculate the total number of children on the bus by adding the initial number and the number who got on: 26 + 38 = 64.
Answer: 64.#### 64",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"Step 1: First, let's find out how many cookies Helen baked in total from the day before yesterday, yesterday, and this morning.
Step 2: Helen baked 419 cookies the day before yesterday, 31 cookies yesterday, and 270 cookies this morning.
Step 3: To find the total number of cookies baked, we add the number of cookies from each day: 419 + 31 + 270 = 720.
Step 4: Therefore, Helen baked a total of 720 cookies till last night.

#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"Step 1: First, let's calculate the total number of oranges harvested per day. We know that they harvest 66 sacks per day and each sack contains 25 oranges.
Step 2: So, the total number of oranges harvested per day is 66 sacks * 25 oranges/sack = 1650 oranges.
Step 3: Now, we need to find out how many oranges they will have after 87 days of harvest. We can do this by multiplying the daily harvest by the number of days.
Step 4: So, the total number of oranges after 87 days is 1650 oranges/day * 87 days = 143350 oranges.
Answer: 143350.####",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To find out how many minutes the machine worked yesterday, we need to divide the number of shirts made yesterday by the number of shirts the machine can make per minute.
So, 9 shirts / 3 shirts per minute = 3 minutes.
Therefore, the machine worked for 3 minutes yesterday.
#### 3",text
