problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to determine how many fish disappeared from the pond. Let's break down the information given:

Initial number of fish: 7
Initial number of catfish: 12
Total number of fish left: 15

We can set up the equation as follows:

Initial number of fish + Initial number of catfish - Total number of fish left = Number of fish that disappeared

7 + 12 - 15 = Number of fish that disappeared

Let's solve for the number of fish that disappeared:

7 + 12 = 19
19 - 15 = 4

Therefore, the number of fish that disappeared is 4.

#### 4",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to determine the weight of Marco's dad's strawberries after Marco found 3 more pounds of strawberries.

1. First, let's find the weight of Marco's strawberries after he found 3 more pounds:
   Marco's strawberries = 36 pounds
   Marco found 3 more pounds, so the total weight of Marco's strawberries is:
   36 pounds + 3 pounds = 39 pounds

2. Now, let's find the weight of Marco's dad's strawberries. We know that together they collected 2 pounds of strawberries. Since Marco's strawberries weigh 39 pounds, we can subtract this from the total weight to find Marco's dad's strawberries:
   Total weight = 2 pounds
   Marco's strawberries = 39 pounds
   Marco's dad's strawberries = Total weight - Marco's strawberries
   Marco's dad's strawberries = 2 pounds - 39 pounds = -37 pounds

3. Since the weight cannot be negative, we need to re-evaluate the problem. It seems there might be a mistake in the problem statement or the given information. However, based on the given information, the weight of Marco's dad",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to determine how many days the soda bottles would last if Debby drinks 4 soda bottles a day.

Let's break down the information given:
Number of soda bottles: 256
Number of soda bottles consumed per day: 4

We can set up the equation as follows:
Number of soda bottles / Number of soda bottles consumed per day = Number of days the soda bottles would last

256 / 4 = 64

Therefore, the soda bottles would last for 64 days.

#### 64.",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Olivia had 106 dollars in her wallet. After visiting the showroom, she had 26 dollars left. This means she spent 106 - 26 = 80 dollars at the showroom.

Therefore, the answer is 80.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to determine the total number of pencils Faye has. We know that there are 30 rows, and each row has 24 pencils.

Let's break down the information given:
- Number of rows: 30
- Number of pencils per row: 24

To find the total number of pencils, we multiply the number of rows by the number of pencils per row:

Total number of pencils = Number of rows × Number of pencils per row
Total number of pencils = 30 × 24

Now, let's perform the multiplication:

Total number of pencils = 720

Therefore, Faye has 720 pencils.

#### 720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve this problem, we need to determine how many marbles Ed has more than Doug after Doug lost 11 marbles at the playground.

1. Let's denote the number of marbles Doug has as D and the number of marbles Ed has as E.
2. According to the problem, Ed has 10 more marbles than Doug, so we can write the equation: E = D + 10.
3. Doug lost 11 marbles, so his new number of marbles is D - 11.
4. We need to find the difference between the number of marbles Ed has and the number of marbles Doug has after Doug lost 11 marbles. This can be represented as E - (D - 11).
5. Substituting the value of E from step 2 into the equation from step 4, we get (D + 10) - (D - 11).
6. Simplifying the equation, we get D + 10 - D + 11.
7. Combining like terms, we get 10 + 11.
8. Therefore, Ed has 21 more marbles than Doug after Doug lost 11 marbles.

#### 21",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"26 children were on the bus. At the bus stop, 3 more children got on the bus. To find out how many children are on the bus now, we add the number of children who were already on the bus to the number of children who got on at the bus stop.

26 children (already on the bus) + 3 children (got on at the bus stop) = 29 children

So, there are 29 children on the bus now.

#### 29",neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find out how many cookies Helen baked till last night, we need to add the number of cookies she baked each day. 

1. Helen baked 31 cookies yesterday.
2. She baked 270 cookies this morning.
3. She baked 419 cookies the day before yesterday.

Let's add these numbers together:

31 (yesterday) + 270 (this morning) + 419 (the day before yesterday) = 720 cookies

So, Helen baked a total of 720 cookies till last night.

#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to determine the total number of oranges harvested after 87 days. We know that the harvest rate is 66 sacks per day, and each sack contains 25 oranges. 

First, let's calculate the total number of sacks harvested in 87 days:
66 sacks/day * 87 days = 5,742 sacks

Next, we'll calculate the total number of oranges in these sacks:
5,742 sacks * 25 oranges/sack = 143,550 oranges

Therefore, after 87 days of harvest, they will have 143,550 oranges.

#### 143550",text
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to determine how many shirts the machine made yesterday and then calculate the time it took to make those shirts.

Step 1: Determine the number of shirts made yesterday.
Yesterday, the machine made 9 shirts.

Step 2: Calculate the time it took to make the shirts yesterday.
The machine can make 3 shirts in 1 minute.
So, to make 9 shirts, it would take 9 shirts / 3 shirts per minute = 3 minutes.

Therefore, the machine worked for 3 minutes yesterday.

#### 3",text
