problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to find out how many fish were initially raised by Paige and then determine how many fish were eaten by the stray cats.

1. Initially, Paige raised 7 Uoldfh and 12 catfish, which is a total of 7 + 12 = 19 fish.
2. After the stray cats ate some of the fish, Paige was left with 6as and 15 fish.
3. To find out how many fish were eaten by the stray cats, we need to subtract the number of fish Paige has left from the total number of fish she initially raised.
4. So, the number of fish that were eaten by the stray cats is 19 (total fish) - 15 (fish left) = 4 fish.

Therefore, the answer to the problem is:
#### <4>",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to find the total weight of strawberries collected by Ma1co and his dad, and then subtract the weight of the strawberries that MTrco's straAberre now weighs to find the weight of the strawberries that Ma1co and his dad collected.

First, we know that Ma1co and his dad collected 2 pouds of strawberries.

Next, we know that MTrco's straAberre now weighs 36 pouds.

So, the total weight of strawberries collected by Ma1co and his dad is:

2 pouds + 36 pouds = 38 pouds

Now, we need to subtract the weight of the strawberries that MTrco's straAberre now weighs to find the weight of the strawberries that Ma1co and his dad collected:

38 pouds - 36 pouds = 2 pouds

Therefore, the weight of the strawberries that Ma1co and his dad collected is 2 pouds.

#### <answer>",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to find out how many bottles Debby has in total and then determine how many days her soda bottles will last.

1. Debby has 200 water bottles and 256 soda bottles.
2. She has a total of 200 + 256 = 456 bottles.
3. She drinks 312 water bottles and 4 soda bottles a day.
4. To find out how many days her soda bottles will last, we divide the total number of soda bottles by the number of soda bottles she drinks per day: 256 / 4 = 64 days.

#### <answer> 64 days",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to find out how much money Olivia spent at the supermarket. We know that she started with 106 dollars and ended up with 26 dollars after visiting the supermarket. We also know that she spent 49 dollars at the showroom.

To find out how much she spent at the supermarket, we need to subtract the amount of money she had after visiting the supermarket from the amount of money she had before visiting the supermarket.

106 dollars - 26 dollars = 104 dollars

So, Olivia spent 104 dollars at the supermarket.

#### <answer> 104 dollars",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to find the total number of pencils that Faye has. We know that there are 30 rows in total, and each row contains 7 crayons and 24 pencils.

First, let's find the total number of pencils in each row:

Pencils per row = 24

Next, we can multiply the number of rows by the number of pencils per row to find the total number of pencils:

Total pencils = Rows * Pencils per row

Total pencils = 30 * 24

Total pencils = 720

Therefore, Faye has 720 pencils in total.

#### <720>",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Let's solve this problem step by step:

1. Let's assume that Doug initially had x marbles.
2. According to the problem, Doug lost 11 marbles, so he now has x - 11 marbles.
3. Ed has 10 more marbles than Doug, so Ed has x + 10 marbles.
4. The problem states that Ed had 45 marbles Htw many morL marbles did Ed have than Doug then?
5. To find the difference in the number of marbles between Ed and Doug, we can subtract the number of marbles Doug has from the number of marbles Ed has: (x + 10) - (x - 11)
6. Simplifying the expression, we get: 21 + x - x + 11 = 22 + x
7. This simplifies to: x + 22
8. Since we know that Ed had 45 marbles, we can set up the equation: x + 22 = 45
9. Solving for x, we get: x = 45 - 22 = 2",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to add the number of children at the playground to the number of children at the bus stop.

1. We know there are 26 children at the playground.
2. At the bus stop, there are 3 more children.
3. So, the total number of children on the bus is:

26 + 3 = 27

Therefore, the answer is:

##### <27>",neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find the total number of cookies Helen baked, we need to add the number of cookies she baked yesterday, this morning, and the day before yesterday.

Total cookies = Yesterday's cookies + This morning's cookies + Day before yesterday's cookies
= 31 + 270 + 419
= 310

So, Helen baked a total of 310 cookies.

#### <310>",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to find the total number of oranges harvested after 87 days.

1. First, we need to find the number of oranges in each rack. Since each rack contains 25 oranges, we can calculate the total number of oranges in 66 racks:
   Total oranges = Number of racks * Oranges per rack
   Total oranges = 66 racks * 25 oranges/rack
   Total oranges = 1650 oranges

2. Next, we need to find the total number of oranges harvested after 87 days. Since He thn wenT to se3 the oranges being harFested, we can assume that the harvesting rate remains constant. Therefore, we can multiply the number of oranges in each rack by the number of racks per day and the number of days:
   Total oranges = Racks per day * Oranges per rack * Number of days
   Total oranges = 66 racks/day * 25 oranges/rack * 87 days
   Total oranges = 16500 oranges",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to find the total number of shirts made by the machine and then convert that number into minutes.

1. First, we need to find the total number of shirts made by the machine. We can do this by adding the number of shirts made yesterday to the number made today:
Total shirts = Shirts yesterday + Shirts today
Total shirts = 9 + 44
Total shirts = 53

2. Next, we need to find the total number of minutes the machine worked. We can do this by multiplying the total number of shirts by the number of shirts the machine can make in a minute:
Total minutes = Total shirts * Shirts per minute
Total minutes = 53 * 3
Total minutes = 159

Therefore, the machine worked for 159 minutes.

#### <159>",neither
