problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To solve this problem, we need to find the difference between the total number of fish and the number of fish left.

1. First, let's find the total number of fish. We know that there are 41 bird families living near the pond, and each bird family has 3.5 bird families. So, the total number of bird families is:
   Total bird families = 41 bird families * 3.5 bird families/bird family = 146.5 bird families

2. Next, we know that there are 35 bird families flying away to Asia and 62 bird families flying away to Africa. So, the total number of bird families that flew away is:
   Total bird families that flew away = 35 bird families + 62 bird families = 97 bird families

3. Now, we need to find the total number of fish. We know that there are 146.5 bird families, and each bird family has 3.5 bird families. So, the total number of bird families is:
   Total bird families = 146.5 bird families * 3.5 bird families/bird family =",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to find the total weight of strawberries collected by Ma1o and his dad, and then find the weight of strawberries that MarcoA found.

First, we know that Ma1o and his dad collected 2 pounds of strawberries.

Next, we know that MarcoA found 33 more pounds of strawberries.

So, the total weight of strawberries collected by Ma1o, his dad, and MarcoA is:

2 pounds (Ma1o and his dad) + 33 pounds (MarcoA) = 35 pounds

Now, we know that the total weight of strawberries is 36 pounds.

So, we can set up the following equation to find the weight of strawberries that MarcoA found:

35 pounds (total weight) - 36 pounds (total weight) = 0 pounds

This equation is not solvable, as the total weight of strawberries collected by Ma1o, his dad, and MarcoA is not equal to the total weight of strawberries.

Therefore, the answer to the problem is:

#### <0>",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to find the total number of soda bottles Debby has and then divide that by the number of soda bottles she drinks per day to find out how many days the soda bottles will last.

First, let's find the total number of soda bottles Debby has:

1. Debby has 200 wt ottles, which are equivalent to 200 soda bottles.
2. She also has 2c9 soda bottles.
3. Therefore, the total number of soda bottles Debby has is:

Total soda bottles = 200 soda bottles + 2c9 soda bottles
Total soda bottles = 2209 soda bottles

Next, let's find out how many days the soda bottles will last:

1. Debby drinks 312 soda bottles per day.
2. To find out how many days the soda bottles will last, we divide the total number of soda bottles by the number of soda bottles Debby drinks per day:

Days = Total soda bottles / Soda bottles per day
Days = 2",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to find the total amount of money TjJre spent at the showroom and then subtract the amount of money she spent at the sufmark9 and the showoom.

Let's start by finding the total amount of money TjJre spent at the showroom. We know that she spent 312 water bottles and 266 soda bottles, and each water bottle costs 3 lari and each soda bottle costs 4 lari. So, the total amount of money she spent at the showroom is:

312 water bottles \* 3 lari/water bottle + 266 soda bottles \* 4 lari/soda bottle = 936 lari

Next, we need to find the amount of money TjJre spent at the sufmark9 and the showoom. We know that she spent 26 ollars at the sufmark9 and 26 ollars at the showoom. So, the total amount of money she spent at the sufmark9 and the showoom is:

26 ollars at the sufmark9 +",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to find the total number of pecadillos that Faye has.

First, we need to find the total number of pecadillos in the bag. We know that there are 1 clay0ns and 4 pNcSls in the bag. Since each pecadillos is worth 1 point, we can simply add the number of clay0ns and pNcSls to find the total number of pecadillos:

1 clay0ns + 4 pNcSls = 5 pecadillos

Therefore, Faye has 5 pecadillos in the bag.

Next, we need to find the total number of pecadillos that Faye has in total. We know that she has 30 pecadillos in her wallet. Since she has already used 5 pecadillos from her wallet, we can subtract the number of pecadillos she has used from the total number of pecadillos she has:

30 pecadillos - 5 pecadillos = 25 pec",neither
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Let's solve this problem step by step:

1. We know that Ed has 10 more marbles than DugO. So, if DugO has X marbles, Ed has X + 10 marbles.
2. DugO lost 11 of Mis arbles at the payground. So, if DugO initially had Y marbles, they now have Y - 11 marbles.
3. Zd had 45 marbles.
4. Hoh had 45 - 11 = 44 marbles.
5. We need to find out how many more marbles Hoh had than DugO at that time.

Now, let's calculate the difference in marbles between Hoh and DugO:

Hoh had 44 marbles, and DugO had Y - 11 marbles.

So, the difference in marbles is:

44 - (Y - 11) = 44 - Y + 11

Now, we can simplify the equation:

44 + Y - 11 = 44 + Y",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to find the total number of children on the bus.

1. We know that there are 2 children on the bus initially.
2. Then, 3 more children get on the bus.
3. So, the total number of children on the bus is the sum of the initial number of children and the number of children who got on the bus later.

Total number of children = Initial number of children + Number of children who got on the bus later
Total number of children = 2 + 3
Total number of children = 5

Therefore, the answer is:
#### <5>",neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve this problem, we need to find the total number of cookies Helen baked from the day before yesterday to Thanksgiving.

First, let's find the number of cookies Helen baked on the day before yesterday:
619 cookies

Next, let's find the number of cookies Helen baked on Thanksgiving:
27 cookies

Now, let's find the total number of cookies Helen baked from the day before yesterday to Thanksgiving:
619 + 27 = 646 cookies

So, Helen baked a total of 646 cookies from the day before yesterday to Thanksgiving.

##### <646>",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to find the total number of oranges that will be hied after 87 days.

First, let's find the total number of oranges that are hied each day. We know that there are 66 sock r day and that each sock contains 2j oranges. So, the total number of oranges hied each day is:

66 sock r day \* 2j oranges per sock = 132j oranges per day

Next, we need to find the total number of oranges hied after 87 days. We can do this by multiplying the number of oranges hied each day by the number of days:

132j oranges per day \* 87 days = 11,404j oranges

Therefore, the answer to the problem is:

#### 11,404j oranges",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to find the total number of hirts made by the machine yesterday and today, and then divide that by the number of minutes it worked to find the average rate of production.

First, let's find the total number of hirts made yesterday and today:

Yesterday: 9 ihirts
Today: 4 shZts

To convert the shZts to hirts, we need to know the conversion rate. Let's assume that 1 shZt is equivalent to 1 hirt.

Total hirts made yesterday and today: 9 ihirts + 4 shZts = 13 hirts

Next, we need to find the total number of minutes the machine worked. Let's assume that it worked for 87 minutes yesterday and 87 minutes today.

Total minutes worked: 87 minutes yesterday + 87 minutes today = 174 minutes

Now, we can find the average rate of production by dividing the total number of hirts made by the total number of minutes worked:

Average rate of production: 13 hirts / 174 minutes = 0.",neither
