problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"To find out how many fishes disappeared, we need to calculate the total number of fishes Paige initially had and then subtract the number of fishes she has now.

1. Calculate the total number of fishes initially:
Paige had 7 goldfish + 12 catfish = 19 fishes.

2. Subtract the number of fishes she has now from the initial total:
19 fishes - 15 fishes = 4 fishes disappeared.

Therefore, 4 fishes disappeared.",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Marco's strawberries weighed 36 pounds. The total weight of strawberries collected by Marco and his dad was 22 pounds. On the way back, Marco's dad found 30 more pounds of strawberries. Therefore, the total weight of strawberries collected by Marco and his dad was 22 + 30 = 52 pounds. Since Marco's strawberries weighed 36 pounds, his dad's strawberries weighed 52 - 36 = 16 pounds. Therefore, the answer is 16 pounds.",text
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"Step 1: Find the total number of soda bottles Debby bought.
256 soda bottles

Step 2: Find the number of soda bottles Debby drank in a day.
4 soda bottles/day

Step 3: Divide the total number of soda bottles by the number of soda bottles Debby drank in a day to find out how many days the soda bottles would last.
256 soda bottles ÷ 4 soda bottles/day = 64 days

Therefore, the soda bottles would last for 64 days. 
#### 64",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Let's denote the amount of money Olivia spent at the supermarket as S.

From the information given, we know that:
- Olivia started with $106.
- She spent $49 at the showroom.
- After both purchases, she had $26 left.

We can set up the equation as follows:
\[ \text{Initial amount} - \text{Amount spent at the supermarket} - \text{Amount spent at the showroom} = \text{Amount left} \]

Substituting the given values:
\[ 106 - S - 49 = 26 \]

Simplifying the equation:
\[ 106 - 49 - S = 26 \]
\[ 57 - S = 26 \]

To find S, we isolate it on one side of the equation:
\[ S = 57 - 26 \]
\[ S = 31 \]

Therefore, Olivia spent $31 at the supermarket. The answer is $31.",text
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To find the total number of pencils, we need to multiply the number of rows by the number of pencils in each row.

Number of rows = 30
Number of pencils in each row = 24

Total number of pencils = Number of rows × Number of pencils in each row
= 30 × 24
= 720

Therefore, Faye has 720 pencils. 

#### 720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Step 1: Find out how many marbles Doug had before he lost any.
Since Ed had 10 more marbles than Doug and Ed had 45 marbles, Doug had 45 - 10 = 35 marbles.

Step 2: Find out how many marbles Doug has after losing 11.
Doug lost 11 marbles, so he has 35 - 11 = 24 marbles left.

Step 3: Find out how many more marbles Ed has than Doug.
Ed has 45 marbles and Doug has 24 marbles, so Ed has 45 - 24 = 21 more marbles than Doug.

The answer is 21.",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,26 + 38 = 64.,text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"31 + 270 + 419 = 720 cookies
#### <720>",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To find out how many oranges will be harvested after 87 days, we need to multiply the number of sacks harvested per day by the number of oranges in each sack, and then multiply that result by the number of days.

1. First, find the total number of sacks harvested in 87 days:
   \[
   \text{Total sacks} = 66 \times 87
   \]

2. Then, find the total number of oranges by multiplying the total number of sacks by the number of oranges in each sack:
   \[
   \text{Total oranges} = \text{Total sacks} \times 25
   \]

Let's calculate these step by step.

1. \[
   \text{Total sacks} = 66 \times 87 = 5778
   \]

2. \[
   \text{Total oranges} = 5778 \times 25 = 144450
   \]

Therefore, after 87 days of harvest, they will have 144,450 oranges.

\[
\boxed{144450}
\]",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To find out how many minutes the machine worked yesterday, we need to determine how many shirts it made yesterday and then calculate the time it took to make those shirts.

1. Calculate the total number of shirts made yesterday:
   The machine made 9 shirts yesterday.

2. Calculate the total number of shirts made today:
   The machine made 44 shirts today.

3. Calculate the total number of shirts made in two days:
   Total shirts = Shirts made yesterday + Shirts made today
   Total shirts = 9 + 44
   Total shirts = 53

4. Calculate the time it took to make the shirts:
   The machine can make 3 shirts a minute. To find out how many minutes it took to make 53 shirts, we divide the total number of shirts by the number of shirts made per minute.
   Time = Total shirts / Shirts per minute
   Time = 53 / 3
   Time = 17.67 minutes

Since the machine can't work for a fraction of a minute, we can round this to the nearest whole number if necessary. However, the question asks for the number of minutes worked yesterday, and since the machine was working continuously, we can assume it",neither
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"46 * 10 = 460
9 * 10 = 90
460 + 90 = 550
#### 550",neither
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"17 + x = 18
x = 18 - 17
x = 1
Dave added 1 app.",text
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"Add the price of a candy bar and the price of a chocolate.
$ 7 + $ 6 = $ 13
Dan spent $ 13.",text
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To find the size of each group, we need to divide the total number of bananas by the number of groups. So, we have:

392 ÷ 196 = 2

Therefore, each group has 2 bananas. 

#### 2",text
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"To find out how much farther they have to travel, we need to subtract the distance they have already travelled from the total depth of the cave.

Total depth of the cave = 1218 feet
Distance already travelled = 849 feet

Distance remaining = Total depth - Distance already travelled
= 1218 feet - 849 feet
= 369 feet

So, they have 369 feet more to travel until they reach the end of the cave.

Therefore, the answer is 369 feet.",text
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"20 / 4 = 5
#### 5",text
16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,5,136,"The farmer had 177 tomatoes and 12 potatoes.
He picked 53 tomatoes, so he has 177 - 53 = 124 tomatoes left.
He also has 12 potatoes, so in total, he has 124 + 12 = 136 tomatoes and potatoes left.
Therefore, the answer is 136.",text
