problem_id,image_question,text_question,image_reference,text_reference,prediction,follows,prompt_role
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Paige initially had 7 goldfish and 12 catfish, which totals 19 fish. Now she has 15 fish left. To find out how many fish disappeared, we subtract the number of fish she has now from the total number of fish she initially had.

19 (initial total) - 15 (current total) = 4 (disappeared)

So, 4 fish disappeared.",text,neutral
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"Marco and his dad collected strawberries that weighed 22 pounds. Marco's strawberries now weighed 36 pounds. So, Marco's dad's strawberries weighed 36 - 22 = 14 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. So, his dad's strawberries now weigh 14 + 30 = 44 pounds. Therefore, the answer is 44.",neither,neutral
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"256 ÷ 4 = 64
#### 64",text,neutral
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Let's denote the amount Olivia spent at the supermarket as S. We know that Olivia started with $106, spent $49 at the showroom, and ended up with $26. So, we can write the equation: 106 - 49 - S = 26. Simplifying the left side of the equation, we get: 57 - S = 26. To find S, we subtract 57 from both sides of the equation: S = 57 - 26. Therefore, S equals 31. So, Olivia spent $31 at the supermarket. Therefore, the answer is 31.",text,neutral
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To find the number of pencils Faye has, we need to multiply the number of rows by the number of pencils in each row. So, we have 30 rows with 24 pencils in each row. The total number of pencils is 30 × 24 = 720 pencils. Therefore, Faye has 720 pencils.",text,neutral
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Ed had 10 more marbles than Doug. If Ed had 45 marbles, then Doug had 45 - 10 = 35 marbles. Doug lost 11 of his marbles at the playground, so he now has 35 - 11 = 24 marbles. Therefore, Ed has 45 - 24 = 21 more marbles than Doug. The answer is 21.",text,neutral
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"26 + 38 = 64
64 children are on the bus now.",text,neutral
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"31 + 270 + 419 = 720 cookies
Helen baked 720 cookies till last night.
#### 720",neither,neutral
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"66 * 25 = 1650 1650 * 87 = 144,450 oranges.",neither,neutral
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"The machine made 9 shirts yesterday. It can make 3 shirts a minute. To find out how many minutes the machine worked yesterday, we need to divide the total number of shirts made yesterday by the number of shirts it can make per minute.

9 shirts ÷ 3 shirts/minute = 3 minutes

So, the machine worked for 3 minutes yesterday.

#### 3",text,neutral
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"46 × 10 = 460
9 × 10 = 90
460 + 90 = 550
Bryan has 550 magazines in total.",neither,neutral
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"18 - 17 = 1
Dave added 1 app.",text,neutral
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"Add the price of a candy bar and the price of a chocolate
$ 7 + $ 6 = $ 13
Dan spent $ 13.",text,neutral
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To find the size of each group, we need to divide the total number of bananas by the number of groups. So, we have 392 bananas divided by 196 groups. Let's do the division: 392 ÷ 196 = 2. Therefore, each group has 2 bananas.",text,neutral
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"The cave is 1218 feet deep and they are already at 849 feet. To find out how much farther they have to travel, we need to subtract the distance they have already traveled from the total depth of the cave.

1218 feet (total depth) - 849 feet (distance already traveled) = 369 feet

So, they have 369 feet more to travel until they reach the end of the cave.

#### 369",text,neutral
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"20 / 4 = 5
#### 5",text,neutral
16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,5,136,"The farmer had 177 tomatoes and 12 potatoes. He picked 53 tomatoes, so he has 177 - 53 = 124 tomatoes left. He also has 12 potatoes left. Therefore, he has 124 + 12 = 136 tomatoes and potatoes left. The answer is 136.",text,neutral
17,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,136,91,"Danny now has 25 bottle caps. He lost 66 bottle caps at the park. So, he had 66 + 25 = 91 bottle caps at first. Danny had 91 bottle caps at first.",text,neutral
18,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",91,13,"Jack received 5 emails in the afternoon and 8 emails in the evening. To find the total number of emails he received in the afternoon and evening, we add the number of emails received in each time period. 5 + 8 = 13. Jack received 13 emails in the afternoon and evening.",text,neutral
