problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"The problem is asking for the number of catfish Jan caught in the fourth round of fishing. We know that Jan caught 12 catfish in the first round, 12 catfish in the second round, and 12 catfish in the third round. Therefore, the total number of catfish Jan caught in the first three rounds is 12 + 12 + 12 = 36 catfish. Since Jan caught 12 catfish in the fourth round, the number of catfish Jan caught in the fourth round is 36 - 12 = 24 catfish. So, Jan caught 24 catfish in the fourth round. The answer is: 24",neither
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to determine the total weight of the strawberries Ma1o and his dad collected. We know that they collected 4 pounds of strawberries and that Ma1o's dad weighed 6 pounds. 

To find the total weight of the strawberries, we add the weight of the strawberries Ma1o and his dad collected together:

4 pounds (from Ma1o) + 6 pounds (from his dad) = 10 pounds

So, the total weight of the strawberries Ma1o and his dad collected is 10 pounds.",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve the problem, we need to determine how many pounds of strawberries Marco's dad found and how many pounds of strawberries Marco's dad found in total.

1. **Determine the weight of the strawberries collected by Marco and his dad:**
   - They collected strawberries that weighed 22 pounds.

2. **Determine the weight of the strawberries found by Marco's dad:**
   - Marco's dad found 30 more pounds of strawberries.

3. **Calculate the total weight of the strawberries found by Marco's dad:**
   - Total weight = Weight of strawberries collected + Weight of strawberries found by dad
   - Total weight = 22 pounds + 30 pounds
   - Total weight = 52 pounds

Therefore, Marco's dad found 52 pounds of strawberries.",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to determine how many days the soda bottles would last if Debby drank 312 water bottles and 4 soda bottles a day.

First, let's calculate the total number of water bottles Debby drank:
312 water bottles

Next, let's calculate the total number of soda bottles Debby drank:
4 soda bottles

Now, let's subtract the total number of water bottles from the total number of soda bottles to find out how many soda bottles were left:
256 soda bottles - 312 water bottles = -56 soda bottles

Since we can't have a negative number of soda bottles, it means that Debby drank more soda bottles than water bottles. Therefore, the soda bottles would not last for the entire day.

To find out how many days the soda bottles would last, we need to divide the total number of soda bottles by the number of soda bottles Debby drank each day:
256 soda bottles / 4 soda bottles/day = 64 days

So, the soda bottles would last for 64 days. The answer is:
#### 64 days",image
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to subtract the amount spent at the showroom from the total amount in Olivia's wallet.

1. Olivia had $106 in her wallet.
2. She spent $49 at the showroom.
3. She had $26 left after visiting the supermarket.

First, subtract the amount spent at the showroom from the total amount in Olivia's wallet:

$106 - $49 = $57

Then, subtract the remaining amount from the total amount Olivia had:

$57 - $26 = $31

So, Olivia spent $31 at the supermarket.",image
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"To solve the problem, we need to determine how many marbles Ed had before Doug gave him 11 more. We can set up an equation to represent this situation:

Let \( E \) be the number of marbles Ed had initially.

After receiving 11 more marbles from Doug, Ed had \( E + 11 \) marbles.

We know that Ed had 5 marbles initially, so we can set up the equation:

\[ E + 11 = 5 \]

To find \( E \), we subtract 11 from both sides of the equation:

\[ E = 5 - 11 \]
\[ E = -6 \]

Since the number of marbles cannot be negative, we can conclude that Ed had 0 marbles initially.",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"To solve this problem, we need to determine the number of children in the school before the new students arrived. We know that there were 38 more children than before, and the total number of children is 45. Let's denote the number of children before the new students arrived as \( x \).

According to the problem, the number of children after the new students arrived is \( x + 38 \).

We know that the total number of children is 45, so we can set up the equation:

\[ x + 38 = 45 \]

To find the value of \( x \), we subtract 38 from both sides of the equation:

\[ x = 45 - 38 \]
\[ x = 7 \]

Therefore, there were 7 children in the school before the new students arrived.",neither
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To solve this problem, we need to find out how many cookies the boy baked in total and then subtract the number of cookies he ate from that total.

1. Calculate the total number of cookies baked:
   - He baked 3 cookies each day for 4 days.
   - Total cookies baked = 3 cookies/day * 4 days = 12 cookies

2. Subtract the number of cookies he ate from the total number of cookies baked:
   - Total cookies eaten = 41 cookies
   - Total cookies baked - Total cookies eaten = 12 cookies + 41 cookies = 53 cookies

Therefore, the boy baked a total of 53 cookies and ate 41 cookies, leaving him with 12 cookies.",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"The problem is asking for the total number of cookies Helen baked. We know that she baked 31 cookies yesterday and 270 cookies the day before yesterday. To find the total number of cookies she baked, we need to add these two amounts together.

31 cookies + 270 cookies = 301 cookies

So, Helen baked a total of 301 cookies. The answer is:

#### 301",neither
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"The problem is asking for the time it takes for a person to complete a certain task, which is not provided in the given information. Therefore, it is not possible to solve the problem with the given information.",invalid
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"To solve the problem, we need to determine the total number of games Bryan has played. Let's break down the information given:

1. Bryan played 6 games yesterday.
2. Bryan played 7 games today.
3. Bryan played 46 games in total.

To find the total number of games Bryan has played, we add the number of games he played yesterday and today:

Total games = Games yesterday + Games today
Total games = 6 + 7
Total games = 13

Therefore, Bryan has played a total of 13 games. The answer is:

#### 13",neither
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"To solve the problem, we need to determine how many apps Davx has after adding the new one.

1. Davx initially had 1 phone.
2. After adding a new phone, Davx had 12 phones.

Therefore, Davx has 12 apps in total.

The answer is: 12",neither
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"To solve the problem, we need to determine how much money Dave spent on the candy bar. Let's break down the information given:

1. Dave had 2 bars of chocolate.
2. Each bar of chocolate cost 7 Hnd.
3. Dave bought 4 bars of chocolate.

First, we calculate the total cost of the chocolate bars:

\[ \text{Total cost} = \text{Number of bars} \times \text{Cost per bar} \]
\[ \text{Total cost} = 4 \times 7 \]
\[ \text{Total cost} = 28 \]

So, Dave spent 28 Hnd on the candy bar.

Therefore, the answer is:

\[ \boxed{28} \]",neither
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To solve the problem, we need to find out how much money Dan spent on buying a candy bar and a chocolate. 

1. Dan has $4.
2. He bought a candy bar for $7.
3. He bought a chocolate for $6.

To find out how much money he spent in total, we add the cost of the candy bar and the chocolate together:

$7 (candy bar) + $6 (chocolate) = $13

So, Dan spent $13 in total on buying the candy bar and the chocolate.",image
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"To solve the problem, we need to determine the number of groups in the Philips collection and then find out how many bananas are in each group.

1. **Determine the total number of groups:**
   - The bananas are organized into 196 groups.

2. **Determine the total number of bananas:**
   - The total number of bananas is given as 392.

3. **Calculate the number of bananas in each group:**
   - To find out how many bananas are in each group, we divide the total number of bananas by the total number of groups.
   - \[ \text{Number of bananas per group} = \frac{\text{Total number of bananas}}{\text{Total number of groups}} \]
   - \[ \text{Number of bananas per group} = \frac{392}{196} \]

Let's do the calculation:

\[ \text{Number of bananas per group} = \frac{392}{196} = 2 \]

So, each group contains 2 bananas.

**Answer:** Each group contains 2 bananas.",image
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"To solve the problem, we need to find out how much farther the Fervs will travel until they reach the end of the cave. 

Given:
- The cave is 1218 feet deep.
- They are already at 849 feet.
- They are traveling at a speed of 17 feet per minute.

First, we need to find out how far they have traveled so far:
\[ \text{Distance traveled} = \text{Depth of the cave} - \text{Height they are already at} \]
\[ \text{Distance traveled} = 1218 \, \text{feet} - 849 \, \text{feet} \]
\[ \text{Distance traveled} = 369 \, \text{feet} \]

Next, we need to find out how much farther they will travel until they reach the end of the cave:
\[ \text{Further distance} = \text{Distance traveled} \times \text{Speed} \]
\[ \text{Further distance} = 369 \, \text{feet} \times 17 \, \text{feet/minute} \]
\[ \text{",neither
16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,5,136,"To solve the problem, we need to subtract the number of tomatoes from the total number of tomatoes to find out how many tomatoes are left.

Given:
- Total number of tomatoes: 177
- Number of tomatoes eaten: 12
- Number of tomatoes left: 6

To find out how many tomatoes are left, we subtract the number of tomatoes eaten from the total number of tomatoes:

\[ \text{Number of tomatoes left} = \text{Total number of tomatoes} - \text{Number of tomatoes eaten} \]

\[ \text{Number of tomatoes left} = 177 - 12 \]

\[ \text{Number of tomatoes left} = 165 \]

So, there are 165 tomatoes left.",neither
